source_id,minimum_sheet_count,minimum_parsed_sheets,minimum_observations,minimum_date,maximum_future_days,maximum_disappeared_series,required_sheets
economic_annex,94,93,100000,1900-01-01,1000,3,CUADRO 1|CUADRO 6|CUADRO 9|CUADRO 14|CUADRO 21|CUADRO 24|CUADRO 31|CUADRO 37|Cuadro 43|Cuadro 46a|CUADRO 56a|CUADRO 60a|CUADRO 61
payments,40,38,40000,1980-01-01,400,3,SIPAP_01|SIPAP_04|SIPAP_05|MIHA 02|AFD 02|CCC 02|OMP 01|CCE|CCCoop|BIC E. Bancarias
exchange_houses,10,3,4000,1980-01-01,400,3,Tablas ref.|1. EEFF|2. Ratios|3. Dep y Person
credit_survey,2,2,15000,1980-01-01,400,3,%|Índices
liquidity_facility,1,1,3000,2000-01-01,400,2,ADM- LIQ- DEPOSITO
direct_investment,8,7,15000,1990-01-01,400,3,Cuadro 1|Cuadro 2|Cuadro 4|Cuadro 7
insurance_annex,43,41,10000,2000-01-01,400,3,1.1|1.28|1.38|2.1|2.3
bcp_fx_daily,14,14,20000,2000-01-01,400,3,OpDivisas2026(DatosDiarios)|OpDivisas2020(DatosDiarios)|OpDivisas2013(DatosDiarios)
exchange_rates,7,7,2000,1900-01-01,400,3,Cotizaciones Diarias|USD Fin Mes|USD Prom|EURO Fin Mes|REAL Fin Mes|PESO Fin Mes
banking_indicators,9,7,3000,2000-01-01,400,3,1|2|3|4|5|6|7
financial_indicators,12,11,30000,2000-01-01,400,3,1.1|1.2|2.1|2.2|3.1|3.2|4|5|6|7|8
interbank_market,3,3,20000,2000-01-01,400,3,Datos|Datos (+ de 1 día)|Mdo Secundario
lrm_auctions,14,14,5000,2000-01-01,400,3,Subastas 2026|Subastas 2020|Subastas 2013
compensatory_fx_sales,1,1,300,2000-01-01,400,2,Ventas(DatosMensuales)
cda_curve,412,412,10000,2018-01-01,400,8,CDA_ML_012018|OPERACIONES_VOLUMEN_ML_012018|CDA_ME_012018|OPERACIONES_VOLUMEN_ME_012018|CDA_ML_072026|OPERACIONES_VOLUMEN_ML_072026|CDA_ME_072026|OPERACIONES_VOLUMEN_ME_072026
tcn_referential_daily,30,30,7000,2012-08-06,400,30,2012_Compra|2012_Venta|2021_Compra|2021_Venta|2026_Compra|2026_Venta
mef_central_government,1,1,23000,2003-01-01,400,2,Serie
ine_ephc,16,15,26000,2017-01-01,400,20,Tasas|CARACTERÍSTICAS_OCU|SECTORECONÓMICO|CATEGORÍAOCUPACIONAL|TAMAÑODEEMPRESA|HORASHABITUALES|TIEMPOEXPERIENCIA|PROMEDIODEAÑODEESTUDIO|INGRESOS_CATE|INGRESOSPORHORAS|INGRESOS_SECTOR|INGRESOS_OCUP|Población Total|FORMALIDAD|PROMEDIO DE HORAS
