source_id,dataset,sha256,encoding,data_records,series_count,observation_count,metadata_value_count
imf_cpi,IMF.STA:CPI(5.0.0),2aac39c8669b03c215cbe0a6cc71924b828e94c9fe2c8ac5fbd5c0334b5a4296,UTF-8-BOM,782,782,130548,0
imf_er,IMF.STA:ER(4.0.1),14eb34c87865eb5c788faa295594f3d72203a37723c29291b2df05389693d6b4,UTF-8-BOM,288,288,105780,0
imf_eer,IMF.STA:EER(6.0.0),ccbf80b14b1db6fb89b9cf3b0edf7b6b51b0d079dd9e48f7d1e62cee75192a37,UTF-8-BOM,24,24,9030,0
imf_qnea,IMF.STA:QNEA(7.0.0),6c9bbaabdbe907fd8a65aadd42b1cd08c430b1ffc10423ff78079815e61487cd,UTF-8-BOM,595,595,29632,0
imf_ctot,IMF.RES:CTOT(5.0.1),10f3ee8cfd833db4624517815cac1ad7bd69b5a87d748b78602c77c237b2d4a6,UTF-8-BOM,108,108,60156,0
imf_bop,IMF.STA:BOP(21.0.0),33c9416b208c3b8823b1e706dbc97f99ccee6153248f3f2606634a0b9d9c18c7,UTF-8-BOM,7520,7520,760820,0
imf_cpi_wca,IMF.STA:CPI_WCA(3.0.0),0bd7b9202540fd90a37bb27f75df6da523c4d093a2c1b3399b66ab0c24f94918,UTF-8-BOM,30,30,5690,0
imf_fsibsis,IMF.STA:FSIBSIS(18.0.0),cbc80874a1b24878c86defbdef01b48bd8992e3e2abf9dc4c26e1a762bdb6e37,UTF-8-BOM,883,883,99395,0
imf_fsic,IMF.STA:FSIC(13.0.1),a0789a17bdb29983f268e8345ce76dc3663e1fdbeeabbf1f898c4c40011d8296,UTF-8-BOM,710,710,87244,0
imf_fsi_metadata,IMF.STA:FSI_COUNTRY_METADATA_TABLE_2(2.0.0),82d0d1f68a6f1beea79cde1758168abf3509c2055eb4fec60753d83d097d22de,UTF-8-BOM,1988,497,0,101095
imf_iip,IMF.STA:IIP(13.0.0),c45ba0f034053fb3d665f6ff23ac5eaf9f1ad739e1f1c55adde604794066c0c8,UTF-8-BOM,2947,2947,197733,0
imf_il,IMF.STA:IL(13.0.1),c09c8b61558e95c333ccf8f0e3cadbb8790dda2bcba0a2dba44215e8d825cdcb,UTF-8-BOM,288,288,149846,0
imf_irfcl,IMF.STA:IRFCL(12.0.0),137578fafd788f3706189f767b60dea12d0140c99eb117f8e7bf9775a176f216,UTF-8-BOM,2632,2632,215764,0
imf_itg,IMF.STA:ITG(4.0.0),20bf00b54ec324e86dfab58a6cf5f6b840feebff244915d70b8f7ff57a2797e8,UTF-8-BOM,37,37,5980,0
imf_mfs_cbs,IMF.STA:MFS_CBS(24.0.0),f46fd6d1c34a94561d1b2ce8da060718e63b6a71c9f986f2c24fa2688ef963f0,UTF-8-BOM,540,540,98662,0
imf_mfs_dc,IMF.STA:MFS_DC(8.0.0),1884d65805e31305a86a8c0036441ded78576ccc9f6519beab49f7626d724644,UTF-8-BOM,1019,1019,190028,0
imf_mfs_ir,IMF.STA:MFS_IR(9.0.0),082ffbd0a9ed91563d7c7d7c70e94397ab6d2c13e2485f63ac8698d774216072,UTF-8-BOM,148,148,37068,0
imf_mfs_ma,IMF.STA:MFS_MA(10.0.1),19923e868d4fbc7976d4067baa4f52cbab635c726aae049339a81a694bc35cb2,UTF-8-BOM,80,80,14659,0
imf_mfs_odc,IMF.STA:MFS_ODC(10.0.0),f943d0dbca49965770a7a3a306d5164794fd9628ef8b0b88437ed7afdd7708de,UTF-8-BOM,466,466,90673,0
imf_pcps,IMF.RES:PCPS(9.0.0),88ce4c085833ca6820da094e520a8d14fe64b5dedadf42b7a90a7f84378cafb3,UTF-8-BOM,852,852,209333,0
imf_pi_wca,IMF.STA:PI_WCA(1.0.0),a8b3bf57a86926614ebc8ba6eb814996ceeeb0fa2799e77f63b66c94cd2f6ebf,windows-1252,16,16,2184,0
imf_qgdp_wca,IMF.STA:QGDP_WCA(4.0.0),5d7cc5cea78bc1795cfbcae640dd9cb56da5b05f3d3041165f8a50729624a2c8,UTF-8-BOM,300,300,16980,0
imf_rsui,IMF.WHD:RSUI(1.0.0),dc3d37ff4b7c688f669372356190fb917bfd779f86aa3d2591c91617c0a099ce,UTF-8-BOM,16,16,6992,0
imf_wpfxi,IMF.STA:WPFXI(1.0.2),815b776e02a93eca6a76bab4eb243855301c65a9edccd8372edfefbac221355f,UTF-8-BOM,186,186,34541,0
