series_id,definition,definition_evidence_uri,source_semantics,frequency,reference_period_convention,timing_basis,stock_flow,unit_code,scale_multiplier,currency,valuation,nominal_real,price_base_year,seasonal_adjustment,transformation,hierarchy_role,parent_series_id,methodology_regime_id,comparability,availability_convention,proposal_evidence,source_cell,proposed_by,proposed_at,confidence,open_questions
economic_annex:cuadro_9_a:fd9298219967c6b520d1afff,IMAEP — Serie Original -- as published on CUADRO 9 a: INDICADOR MENSUAL DE LA ACTIVIDAD ECONÓMICA DEL PARAGUAY (IMAEP) — Índice base 2014 = 100.,workbook:Anexo_Estadístico_del_Informe_Económico_13_08_2026.xlsx#CUADRO 9 a!r11c15,"Worksheet CUADRO 9 a, column path 'IMAEP — Serie Original'. Read from the published table; no derivation applied.",monthly,calendar month; period_start is the first day and period_end the last,period_total,flow,INDEX,1,not_applicable,not_applicable,real,2014,not_adjusted,index,total,,,comparable,Observed in the retained vintage only: last period 2026-06-01 against a publication date of 2026-08-13. No publication calendar has been recorded; see docs/ACQUISITION_RUNBOOK.md.,Worksheet title: 'INDICADOR MENSUAL DE LA ACTIVIDAD ECONÓMICA DEL PARAGUAY (IMAEP) — Índice base 2014 = 100.'. Column label: 'IMAEP — Serie Original'. Recorded index base: 'base 2014 = 100'. Coverage 2014-01-01 to 2026-06-01 (150 periods). Unit and scale as parsed: INDEX x 1.,economic_annex/CUADRO 9 a!r11c15 (vintage economic_annex 25818cb75022083e13cab48e773038b4f4c82557fa6e307ec50b428eefd9f0ae),"claude-opus-5, drafted from published worksheet titles and column labels",2026-09-05,high,
economic_annex:cuadro_9_a:b8f0c675b509f9ec047b421e,IMAEP — Serie ajustada -- as published on CUADRO 9 a: INDICADOR MENSUAL DE LA ACTIVIDAD ECONÓMICA DEL PARAGUAY (IMAEP) — Índice base 2014 = 100.,workbook:Anexo_Estadístico_del_Informe_Económico_13_08_2026.xlsx#CUADRO 9 a!r11c16,"Worksheet CUADRO 9 a, column path 'IMAEP — Serie ajustada'. Read from the published table; no derivation applied.",monthly,calendar month; period_start is the first day and period_end the last,period_total,flow,INDEX,1,not_applicable,not_applicable,real,2014,seasonally_adjusted,index,total,,,comparable,Observed in the retained vintage only: last period 2026-06-01 against a publication date of 2026-08-13. No publication calendar has been recorded; see docs/ACQUISITION_RUNBOOK.md.,Worksheet title: 'INDICADOR MENSUAL DE LA ACTIVIDAD ECONÓMICA DEL PARAGUAY (IMAEP) — Índice base 2014 = 100.'. Column label: 'IMAEP — Serie ajustada'. Recorded index base: 'base 2014 = 100'. Coverage 2014-01-01 to 2026-06-01 (150 periods). Unit and scale as parsed: INDEX x 1.,economic_annex/CUADRO 9 a!r11c16 (vintage economic_annex 25818cb75022083e13cab48e773038b4f4c82557fa6e307ec50b428eefd9f0ae),"claude-opus-5, drafted from published worksheet titles and column labels",2026-09-05,high,
economic_annex:cuadro_9_a:1247e1a2aa91ddd952342ba7,IMAEP — Tendencia Ciclo -- as published on CUADRO 9 a: INDICADOR MENSUAL DE LA ACTIVIDAD ECONÓMICA DEL PARAGUAY (IMAEP) — Índice base 2014 = 100.,workbook:Anexo_Estadístico_del_Informe_Económico_13_08_2026.xlsx#CUADRO 9 a!r11c17,"Worksheet CUADRO 9 a, column path 'IMAEP — Tendencia Ciclo'. Read from the published table; no derivation applied.",monthly,calendar month; period_start is the first day and period_end the last,period_total,flow,INDEX,1,not_applicable,not_applicable,real,2014,trend_cycle,index,total,,,comparable,Observed in the retained vintage only: last period 2026-06-01 against a publication date of 2026-08-13. No publication calendar has been recorded; see docs/ACQUISITION_RUNBOOK.md.,Worksheet title: 'INDICADOR MENSUAL DE LA ACTIVIDAD ECONÓMICA DEL PARAGUAY (IMAEP) — Índice base 2014 = 100.'. Column label: 'IMAEP — Tendencia Ciclo'. Recorded index base: 'base 2014 = 100'. Coverage 2014-01-01 to 2026-06-01 (150 periods). Unit and scale as parsed: INDEX x 1.,economic_annex/CUADRO 9 a!r11c17 (vintage economic_annex 25818cb75022083e13cab48e773038b4f4c82557fa6e307ec50b428eefd9f0ae),"claude-opus-5, drafted from published worksheet titles and column labels",2026-09-05,high,
economic_annex:cuadro_9_a:8f84ed0f8814038ee0810d9e,IMAEP sin Agri ni Bin — Serie Original -- as published on CUADRO 9 a: INDICADOR MENSUAL DE LA ACTIVIDAD ECONÓMICA DEL PARAGUAY (IMAEP) — Índice base 2014 = 100.,workbook:Anexo_Estadístico_del_Informe_Económico_13_08_2026.xlsx#CUADRO 9 a!r11c18,"Worksheet CUADRO 9 a, column path 'IMAEP sin Agri ni Bin — Serie Original'. Read from the published table; no derivation applied.",monthly,calendar month; period_start is the first day and period_end the last,period_total,flow,INDEX,1,not_applicable,not_applicable,real,2014,not_adjusted,index,standalone,,,comparable,Observed in the retained vintage only: last period 2026-06-01 against a publication date of 2026-08-13. No publication calendar has been recorded; see docs/ACQUISITION_RUNBOOK.md.,Worksheet title: 'INDICADOR MENSUAL DE LA ACTIVIDAD ECONÓMICA DEL PARAGUAY (IMAEP) — Índice base 2014 = 100.'. Column label: 'IMAEP sin Agri ni Bin — Serie Original'. Recorded index base: 'base 2014 = 100'. Coverage 2014-01-01 to 2026-06-01 (150 periods). Unit and scale as parsed: INDEX x 1.,economic_annex/CUADRO 9 a!r11c18 (vintage economic_annex 25818cb75022083e13cab48e773038b4f4c82557fa6e307ec50b428eefd9f0ae),"claude-opus-5, drafted from published worksheet titles and column labels",2026-09-05,high,
economic_annex:cuadro_9_a:36cb51611463dc848db0a552,IMAEP sin Agri ni Bin — Serie ajustada -- as published on CUADRO 9 a: INDICADOR MENSUAL DE LA ACTIVIDAD ECONÓMICA DEL PARAGUAY (IMAEP) — Índice base 2014 = 100.,workbook:Anexo_Estadístico_del_Informe_Económico_13_08_2026.xlsx#CUADRO 9 a!r11c19,"Worksheet CUADRO 9 a, column path 'IMAEP sin Agri ni Bin — Serie ajustada'. Read from the published table; no derivation applied.",monthly,calendar month; period_start is the first day and period_end the last,period_total,flow,INDEX,1,not_applicable,not_applicable,real,2014,seasonally_adjusted,index,standalone,,,comparable,Observed in the retained vintage only: last period 2026-06-01 against a publication date of 2026-08-13. No publication calendar has been recorded; see docs/ACQUISITION_RUNBOOK.md.,Worksheet title: 'INDICADOR MENSUAL DE LA ACTIVIDAD ECONÓMICA DEL PARAGUAY (IMAEP) — Índice base 2014 = 100.'. Column label: 'IMAEP sin Agri ni Bin — Serie ajustada'. Recorded index base: 'base 2014 = 100'. Coverage 2014-01-01 to 2026-06-01 (150 periods). Unit and scale as parsed: INDEX x 1.,economic_annex/CUADRO 9 a!r11c19 (vintage economic_annex 25818cb75022083e13cab48e773038b4f4c82557fa6e307ec50b428eefd9f0ae),"claude-opus-5, drafted from published worksheet titles and column labels",2026-09-05,high,
economic_annex:cuadro_9_a:7fc8a3bf2dc76c6749409f52,IMAEP sin Agri ni Bin — Tendencia Ciclo -- as published on CUADRO 9 a: INDICADOR MENSUAL DE LA ACTIVIDAD ECONÓMICA DEL PARAGUAY (IMAEP) — Índice base 2014 = 100.,workbook:Anexo_Estadístico_del_Informe_Económico_13_08_2026.xlsx#CUADRO 9 a!r11c20,"Worksheet CUADRO 9 a, column path 'IMAEP sin Agri ni Bin — Tendencia Ciclo'. Read from the published table; no derivation applied.",monthly,calendar month; period_start is the first day and period_end the last,period_total,flow,INDEX,1,not_applicable,not_applicable,real,2014,trend_cycle,index,standalone,,,comparable,Observed in the retained vintage only: last period 2026-06-01 against a publication date of 2026-08-13. No publication calendar has been recorded; see docs/ACQUISITION_RUNBOOK.md.,Worksheet title: 'INDICADOR MENSUAL DE LA ACTIVIDAD ECONÓMICA DEL PARAGUAY (IMAEP) — Índice base 2014 = 100.'. Column label: 'IMAEP sin Agri ni Bin — Tendencia Ciclo'. Recorded index base: 'base 2014 = 100'. Coverage 2014-01-01 to 2026-06-01 (150 periods). Unit and scale as parsed: INDEX x 1.,economic_annex/CUADRO 9 a!r11c20 (vintage economic_annex 25818cb75022083e13cab48e773038b4f4c82557fa6e307ec50b428eefd9f0ae),"claude-opus-5, drafted from published worksheet titles and column labels",2026-09-05,high,
economic_annex:cuadro_9_a:5916c3b35790deb8a40a6158,Sector Primario — Serie Original -- as published on CUADRO 9 a: INDICADOR MENSUAL DE LA ACTIVIDAD ECONÓMICA DEL PARAGUAY (IMAEP) — Índice base 2014 = 100.,workbook:Anexo_Estadístico_del_Informe_Económico_13_08_2026.xlsx#CUADRO 9 a!r11c3,"Worksheet CUADRO 9 a, column path 'Sector Primario — Serie Original'. Read from the published table; no derivation applied.",monthly,calendar month; period_start is the first day and period_end the last,period_total,flow,INDEX,1,not_applicable,not_applicable,real,2014,not_adjusted,index,component,economic_annex:cuadro_9_a:fd9298219967c6b520d1afff,,comparable,Observed in the retained vintage only: last period 2026-06-01 against a publication date of 2026-08-13. No publication calendar has been recorded; see docs/ACQUISITION_RUNBOOK.md.,Worksheet title: 'INDICADOR MENSUAL DE LA ACTIVIDAD ECONÓMICA DEL PARAGUAY (IMAEP) — Índice base 2014 = 100.'. Column label: 'Sector Primario — Serie Original'. Recorded index base: 'base 2014 = 100'. Coverage 2014-01-01 to 2026-06-01 (150 periods). Unit and scale as parsed: INDEX x 1.,economic_annex/CUADRO 9 a!r11c3 (vintage economic_annex 25818cb75022083e13cab48e773038b4f4c82557fa6e307ec50b428eefd9f0ae),"claude-opus-5, drafted from published worksheet titles and column labels",2026-09-05,high,
economic_annex:cuadro_9_a:f868ee64d4b18f88eec7fe07,Sector Secundario — Serie Original -- as published on CUADRO 9 a: INDICADOR MENSUAL DE LA ACTIVIDAD ECONÓMICA DEL PARAGUAY (IMAEP) — Índice base 2014 = 100.,workbook:Anexo_Estadístico_del_Informe_Económico_13_08_2026.xlsx#CUADRO 9 a!r11c6,"Worksheet CUADRO 9 a, column path 'Sector Secundario — Serie Original'. Read from the published table; no derivation applied.",monthly,calendar month; period_start is the first day and period_end the last,period_total,flow,INDEX,1,not_applicable,not_applicable,real,2014,not_adjusted,index,component,economic_annex:cuadro_9_a:fd9298219967c6b520d1afff,,comparable,Observed in the retained vintage only: last period 2026-06-01 against a publication date of 2026-08-13. No publication calendar has been recorded; see docs/ACQUISITION_RUNBOOK.md.,Worksheet title: 'INDICADOR MENSUAL DE LA ACTIVIDAD ECONÓMICA DEL PARAGUAY (IMAEP) — Índice base 2014 = 100.'. Column label: 'Sector Secundario — Serie Original'. Recorded index base: 'base 2014 = 100'. Coverage 2014-01-01 to 2026-06-01 (150 periods). Unit and scale as parsed: INDEX x 1.,economic_annex/CUADRO 9 a!r11c6 (vintage economic_annex 25818cb75022083e13cab48e773038b4f4c82557fa6e307ec50b428eefd9f0ae),"claude-opus-5, drafted from published worksheet titles and column labels",2026-09-05,high,
economic_annex:cuadro_9_a:fd49e39d87802b129f360d7c,Servicios — Serie Original -- as published on CUADRO 9 a: INDICADOR MENSUAL DE LA ACTIVIDAD ECONÓMICA DEL PARAGUAY (IMAEP) — Índice base 2014 = 100.,workbook:Anexo_Estadístico_del_Informe_Económico_13_08_2026.xlsx#CUADRO 9 a!r11c12,"Worksheet CUADRO 9 a, column path 'Servicios — Serie Original'. Read from the published table; no derivation applied.",monthly,calendar month; period_start is the first day and period_end the last,period_total,flow,INDEX,1,not_applicable,not_applicable,real,2014,not_adjusted,index,component,economic_annex:cuadro_9_a:fd9298219967c6b520d1afff,,comparable,Observed in the retained vintage only: last period 2026-06-01 against a publication date of 2026-08-13. No publication calendar has been recorded; see docs/ACQUISITION_RUNBOOK.md.,Worksheet title: 'INDICADOR MENSUAL DE LA ACTIVIDAD ECONÓMICA DEL PARAGUAY (IMAEP) — Índice base 2014 = 100.'. Column label: 'Servicios — Serie Original'. Recorded index base: 'base 2014 = 100'. Coverage 2014-01-01 to 2026-06-01 (150 periods). Unit and scale as parsed: INDEX x 1.,economic_annex/CUADRO 9 a!r11c12 (vintage economic_annex 25818cb75022083e13cab48e773038b4f4c82557fa6e307ec50b428eefd9f0ae),"claude-opus-5, drafted from published worksheet titles and column labels",2026-09-05,high,
economic_annex:cuadro_9_a:4b20a71a70f3144f9e0b0355,Manufactura — Serie Original -- as published on CUADRO 9 a: INDICADOR MENSUAL DE LA ACTIVIDAD ECONÓMICA DEL PARAGUAY (IMAEP) — Índice base 2014 = 100.,workbook:Anexo_Estadístico_del_Informe_Económico_13_08_2026.xlsx#CUADRO 9 a!r11c9,"Worksheet CUADRO 9 a, column path 'Manufactura — Serie Original'. Read from the published table; no derivation applied.",monthly,calendar month; period_start is the first day and period_end the last,period_total,flow,INDEX,1,not_applicable,not_applicable,real,2014,not_adjusted,index,component,economic_annex:cuadro_9_a:fd9298219967c6b520d1afff,,comparable,Observed in the retained vintage only: last period 2026-06-01 against a publication date of 2026-08-13. No publication calendar has been recorded; see docs/ACQUISITION_RUNBOOK.md.,Worksheet title: 'INDICADOR MENSUAL DE LA ACTIVIDAD ECONÓMICA DEL PARAGUAY (IMAEP) — Índice base 2014 = 100.'. Column label: 'Manufactura — Serie Original'. Recorded index base: 'base 2014 = 100'. Coverage 2014-01-01 to 2026-06-01 (150 periods). Unit and scale as parsed: INDEX x 1.,economic_annex/CUADRO 9 a!r11c9 (vintage economic_annex 25818cb75022083e13cab48e773038b4f4c82557fa6e307ec50b428eefd9f0ae),"claude-opus-5, drafted from published worksheet titles and column labels",2026-09-05,high,
