source_id,source_sheet,table_title,series_on_sheet,unit_codes,scales,frequencies,index_bases,sheet_kind,observations,first_period,last_period,stated_stock_flow,stated_nominal_real,stated_seasonal,stated_valuation,sample_labels,stock_flow,nominal_real,price_base_year,seasonal_adjustment,timing_basis,valuation,comparability,total_label,methodology_regime_id,reviewer_note,decision_status,component_labels
financial_indicators,3.1,Cuadro Nº 3.1 — Tasas de interés nominales - Bancos — porcentajes anuales,290,PERCENT,units,monthly,,homogeneous,41735,2011-01-31,2026-06-30,0,0,0,0,MN — Depósitos a Plazo > 365 días — Prom | MN — Préstamo Personal - vivienda AFD <= | ME — Préstamo Comercial <= 1 año — Prom  | ME — Préstamo Comercial <= 1 año — Max | ME — Préstamo Personal - vivienda AFD >  | ME — CDA <= 365 días — Max | ME — Depósitos a Plazo <=365 días — TPP | ME — CDA > 365 d,,,,,,,,,,,,
financial_indicators,3.2,Cuadro Nº 3.2 — Tasas de interés efectivas - Bancos — porcentajes anuales,290,PERCENT,units,monthly,,homogeneous,41740,2011-01-31,2026-06-30,0,0,0,0,MN — Depósitos a la Vista — Prom Max | MN — Préstamo Personal - consumo <= 180  | MN — Préstamo Personal - consumo <= 90 d | MN — Sobregiros — Prom Max | MN — Depósitos a Plazo <=365 días — Max | MN — CDA hasta 180 días — Prom Max | ME — Préstamo Comercial <= 1 año — Prom  | ME — Sobregiros — Prom M,,,,,,,,,,,,
credit_survey,%,Situación General de Créditos - SGC,285,PROPORTION,units,quarterly,,homogeneous,14570,2013-03-31,2026-06-30,1,0,0,0,"6 - Según su opinión, ¿cuáles son los pr | 11,1 - Agricultura. (Según su opinión, ¿ | 18 - ¿Cómo calificaría usted la rigurosi | 19 - En su institución, ¿Se han rechazad | 10,7 - Pequeñas empresas. (Según su opin | 17,2 - ¿Cuál fue el principal motivo por | 10,3 - Industria. (Según su opinión, ¿có |",,,,,,,,,,,,
economic_annex,Cuadro 52b,Cuadro Nº 52 b — Importaciones para uso interno y bajo el Régimen de Turismo. — En toneladas,192,TONNES,units,monthly,,homogeneous,47424,2006-01-01,2026-07-01,0,0,0,0,Bienes intermedios — Importacion bajo el | Gas oíl — Importacion bajo el Regimen de | Legumbres y hortalizas — Importación Reg | Bienes de consumo — Importacion bajo el  | Duraderos — Importación Registrada | Café — Importacion bajo el Regimen de Tu | Otros — Importacion para consumo interno | Produ,,,,,,,,,,,,
economic_annex,Cuadro 52a,Cuadro Nº 52 a — Importaciones para uso interno y bajo el Régimen de Turismo. — En miles de dólares FOB.,192,USD,thousands,monthly,,homogeneous,47424,2006-01-01,2026-07-01,0,0,0,192,"Artículos para construcciones sanitarias | Otras bebidas — Importación Registrada | Tractores, topadoras, niveladoras y perf | No duraderos — Importacion para consumo  | Asfalto — Importación Registrada | Whisky — Importacion bajo el Regimen de  | Bienes de capital — Importacion bajo el  | Cementos",,,,,,,,,,,,
economic_annex,Cuadro 53a,Cuadro Nº 53 a — Importaciones por niveles de procesamiento. — En miles de dólares FOB.,149,USD,thousands,monthly,,homogeneous,58259,1994-01-01,2026-07-01,0,0,0,149,"Grasas y aceites lubricantes | Total | Quesos | Carne y menudencia bovina | Hilos, cables y demás conductores aislad | Muebles, mobiliarios médicos y quirúrgic | Manteca | Yerba mate | Otros juguetes, juegos, artículos de rec | Carbón vegetal | Levaduras y polvo para hornear | Articulos para el tran",,,,,,,,,,,,
economic_annex,Cuadro 53b,Cuadro Nº 53 b — Importaciones por niveles de procesamiento. — En toneladas,149,TONNES,units,monthly,,homogeneous,58259,1994-01-01,2026-07-01,0,0,0,0,"Azúcar de caña en bruto | Resto de los productos diversos de las i | Productos farmacéuticos | Pasta para papel | Mandioca (Yuca) | Aceite de girasol | Harinas, tortas y demás residuos de gira | Resto de MOA | Piedras trituradas de las utilizadas en  | Productos primarios | Cobre | Sorgo | Resto de",,,,,,,,,,,,
economic_annex,Cuadro 46b,Cuadro Nº 46b — Exportaciones por niveles de procesamiento. — En toneladas y 1000 Kwh.,148,MIXED_PHYSICAL_UNITS,units,monthly,,homogeneous,57868,1994-01-01,2026-07-01,0,0,0,0,"Frutas secas o procesadas | Minerales metalíferos,escorias, cenizas  | Bilis incluso desecada, glandulas y dema | Resto de grasas y aceites | Otras harinas, tortas y demás residuos | Otros metales comunes | Resto de productos primarios | Maíz | Resto de vehículos automóviles,tractores | Legumbres |",,,,,,,,,,,,
economic_annex,Cuadro 46a,Cuadro Nº 46a — Exportaciones por niveles de procesamiento. — En miles de dólares FOB.,148,USD,thousands,monthly,,homogeneous,57868,1994-01-01,2026-07-01,0,0,0,148,Energía eléctrica | Productos primarios | Tomate | Azúcar de caña en bruto | Pasta para papel | Cobre | Tablillas y frisos para parquet. | Resto de los productos diversos de las i | Piedras trituradas de las utilizadas en  | Sorgo | Productos farmacéuticos | Resto de cereales | Biodiesel | Resto de,,,,,,,,,,,,
insurance_annex,1.32,Comisiones reaseguros aceptados - exterior (Guaraníes) — Participación utilidades reaseguros aceptados - contratos proporcionales (Guaraníes) — Participación utilidades reaseguros aceptados - contratos no proporcionales (Guaraníes) — Total Gastos Reaseguros Aceptados - Exterior (Guaraníes),104,PYG,units,annual,,homogeneous,1768,2009-06-30,2025-06-30,0,0,0,0,Comisiones reaseguros aceptados - exteri | Total Gastos Reaseguros Aceptados - Exte | Participación utilidades reaseguros acep,,,,,,,,,,,,
