schema_name,object_name,object_type,public_scope,carries_release_boundary,reason,reviewed_by,reviewed_at
main,v_banks_carteras_documented_all,view,all,FALSE,"Unfiltered twin of the current object of the same name: it sees staged and blocked releases, and exists for the ingestion path and for diagnosis. Not a research interface.",juan.manuel.gonzalez,2026-08-31
main,v_banks_credito_actividad_documented_all,view,all,FALSE,"Unfiltered twin of the current object of the same name: it sees staged and blocked releases, and exists for the ingestion path and for diagnosis. Not a research interface.",juan.manuel.gonzalez,2026-08-31
main,v_banks_credito_sector_documented_all,view,all,FALSE,"Unfiltered twin of the current object of the same name: it sees staged and blocked releases, and exists for the ingestion path and for diagnosis. Not a research interface.",juan.manuel.gonzalez,2026-08-31
main,v_banks_eeff_documented_all,view,all,FALSE,"Unfiltered twin of the current object of the same name: it sees staged and blocked releases, and exists for the ingestion path and for diagnosis. Not a research interface.",juan.manuel.gonzalez,2026-08-31
main,v_banks_ratios_documented_all,view,all,FALSE,"Unfiltered twin of the current object of the same name: it sees staged and blocked releases, and exists for the ingestion path and for diagnosis. Not a research interface.",juan.manuel.gonzalez,2026-08-31
main,v_financial_carteras_documented_all,view,all,FALSE,"Unfiltered twin of the current object of the same name: it sees staged and blocked releases, and exists for the ingestion path and for diagnosis. Not a research interface.",juan.manuel.gonzalez,2026-08-31
main,v_financial_credito_actividad_documented_all,view,all,FALSE,"Unfiltered twin of the current object of the same name: it sees staged and blocked releases, and exists for the ingestion path and for diagnosis. Not a research interface.",juan.manuel.gonzalez,2026-08-31
main,v_financial_credito_sector_documented_all,view,all,FALSE,"Unfiltered twin of the current object of the same name: it sees staged and blocked releases, and exists for the ingestion path and for diagnosis. Not a research interface.",juan.manuel.gonzalez,2026-08-31
main,v_financial_eeff_documented_all,view,all,FALSE,"Unfiltered twin of the current object of the same name: it sees staged and blocked releases, and exists for the ingestion path and for diagnosis. Not a research interface.",juan.manuel.gonzalez,2026-08-31
main,v_financial_ratios_documented_all,view,all,FALSE,"Unfiltered twin of the current object of the same name: it sees staged and blocked releases, and exists for the ingestion path and for diagnosis. Not a research interface.",juan.manuel.gonzalez,2026-08-31
main,v_fx_operations_annual_all,view,all,FALSE,"Unfiltered twin of the current object of the same name: it sees staged and blocked releases, and exists for the ingestion path and for diagnosis. Not a research interface.",juan.manuel.gonzalez,2026-08-31
main,v_latest_raw_banks_canales_person_all,view,all,FALSE,"Unfiltered twin of the current object of the same name: it sees staged and blocked releases, and exists for the ingestion path and for diagnosis. Not a research interface.",juan.manuel.gonzalez,2026-08-31
main,v_latest_raw_banks_carteras_all,view,all,FALSE,"Unfiltered twin of the current object of the same name: it sees staged and blocked releases, and exists for the ingestion path and for diagnosis. Not a research interface.",juan.manuel.gonzalez,2026-08-31
main,v_latest_raw_banks_categoria_creditos_all,view,all,FALSE,"Unfiltered twin of the current object of the same name: it sees staged and blocked releases, and exists for the ingestion path and for diagnosis. Not a research interface.",juan.manuel.gonzalez,2026-08-31
main,v_latest_raw_banks_credito_actividad_all,view,all,FALSE,"Unfiltered twin of the current object of the same name: it sees staged and blocked releases, and exists for the ingestion path and for diagnosis. Not a research interface.",juan.manuel.gonzalez,2026-08-31
main,v_latest_raw_banks_credito_sector_all,view,all,FALSE,"Unfiltered twin of the current object of the same name: it sees staged and blocked releases, and exists for the ingestion path and for diagnosis. Not a research interface.",juan.manuel.gonzalez,2026-08-31
main,v_latest_raw_banks_eeff_all,view,all,FALSE,"Unfiltered twin of the current object of the same name: it sees staged and blocked releases, and exists for the ingestion path and for diagnosis. Not a research interface.",juan.manuel.gonzalez,2026-08-31
main,v_latest_raw_banks_inhab_all,view,all,FALSE,"Unfiltered twin of the current object of the same name: it sees staged and blocked releases, and exists for the ingestion path and for diagnosis. Not a research interface.",juan.manuel.gonzalez,2026-08-31
main,v_latest_raw_banks_ratios_all,view,all,FALSE,"Unfiltered twin of the current object of the same name: it sees staged and blocked releases, and exists for the ingestion path and for diagnosis. Not a research interface.",juan.manuel.gonzalez,2026-08-31
main,v_latest_raw_banks_tc_all,view,all,FALSE,"Unfiltered twin of the current object of the same name: it sees staged and blocked releases, and exists for the ingestion path and for diagnosis. Not a research interface.",juan.manuel.gonzalez,2026-08-31
main,v_latest_raw_financial_canales_person_all,view,all,FALSE,"Unfiltered twin of the current object of the same name: it sees staged and blocked releases, and exists for the ingestion path and for diagnosis. Not a research interface.",juan.manuel.gonzalez,2026-08-31
main,v_latest_raw_financial_carteras_all,view,all,FALSE,"Unfiltered twin of the current object of the same name: it sees staged and blocked releases, and exists for the ingestion path and for diagnosis. Not a research interface.",juan.manuel.gonzalez,2026-08-31
main,v_latest_raw_financial_categoria_creditos_all,view,all,FALSE,"Unfiltered twin of the current object of the same name: it sees staged and blocked releases, and exists for the ingestion path and for diagnosis. Not a research interface.",juan.manuel.gonzalez,2026-08-31
main,v_latest_raw_financial_credito_actividad_all,view,all,FALSE,"Unfiltered twin of the current object of the same name: it sees staged and blocked releases, and exists for the ingestion path and for diagnosis. Not a research interface.",juan.manuel.gonzalez,2026-08-31
main,v_latest_raw_financial_credito_sector_all,view,all,FALSE,"Unfiltered twin of the current object of the same name: it sees staged and blocked releases, and exists for the ingestion path and for diagnosis. Not a research interface.",juan.manuel.gonzalez,2026-08-31
main,v_latest_raw_financial_eeff_all,view,all,FALSE,"Unfiltered twin of the current object of the same name: it sees staged and blocked releases, and exists for the ingestion path and for diagnosis. Not a research interface.",juan.manuel.gonzalez,2026-08-31
main,v_latest_raw_financial_ratios_all,view,all,FALSE,"Unfiltered twin of the current object of the same name: it sees staged and blocked releases, and exists for the ingestion path and for diagnosis. Not a research interface.",juan.manuel.gonzalez,2026-08-31
main,v_latest_raw_financial_tc_all,view,all,FALSE,"Unfiltered twin of the current object of the same name: it sees staged and blocked releases, and exists for the ingestion path and for diagnosis. Not a research interface.",juan.manuel.gonzalez,2026-08-31
main,v_publisher_statement_latest_all,view,all,FALSE,"Unfiltered twin of the current object of the same name: it sees staged and blocked releases, and exists for the ingestion path and for diagnosis. Not a research interface.",juan.manuel.gonzalez,2026-08-31
main,v_series_catalogue_all,view,all,FALSE,"Unfiltered twin of the current object of the same name: it sees staged and blocked releases, and exists for the ingestion path and for diagnosis. Not a research interface.",juan.manuel.gonzalez,2026-08-31
main,v_series_latest_all,view,all,FALSE,"Unfiltered twin of the current object of the same name: it sees staged and blocked releases, and exists for the ingestion path and for diagnosis. Not a research interface.",juan.manuel.gonzalez,2026-08-31
