"source_id","source_sheet","domain","subdomain","measure_family","reviewed_by","reviewed_at","note"
"economic_annex","CUADRO 1","national_accounts","gdp_by_activity","level","unreviewed","","Audit-derived from the published table title; not an economic review."
"economic_annex","CUADRO 10 ","activity_indicators","business_turnover_ecn","index","unreviewed","","Audit-derived from the published table title; not an economic review."
"economic_annex","CUADRO 10 a","activity_indicators","business_turnover_ecn","index","unreviewed","","Audit-derived from the published table title; not an economic review."
"economic_annex","CUADRO 11","labour","minimum_wage","index","unreviewed","","Audit-derived from the published table title; not an economic review."
"economic_annex","CUADRO 12","labour","wages_and_salaries","index","unreviewed","","Audit-derived from the published table title; not an economic review."
"economic_annex","CUADRO 13","prices","tariffs_and_prices","index","unreviewed","","Audit-derived from the published table title; not an economic review."
"economic_annex","CUADRO 13 a","prices","consumer_prices","index","unreviewed","","Audit-derived from the published table title; not an economic review."
"economic_annex","CUADRO 14","prices","consumer_prices","index","unreviewed","","Audit-derived from the published table title; not an economic review."
"economic_annex","CUADRO 14 a","prices","inflation_decomposition","growth","unreviewed","","Audit-derived from the published table title; not an economic review."
"economic_annex","CUADRO 14 b","prices","inflation_decomposition","growth","unreviewed","","Audit-derived from the published table title; not an economic review."
"economic_annex","CUADRO 14 c","prices","inflation_goods_services","index","unreviewed","","Audit-derived from the published table title; not an economic review."
"economic_annex","CUADRO 15","prices","inflation_headline_and_core","growth","unreviewed","","Audit-derived from the published table title; not an economic review."
"economic_annex","CUADRO 16","prices","consumer_price_groups","index","unreviewed","","Audit-derived from the published table title; not an economic review."
"economic_annex","CUADRO 16 (Cont.)","prices","consumer_price_groups","index","unreviewed","","Audit-derived from the published table title; not an economic review."
"economic_annex","CUADRO 16 a","prices","consumer_price_selected_items","index","unreviewed","","Audit-derived from the published table title; not an economic review."
"economic_annex","CUADRO 17 ","prices","producer_prices","index","unreviewed","","Audit-derived from the published table title; not an economic review."
"economic_annex","CUADRO 18","monetary_financial","central_bank_balance_sheet","level","unreviewed","","Audit-derived from the published table title; not an economic review."
"economic_annex","CUADRO 19 ","monetary_financial","monetary_policy_instruments","level","unreviewed","","Audit-derived from the published table title; not an economic review."
"economic_annex","CUADRO 2","national_accounts","gdp_by_activity","level","unreviewed","","Audit-derived from the published table title; not an economic review."
"economic_annex","CUADRO 20","external_reserves_fx","central_bank_fx_operations","flow","unreviewed","","Audit-derived from the published table title; not an economic review."
"economic_annex","CUADRO 21","monetary_financial","monetary_aggregates","level","unreviewed","","Audit-derived from the published table title; not an economic review."
"economic_annex","CUADRO 22","monetary_financial","monetary_aggregates","growth","unreviewed","","Audit-derived from the published table title; not an economic review."
"economic_annex","CUADRO 23","monetary_financial","deposits","level","unreviewed","","Audit-derived from the published table title; not an economic review."
"economic_annex","CUADRO 23a","monetary_financial","deposits","level","unreviewed","","Audit-derived from the published table title; not an economic review."
"economic_annex","CUADRO 23b","monetary_financial","deposits_cooperatives","level","unreviewed","","Audit-derived from the published table title; not an economic review."
"economic_annex","CUADRO 24","monetary_financial","credit","level","unreviewed","","Audit-derived from the published table title; not an economic review."
"economic_annex","CUADRO 24a","monetary_financial","credit","level","unreviewed","","Audit-derived from the published table title; not an economic review."
"economic_annex","CUADRO 24b","monetary_financial","credit_cooperatives","level","unreviewed","","Audit-derived from the published table title; not an economic review."
"economic_annex","CUADRO 25","monetary_financial","credit_and_deposits","growth","unreviewed","","Audit-derived from the published table title; not an economic review."
"economic_annex","CUADRO 26","monetary_financial","monetary_policy_cost","flow","unreviewed","","Audit-derived from the published table title; not an economic review."
"economic_annex","CUADRO 27","monetary_financial","central_bank_position","level","unreviewed","","Audit-derived from the published table title; not an economic review."
"economic_annex","CUADRO 28","monetary_financial","monetary_survey_assets","level","unreviewed","","Audit-derived from the published table title; not an economic review."
"economic_annex","CUADRO 29","monetary_financial","monetary_survey_liabilities","level","unreviewed","","Audit-derived from the published table title; not an economic review."
"economic_annex","CUADRO 29 (Cont.)","monetary_financial","monetary_survey_liabilities","level","unreviewed","","Audit-derived from the published table title; not an economic review."
"economic_annex","CUADRO 3","national_accounts","gdp_by_activity","growth","unreviewed","","Audit-derived from the published table title; not an economic review."
"economic_annex","CUADRO 30","monetary_financial","credit_and_deposits_by_currency","level","unreviewed","","Audit-derived from the published table title; not an economic review."
"economic_annex","CUADRO 31","monetary_financial","interest_rates","rate","unreviewed","","Audit-derived from the published table title; not an economic review."
"economic_annex","CUADRO 31 (Cont.)","monetary_financial","interest_rates","rate","unreviewed","","Audit-derived from the published table title; not an economic review."
"economic_annex","CUADRO 32","monetary_financial","securities_market","level","unreviewed","","Audit-derived from the published table title; not an economic review."
"economic_annex","CUADRO 32 A","monetary_financial","securities_in_custody","level","unreviewed","","Audit-derived from the published table title; not an economic review."
"economic_annex","CUADRO 33","monetary_financial","banking_soundness","ratio","unreviewed","","Audit-derived from the published table title; not an economic review."
"economic_annex","CUADRO 34","monetary_financial","finance_company_soundness","ratio","unreviewed","","Audit-derived from the published table title; not an economic review."
