attempt_id,source_id,vintage_id,stage,elapsed_seconds,recorded_at
attempt:f3811e32fe3f4f71a7921548,bank_reference,bank_reference:cd800f82e64f8f2a0b65eea7,reuse_and_validation,0.1519999999999997,2026-09-14T21:02:20Z
attempt:f3811e32fe3f4f71a7921548,bank_reference,bank_reference:cd800f82e64f8f2a0b65eea7,source_total,0.15699999999999958,2026-09-14T21:02:20Z
attempt:f3811e32fe3f4f71a7921548,banks,banks:3809900872e5af28e11ae86e,reuse_and_validation,0.3140000000000005,2026-09-14T21:02:21Z
attempt:f3811e32fe3f4f71a7921548,banks,banks:3809900872e5af28e11ae86e,source_total,0.3200000000000003,2026-09-14T21:02:21Z
attempt:f3811e32fe3f4f71a7921548,financial,financial:5ebb0bcb3260e482dbf6f83e,reuse_and_validation,0.22100000000000009,2026-09-14T21:02:21Z
attempt:f3811e32fe3f4f71a7921548,financial,financial:5ebb0bcb3260e482dbf6f83e,source_total,0.22699999999999942,2026-09-14T21:02:21Z
attempt:f3811e32fe3f4f71a7921548,exchange_houses,exchange_houses:93e85a8013fb6cf2b842f72e,reuse_and_validation,0.21700000000000053,2026-09-14T21:02:21Z
attempt:f3811e32fe3f4f71a7921548,exchange_houses,exchange_houses:93e85a8013fb6cf2b842f72e,source_total,0.23300000000000054,2026-09-14T21:02:21Z
attempt:f3811e32fe3f4f71a7921548,economic_annex,economic_annex:25818cb75022083e13cab48e,reuse_and_validation,0.22500000000000053,2026-09-14T21:02:21Z
attempt:f3811e32fe3f4f71a7921548,economic_annex,economic_annex:25818cb75022083e13cab48e,source_total,0.2290000000000001,2026-09-14T21:02:21Z
attempt:f3811e32fe3f4f71a7921548,payments,payments:de7b4a670c8e2d7430cd91d6,reuse_and_validation,0.18100000000000005,2026-09-14T21:02:22Z
attempt:f3811e32fe3f4f71a7921548,payments,payments:de7b4a670c8e2d7430cd91d6,source_total,0.1869999999999994,2026-09-14T21:02:22Z
attempt:f3811e32fe3f4f71a7921548,eve,eve:9eef7e154e7e7c6f3990e0fc,reuse_and_validation,0.13599999999999923,2026-09-14T21:02:22Z
attempt:f3811e32fe3f4f71a7921548,eve,eve:9eef7e154e7e7c6f3990e0fc,source_total,0.14200000000000035,2026-09-14T21:02:22Z
attempt:f3811e32fe3f4f71a7921548,icc,icc:b15c74f9723cd0465d088b85,reuse_and_validation,0.13599999999999923,2026-09-14T21:02:22Z
attempt:f3811e32fe3f4f71a7921548,icc,icc:b15c74f9723cd0465d088b85,source_total,0.14099999999999913,2026-09-14T21:02:22Z
attempt:f3811e32fe3f4f71a7921548,credit_survey,credit_survey:58a83c5bcd64e4423fc13c40,reuse_and_validation,0.1459999999999999,2026-09-14T21:02:22Z
attempt:f3811e32fe3f4f71a7921548,credit_survey,credit_survey:58a83c5bcd64e4423fc13c40,source_total,0.15299999999999958,2026-09-14T21:02:22Z
attempt:f3811e32fe3f4f71a7921548,fx_operations,fx_operations:40495acf211c2c2d11664e42,reuse_and_validation,0.19899999999999984,2026-09-14T21:02:22Z
attempt:f3811e32fe3f4f71a7921548,fx_operations,fx_operations:40495acf211c2c2d11664e42,source_total,0.20500000000000007,2026-09-14T21:02:22Z
attempt:f3811e32fe3f4f71a7921548,liquidity_facility,liquidity_facility:d0704796350e86652138be52,reuse_and_validation,0.15999999999999925,2026-09-14T21:02:22Z
attempt:f3811e32fe3f4f71a7921548,liquidity_facility,liquidity_facility:d0704796350e86652138be52,source_total,0.16599999999999948,2026-09-14T21:02:22Z
attempt:f3811e32fe3f4f71a7921548,direct_investment,direct_investment:fbc612f5e64f6905a2e84928,reuse_and_validation,0.15200000000000014,2026-09-14T21:02:23Z
attempt:f3811e32fe3f4f71a7921548,direct_investment,direct_investment:fbc612f5e64f6905a2e84928,source_total,0.15800000000000036,2026-09-14T21:02:23Z
attempt:f3811e32fe3f4f71a7921548,insurance_annex,insurance_annex:7cb2b1d2ffa3badb8113e890,reuse_and_validation,0.1639999999999997,2026-09-14T21:02:23Z
attempt:f3811e32fe3f4f71a7921548,insurance_annex,insurance_annex:7cb2b1d2ffa3badb8113e890,source_total,0.1689999999999996,2026-09-14T21:02:23Z
attempt:f3811e32fe3f4f71a7921548,bcp_fx_daily,bcp_fx_daily:a45bea1e1508bb019befcac9,reuse_and_validation,0.15500000000000025,2026-09-14T21:02:23Z
attempt:f3811e32fe3f4f71a7921548,bcp_fx_daily,bcp_fx_daily:a45bea1e1508bb019befcac9,source_total,0.16500000000000004,2026-09-14T21:02:23Z
attempt:f3811e32fe3f4f71a7921548,exchange_rates,exchange_rates:a822c1e0cb97438c1bde2836,reuse_and_validation,0.16100000000000048,2026-09-14T21:02:23Z
attempt:f3811e32fe3f4f71a7921548,exchange_rates,exchange_rates:a822c1e0cb97438c1bde2836,source_total,0.16500000000000004,2026-09-14T21:02:23Z
attempt:f3811e32fe3f4f71a7921548,corporate_bond_curves,corporate_bond_curves:e5d5a3a5c3e2b00d96d76a11,reuse_and_validation,0.15200000000000014,2026-09-14T21:02:23Z
attempt:f3811e32fe3f4f71a7921548,corporate_bond_curves,corporate_bond_curves:e5d5a3a5c3e2b00d96d76a11,source_total,0.15700000000000003,2026-09-14T21:02:23Z
attempt:f3811e32fe3f4f71a7921548,banking_indicators,banking_indicators:c57dc0f6a422ac9e54dafccd,reuse_and_validation,0.1689999999999996,2026-09-14T21:02:23Z
attempt:f3811e32fe3f4f71a7921548,banking_indicators,banking_indicators:c57dc0f6a422ac9e54dafccd,source_total,0.17499999999999982,2026-09-14T21:02:23Z
attempt:f3811e32fe3f4f71a7921548,financial_indicators,financial_indicators:f9ded3c4fe24e11b14caa1df,reuse_and_validation,0.1750000000000007,2026-09-14T21:02:24Z
attempt:f3811e32fe3f4f71a7921548,financial_indicators,financial_indicators:f9ded3c4fe24e11b14caa1df,source_total,0.1800000000000006,2026-09-14T21:02:24Z
attempt:f3811e32fe3f4f71a7921548,interbank_market,interbank_market:dbcda6fadd28e3dd5bb3afc2,reuse_and_validation,0.17499999999999982,2026-09-14T21:02:24Z
attempt:f3811e32fe3f4f71a7921548,interbank_market,interbank_market:dbcda6fadd28e3dd5bb3afc2,source_total,0.18100000000000005,2026-09-14T21:02:24Z
attempt:f3811e32fe3f4f71a7921548,securities_trades,securities_trades:80f03b3d8b9c898031344ee4,reuse_and_validation,0.15500000000000025,2026-09-14T21:02:24Z
attempt:f3811e32fe3f4f71a7921548,securities_trades,securities_trades:80f03b3d8b9c898031344ee4,source_total,0.1590000000000007,2026-09-14T21:02:24Z
attempt:f3811e32fe3f4f71a7921548,lrm_auctions,lrm_auctions:b7e160f57d37a215d182eaef,reuse_and_validation,0.1719999999999997,2026-09-14T21:02:24Z
attempt:f3811e32fe3f4f71a7921548,lrm_auctions,lrm_auctions:b7e160f57d37a215d182eaef,source_total,0.1769999999999996,2026-09-14T21:02:24Z
attempt:f3811e32fe3f4f71a7921548,compensatory_fx_sales,compensatory_fx_sales:474d8c47b1ad9622b1bb8b29,reuse_and_validation,0.1459999999999999,2026-09-14T21:02:24Z
attempt:f3811e32fe3f4f71a7921548,compensatory_fx_sales,compensatory_fx_sales:474d8c47b1ad9622b1bb8b29,source_total,0.1509999999999998,2026-09-14T21:02:24Z
attempt:f3811e32fe3f4f71a7921548,cda_curve,cda_curve:8796a589fc2bd31317efdce7,ingestion_and_curation,121.944,2026-09-14T21:04:29Z
attempt:f3811e32fe3f4f71a7921548,cda_curve,cda_curve:8796a589fc2bd31317efdce7,source_discovery_and_metadata,1.755,2026-09-14T21:04:29Z
attempt:f3811e32fe3f4f71a7921548,cda_curve,cda_curve:8796a589fc2bd31317efdce7,source_total,124.249,2026-09-14T21:04:29Z
attempt:f3811e32fe3f4f71a7921548,cda_curve,cda_curve:8796a589fc2bd31317efdce7,source_validation,0.14599999999998658,2026-09-14T21:04:29Z
attempt:f3811e32fe3f4f71a7921548,tcn_referential_daily,tcn_referential_daily:74df666397a33b9c8cdfac10,ingestion_and_curation,2.3710000000000093,2026-09-14T21:04:31Z
attempt:f3811e32fe3f4f71a7921548,tcn_referential_daily,tcn_referential_daily:74df666397a33b9c8cdfac10,source_discovery_and_metadata,0.16399999999998727,2026-09-14T21:04:31Z
attempt:f3811e32fe3f4f71a7921548,tcn_referential_daily,tcn_referential_daily:74df666397a33b9c8cdfac10,source_total,2.7220000000000084,2026-09-14T21:04:31Z
attempt:f3811e32fe3f4f71a7921548,tcn_referential_daily,tcn_referential_daily:74df666397a33b9c8cdfac10,source_validation,0.13000000000002387,2026-09-14T21:04:31Z
attempt:f3811e32fe3f4f71a7921548,NA,NA,concept_mappings,0.08299999999999841,2026-09-14T21:04:32Z
attempt:f3811e32fe3f4f71a7921548,NA,NA,table_reconciliation,0.37599999999997635,2026-09-14T21:04:32Z
attempt:f3811e32fe3f4f71a7921548,NA,NA,source_region_classification,0.5190000000000055,2026-09-14T21:04:32Z
attempt:f3811e32fe3f4f71a7921548,NA,NA,table_status_and_domains,0.0630000000000166,2026-09-14T21:04:32Z
attempt:f3811e32fe3f4f71a7921548,NA,NA,series_semantics,1.2360000000000184,2026-09-14T21:04:34Z
attempt:f3811e32fe3f4f71a7921548,NA,NA,observation_missingness,17.700999999999993,2026-09-14T21:04:51Z
attempt:f3811e32fe3f4f71a7921548,NA,NA,governance_registers,0.6059999999999945,2026-09-14T21:04:52Z
attempt:f3811e32fe3f4f71a7921548,NA,NA,mart_views,0.3230000000000075,2026-09-14T21:04:52Z
attempt:f3811e32fe3f4f71a7921548,NA,NA,reports,0.7349999999999852,2026-09-14T21:04:55Z
attempt:f3811e32fe3f4f71a7921548,NA,NA,validation,34.36500000000001,2026-09-14T21:05:29Z
attempt:f3811e32fe3f4f71a7921548,NA,NA,quality_screens,0.9339999999999975,2026-09-14T21:05:30Z
attempt:f3811e32fe3f4f71a7921548,NA,NA,quality_flag_report,0.03299999999998704,2026-09-14T21:05:30Z
