check_id,release_id,vintage_id,severity,check_name,source_id,source_sheet,detail,created_at,attempt_id,scope_type,series_id,period,status,test_version,waiver_evidence
7c4984d0b374801df8d4a74744c7cc0b8df9a6bc55db28537f75763bcecdaab6,release:549669d609b3dc600b81b9bf,NA,error,new_vintage_provenance_incomplete,NA,NA,2 non-legacy vintage(s) lack mandatory acquisition metadata.,2026-09-14T21:04:55Z,attempt:f3811e32fe3f4f71a7921548,release,NA,NA,open,schema_40,NA
08e23436ecc8e7a7222b3c54b3a1a29bc976af6f95a64bc8a55f9f33636c38b1,release:549669d609b3dc600b81b9bf,banking_indicators:c57dc0f6a422ac9e54dafccd,warning,documented_hierarchy_unresolved,banking_indicators,NA,7 parsed sheets contain aggregates/components whose parent-child hierarchy is not fully encoded; do not sum all series blindly.,2026-09-14T21:02:23Z,attempt:f3811e32fe3f4f71a7921548,source,NA,NA,open,schema_40,NA
7309f499531ca437d6cab9be834563c8723276358eb4688aa647a26f73dc2762,release:549669d609b3dc600b81b9bf,banking_indicators:c57dc0f6a422ac9e54dafccd,warning,documented_units_need_review,banking_indicators,NA,51.28% of observations retain source_units because the workbook does not state a unique unit in the parsed title/header path.,2026-09-14T21:02:23Z,attempt:f3811e32fe3f4f71a7921548,source,NA,NA,open,schema_40,NA
7df65bf999652c3e791f7cd7ca2fbe06a6fcc3733422a293b54cb13ef747ef42,release:549669d609b3dc600b81b9bf,bcp_fx_daily:a45bea1e1508bb019befcac9,warning,documented_hierarchy_unresolved,bcp_fx_daily,NA,14 parsed sheets contain aggregates/components whose parent-child hierarchy is not fully encoded; do not sum all series blindly.,2026-09-14T21:02:23Z,attempt:f3811e32fe3f4f71a7921548,source,NA,NA,open,schema_40,NA
2b7b96cb775a0c79bf36136ac8e9cec83c56862b8916c84b395451b0185e157e,release:549669d609b3dc600b81b9bf,cda_curve:8796a589fc2bd31317efdce7,warning,documented_units_need_review,cda_curve,NA,33.33% of observations retain source_units because the workbook does not state a unique unit in the parsed title/header path.,2026-09-14T21:04:28Z,attempt:f3811e32fe3f4f71a7921548,source,NA,NA,open,schema_40,NA
e972955a45e45d3a73b86efe4f80f0a182025dbc2156e362c37c2750d42b04a9,release:549669d609b3dc600b81b9bf,cda_curve:8796a589fc2bd31317efdce7,warning,documented_hierarchy_unresolved,cda_curve,NA,412 parsed sheets contain aggregates/components whose parent-child hierarchy is not fully encoded; do not sum all series blindly.,2026-09-14T21:04:28Z,attempt:f3811e32fe3f4f71a7921548,source,NA,NA,open,schema_40,NA
a22dc42e8100e44a2ce2896c526b1ff2f0522181427f8b6629f2b87cb50f71d2,release:549669d609b3dc600b81b9bf,compensatory_fx_sales:474d8c47b1ad9622b1bb8b29,warning,documented_hierarchy_unresolved,compensatory_fx_sales,NA,1 parsed sheets contain aggregates/components whose parent-child hierarchy is not fully encoded; do not sum all series blindly.,2026-09-14T21:02:24Z,attempt:f3811e32fe3f4f71a7921548,source,NA,NA,open,schema_40,NA
7a9b505a0e2602f0ef8dbe00262c3ab7c1831a1d6862c81bd0eb25c93e487908,release:549669d609b3dc600b81b9bf,direct_investment:fbc612f5e64f6905a2e84928,warning,documented_hierarchy_unresolved,direct_investment,NA,7 parsed sheets contain aggregates/components whose parent-child hierarchy is not fully encoded; do not sum all series blindly.,2026-09-14T21:02:23Z,attempt:f3811e32fe3f4f71a7921548,source,NA,NA,open,schema_40,NA
05131a1376c1d6d4f4eeea1f0069574c1b77db7b869e16f55f14e7cb18060aa5,release:549669d609b3dc600b81b9bf,economic_annex:25818cb75022083e13cab48e,warning,positional_series_identity,economic_annex,NA,232 series required a positional disambiguator; inspect identity_stability before relying on automated continuity.,2026-09-14T21:02:21Z,attempt:f3811e32fe3f4f71a7921548,source,NA,NA,open,schema_40,NA
603a25077b2c54f76c83ce7e327cb2b83012e86d2c54153e0c3c5379b4fea9fe,release:549669d609b3dc600b81b9bf,economic_annex:25818cb75022083e13cab48e,warning,documented_hierarchy_unresolved,economic_annex,NA,93 parsed sheets contain aggregates/components whose parent-child hierarchy is not fully encoded; do not sum all series blindly.,2026-09-14T21:02:21Z,attempt:f3811e32fe3f4f71a7921548,source,NA,NA,open,schema_40,NA
06cbe807b8e875865557c125182706d849d3d0099c7cd236fbfc09c651516a79,release:549669d609b3dc600b81b9bf,exchange_houses:93e85a8013fb6cf2b842f72e,warning,documented_hierarchy_unresolved,exchange_houses,NA,3 parsed sheets contain aggregates/components whose parent-child hierarchy is not fully encoded; do not sum all series blindly.,2026-09-14T21:02:21Z,attempt:f3811e32fe3f4f71a7921548,source,NA,NA,open,schema_40,NA
a575f7696f9b61e111534b7364c9ead1b1c59a44cda8ac2256c1d1ffc1246465,release:549669d609b3dc600b81b9bf,exchange_rates:a822c1e0cb97438c1bde2836,warning,positional_series_identity,exchange_rates,NA,14 series required a positional disambiguator; inspect identity_stability before relying on automated continuity.,2026-09-14T21:02:23Z,attempt:f3811e32fe3f4f71a7921548,source,NA,NA,open,schema_40,NA
8ddb5851a18882c39661dab31eb393ab387d76795321d6feda2ab295f2718cc4,release:549669d609b3dc600b81b9bf,exchange_rates:a822c1e0cb97438c1bde2836,warning,positional_lane_series_identity,exchange_rates,NA,4 series represent repeated same-period source rows/cells that have no unique published semantic identifier; all values were retained in deterministic within-period lanes.,2026-09-14T21:02:23Z,attempt:f3811e32fe3f4f71a7921548,source,NA,NA,open,schema_40,NA
4de71ae328255e8242a03a9850a162b77b7e0cce2b0b6b1c339af3c80260219f,release:549669d609b3dc600b81b9bf,financial_indicators:f9ded3c4fe24e11b14caa1df,warning,documented_hierarchy_unresolved,financial_indicators,NA,11 parsed sheets contain aggregates/components whose parent-child hierarchy is not fully encoded; do not sum all series blindly.,2026-09-14T21:02:24Z,attempt:f3811e32fe3f4f71a7921548,source,NA,NA,open,schema_40,NA
8e5c36b04e0b444c2d17b2226acfba241de6137bd13b5660c8155115494de53f,release:549669d609b3dc600b81b9bf,fx_operations:40495acf211c2c2d11664e42,warning,known_published_fx_non_additivity,fx_operations,Datos,9 published annual subtotals differ in documented exception years; max difference 29.7465,2026-09-14T21:02:22Z,attempt:f3811e32fe3f4f71a7921548,table,NA,NA,open,schema_40,NA
61575d920e56e6f329e0703f1a11baee720d3425c7c4c447f88353c95dc97082,release:549669d609b3dc600b81b9bf,insurance_annex:7cb2b1d2ffa3badb8113e890,warning,positional_series_identity,insurance_annex,NA,2 series required a positional disambiguator; inspect identity_stability before relying on automated continuity.,2026-09-14T21:02:23Z,attempt:f3811e32fe3f4f71a7921548,source,NA,NA,open,schema_40,NA
9258b03913289466cb45950d0905fdfc7990fee418303e128412a9fe563c8201,release:549669d609b3dc600b81b9bf,insurance_annex:7cb2b1d2ffa3badb8113e890,warning,documented_hierarchy_unresolved,insurance_annex,NA,41 parsed sheets contain aggregates/components whose parent-child hierarchy is not fully encoded; do not sum all series blindly.,2026-09-14T21:02:23Z,attempt:f3811e32fe3f4f71a7921548,source,NA,NA,open,schema_40,NA
fb2f8323d796d47e7cfd1f0d5293fdfb6f1ac8625ed5515b7a633d4b5cbb70b4,release:549669d609b3dc600b81b9bf,interbank_market:dbcda6fadd28e3dd5bb3afc2,warning,documented_hierarchy_unresolved,interbank_market,NA,2 parsed sheets contain aggregates/components whose parent-child hierarchy is not fully encoded; do not sum all series blindly.,2026-09-14T21:02:24Z,attempt:f3811e32fe3f4f71a7921548,source,NA,NA,open,schema_40,NA
4ef5196e55019c25d2ba1257d6e1ed978b667ef39a2901a7a3ea82510053375d,release:549669d609b3dc600b81b9bf,interbank_market:dbcda6fadd28e3dd5bb3afc2,warning,positional_series_identity,interbank_market,NA,433 series required a positional disambiguator; inspect identity_stability before relying on automated continuity.,2026-09-14T21:02:24Z,attempt:f3811e32fe3f4f71a7921548,source,NA,NA,open,schema_40,NA
2c3bce89b697928b7c5e190538b008ef1257019a89248f94926aaf689c90dd71,release:549669d609b3dc600b81b9bf,interbank_market:dbcda6fadd28e3dd5bb3afc2,warning,positional_lane_series_identity,interbank_market,NA,433 series represent repeated same-period source rows/cells that have no unique published semantic identifier; all values were retained in deterministic within-period lanes.,2026-09-14T21:02:24Z,attempt:f3811e32fe3f4f71a7921548,source,NA,NA,open,schema_40,NA
128472c5110d7739c57208c45d9d982d4f1b720265c67c71bbc3cde15d7ba6b5,release:549669d609b3dc600b81b9bf,liquidity_facility:d0704796350e86652138be52,warning,positional_lane_series_identity,liquidity_facility,NA,24 series represent repeated same-period source rows/cells that have no unique published semantic identifier; all values were retained in deterministic within-period lanes.,2026-09-14T21:02:22Z,attempt:f3811e32fe3f4f71a7921548,source,NA,NA,open,schema_40,NA
403f55ce9cfcf9a34f0978edbae384cf6978251afb27ba05cf7ef51caf330b73,release:549669d609b3dc600b81b9bf,liquidity_facility:d0704796350e86652138be52,warning,positional_series_identity,liquidity_facility,NA,24 series required a positional disambiguator; inspect identity_stability before relying on automated continuity.,2026-09-14T21:02:22Z,attempt:f3811e32fe3f4f71a7921548,source,NA,NA,open,schema_40,NA
146ee66ec6d82d6758ed24e4d2339e6619957c9f0b2e6ae299144c0597c99d9c,release:549669d609b3dc600b81b9bf,lrm_auctions:b7e160f57d37a215d182eaef,warning,positional_series_identity,lrm_auctions,NA,39 series required a positional disambiguator; inspect identity_stability before relying on automated continuity.,2026-09-14T21:02:24Z,attempt:f3811e32fe3f4f71a7921548,source,NA,NA,open,schema_40,NA
e62adcf491b762747e3f8fe8d817009c072ae5494e57d292e94b4ad51f9b63b2,release:549669d609b3dc600b81b9bf,lrm_auctions:b7e160f57d37a215d182eaef,warning,positional_lane_series_identity,lrm_auctions,NA,39 series represent repeated same-period source rows/cells that have no unique published semantic identifier; all values were retained in deterministic within-period lanes.,2026-09-14T21:02:24Z,attempt:f3811e32fe3f4f71a7921548,source,NA,NA,open,schema_40,NA
9d49bb0a6843bb5a31ffa40c7e694c18dbd0d6c2f7af81686fce1953ab628325,release:549669d609b3dc600b81b9bf,lrm_auctions:b7e160f57d37a215d182eaef,warning,documented_units_need_review,lrm_auctions,NA,100.00% of observations retain source_units because the workbook does not state a unique unit in the parsed title/header path.,2026-09-14T21:02:24Z,attempt:f3811e32fe3f4f71a7921548,source,NA,NA,open,schema_40,NA
63c7e11ef5c70b645f838741d9289077ba3124abfedfe308ba33fe147e16ec21,release:549669d609b3dc600b81b9bf,payments:de7b4a670c8e2d7430cd91d6,warning,documented_units_need_review,payments,NA,18.70% of observations retain source_units because the workbook does not state a unique unit in the parsed title/header path.,2026-09-14T21:02:22Z,attempt:f3811e32fe3f4f71a7921548,source,NA,NA,open,schema_40,NA
d010130b769a56efb550584c20c7ea29be757702d4d42cd11ff34c0e0e2638bb,release:549669d609b3dc600b81b9bf,payments:de7b4a670c8e2d7430cd91d6,warning,documented_hierarchy_unresolved,payments,NA,38 parsed sheets contain aggregates/components whose parent-child hierarchy is not fully encoded; do not sum all series blindly.,2026-09-14T21:02:22Z,attempt:f3811e32fe3f4f71a7921548,source,NA,NA,open,schema_40,NA
c877d375ba9a3c6c68813c0fbd981b7a953bd6cf217a8d024857c1495f6ec93a,release:549669d609b3dc600b81b9bf,payments:de7b4a670c8e2d7430cd91d6,warning,positional_series_identity,payments,NA,76 series required a positional disambiguator; inspect identity_stability before relying on automated continuity.,2026-09-14T21:02:22Z,attempt:f3811e32fe3f4f71a7921548,source,NA,NA,open,schema_40,NA
cd37ab57e041dfcbab50a286a142a439d724ceb3a74d15c4176dc9afe9865bcc,release:549669d609b3dc600b81b9bf,tcn_referential_daily:74df666397a33b9c8cdfac10,warning,documented_units_need_review,tcn_referential_daily,NA,100.00% of observations retain source_units because the workbook does not state a unique unit in the parsed title/header path.,2026-09-14T21:04:31Z,attempt:f3811e32fe3f4f71a7921548,source,NA,NA,open,schema_40,NA
4b1810295dd5e9841956d9c06296f4ece06b3d6d40c972eb0809ecaf25ac4634,release:549669d609b3dc600b81b9bf,NA,warning,source_region_unreviewed,NA,NA,"6,522 published numeric cell(s) across 49 worksheet(s) sit outside every parser region and have no rule in config/source_region_rules.csv saying what they are, so no worksheet they touch can be promoted to validated. See outputs/source_region_review_worklist.csv. Largest: lrm_auctions/Subastas 2024 (  144); banking_indicators/Índice (    7); exchange_rates/USD Fin Mes (1,529); lrm_auctions/Subastas 2015  (  144); lrm_auctions/Subastas 2022 (  144)",2026-09-14T21:04:55Z,attempt:f3811e32fe3f4f71a7921548,release,NA,NA,open,schema_40,NA
