source_id,vintage_id,official_url,release_identifier,retrieved_at,retrieval_method
bank_reference,bank_reference:cd800f82e64f8f2a0b65eea7,NA,NA,2026-08-24T23:33:13Z,archive_ingest_upper_bound
banks,banks:3809900872e5af28e11ae86e,NA,NA,2026-08-24T23:33:28Z,archive_ingest_upper_bound
financial,financial:5ebb0bcb3260e482dbf6f83e,NA,NA,2026-08-24T23:33:39Z,archive_ingest_upper_bound
exchange_houses,exchange_houses:93e85a8013fb6cf2b842f72e,NA,NA,2026-08-24T23:33:46Z,archive_ingest_upper_bound
economic_annex,economic_annex:25818cb75022083e13cab48e,NA,NA,2026-08-24T23:33:55Z,archive_ingest_upper_bound
payments,payments:de7b4a670c8e2d7430cd91d6,NA,NA,2026-08-24T23:35:49Z,archive_ingest_upper_bound
eve,eve:9eef7e154e7e7c6f3990e0fc,NA,NA,2026-08-24T23:35:59Z,archive_ingest_upper_bound
icc,icc:b15c74f9723cd0465d088b85,NA,NA,2026-08-24T23:36:01Z,archive_ingest_upper_bound
credit_survey,credit_survey:58a83c5bcd64e4423fc13c40,NA,NA,2026-08-24T23:36:02Z,archive_ingest_upper_bound
fx_operations,fx_operations:40495acf211c2c2d11664e42,NA,NA,2026-08-24T23:36:23Z,archive_ingest_upper_bound
liquidity_facility,liquidity_facility:d0704796350e86652138be52,NA,NA,2026-08-24T23:36:29Z,archive_ingest_upper_bound
direct_investment,direct_investment:fbc612f5e64f6905a2e84928,NA,NA,2026-08-24T23:36:34Z,archive_ingest_upper_bound
insurance_annex,insurance_annex:7cb2b1d2ffa3badb8113e890,NA,NA,2026-08-24T23:36:43Z,archive_ingest_upper_bound
bcp_fx_daily,bcp_fx_daily:a45bea1e1508bb019befcac9,NA,NA,2026-08-24T23:36:53Z,archive_ingest_upper_bound
exchange_rates,exchange_rates:a822c1e0cb97438c1bde2836,NA,NA,2026-08-24T23:37:01Z,archive_ingest_upper_bound
corporate_bond_curves,corporate_bond_curves:e5d5a3a5c3e2b00d96d76a11,NA,NA,2026-08-24T23:37:03Z,archive_ingest_upper_bound
banking_indicators,banking_indicators:c57dc0f6a422ac9e54dafccd,NA,NA,2026-08-24T23:37:06Z,archive_ingest_upper_bound
financial_indicators,financial_indicators:f9ded3c4fe24e11b14caa1df,NA,NA,2026-08-24T23:37:09Z,archive_ingest_upper_bound
interbank_market,interbank_market:dbcda6fadd28e3dd5bb3afc2,NA,NA,2026-08-24T23:37:39Z,archive_ingest_upper_bound
securities_trades,securities_trades:80f03b3d8b9c898031344ee4,NA,NA,2026-08-24T23:37:55Z,archive_ingest_upper_bound
lrm_auctions,lrm_auctions:b7e160f57d37a215d182eaef,NA,NA,2026-08-24T23:38:01Z,archive_ingest_upper_bound
compensatory_fx_sales,compensatory_fx_sales:474d8c47b1ad9622b1bb8b29,NA,NA,2026-08-24T23:38:05Z,archive_ingest_upper_bound
cda_curve,cda_curve:8796a589fc2bd31317efdce7,NA,NA,NA,NA
tcn_referential_daily,tcn_referential_daily:74df666397a33b9c8cdfac10,NA,NA,NA,NA
