vintage_id,source_id,source_sheet,release_id,numeric_source_cells,accepted_observations,rejected_observations,documented_exclusions,many_to_one_allowance,balance_delta,status,note,checked_at,accepted_cells,cell_reuse,unmapped_in_region,out_of_region_cells,classified_cells,unclassified_cells,parser_defect_cells
financial_indicators:f9ded3c4fe24e11b14caa1df,financial_indicators,4,release:549669d609b3dc600b81b9bf,17484,17484,0,0,0,0,balanced,Every numeric cell in the parsed region is accounted for.,2026-09-14T21:04:32Z,17484,0,0,0,0,0,0
financial_indicators:f9ded3c4fe24e11b14caa1df,financial_indicators,8,release:549669d609b3dc600b81b9bf,1869,1743,0,0,0,0,balanced,Every numeric cell in the parsed region is accounted for.,2026-09-14T21:04:32Z,1743,0,0,126,0,0,0
cda_curve:8796a589fc2bd31317efdce7,cda_curve,CDA_ME_042025,release:549669d609b3dc600b81b9bf,31,31,0,0,0,0,balanced,Every numeric cell in the parsed region is accounted for.,2026-09-14T21:04:32Z,31,0,0,0,0,0,0
cda_curve:8796a589fc2bd31317efdce7,cda_curve,CDA_ML_032025,release:549669d609b3dc600b81b9bf,37,37,0,0,0,0,balanced,Every numeric cell in the parsed region is accounted for.,2026-09-14T21:04:32Z,37,0,0,0,0,0,0
cda_curve:8796a589fc2bd31317efdce7,cda_curve,OPERACIONES_VOLUMEN_ME_032025,release:549669d609b3dc600b81b9bf,60,60,0,0,0,0,balanced,Every numeric cell in the parsed region is accounted for.,2026-09-14T21:04:32Z,60,0,0,0,0,0,0
cda_curve:8796a589fc2bd31317efdce7,cda_curve,OPERACIONES_VOLUMEN_ML_022024,release:549669d609b3dc600b81b9bf,84,84,0,0,0,0,balanced,Every numeric cell in the parsed region is accounted for.,2026-09-14T21:04:32Z,84,0,0,0,0,0,0
cda_curve:8796a589fc2bd31317efdce7,cda_curve,CDA_ML_032023,release:549669d609b3dc600b81b9bf,41,41,0,0,0,0,balanced,Every numeric cell in the parsed region is accounted for.,2026-09-14T21:04:32Z,41,0,0,0,0,0,0
cda_curve:8796a589fc2bd31317efdce7,cda_curve,OPERACIONES_VOLUMEN_ME_102022,release:549669d609b3dc600b81b9bf,54,54,0,0,0,0,balanced,Every numeric cell in the parsed region is accounted for.,2026-09-14T21:04:32Z,54,0,0,0,0,0,0
cda_curve:8796a589fc2bd31317efdce7,cda_curve,OPERACIONES_VOLUMEN_ML_092022,release:549669d609b3dc600b81b9bf,86,86,0,0,0,0,balanced,Every numeric cell in the parsed region is accounted for.,2026-09-14T21:04:32Z,86,0,0,0,0,0,0
cda_curve:8796a589fc2bd31317efdce7,cda_curve,OPERACIONES_VOLUMEN_ME_072022,release:549669d609b3dc600b81b9bf,56,56,0,0,0,0,balanced,Every numeric cell in the parsed region is accounted for.,2026-09-14T21:04:32Z,56,0,0,0,0,0,0
cda_curve:8796a589fc2bd31317efdce7,cda_curve,CDA_ML_062022,release:549669d609b3dc600b81b9bf,43,43,0,0,0,0,balanced,Every numeric cell in the parsed region is accounted for.,2026-09-14T21:04:32Z,43,0,0,0,0,0,0
cda_curve:8796a589fc2bd31317efdce7,cda_curve,CDA_ML_012022,release:549669d609b3dc600b81b9bf,40,40,0,0,0,0,balanced,Every numeric cell in the parsed region is accounted for.,2026-09-14T21:04:32Z,40,0,0,0,0,0,0
cda_curve:8796a589fc2bd31317efdce7,cda_curve,OPERACIONES_VOLUMEN_ME_092021,release:549669d609b3dc600b81b9bf,68,68,0,0,0,0,balanced,Every numeric cell in the parsed region is accounted for.,2026-09-14T21:04:32Z,68,0,0,0,0,0,0
cda_curve:8796a589fc2bd31317efdce7,cda_curve,OPERACIONES_VOLUMEN_ME_012021,release:549669d609b3dc600b81b9bf,58,58,0,0,0,0,balanced,Every numeric cell in the parsed region is accounted for.,2026-09-14T21:04:32Z,58,0,0,0,0,0,0
cda_curve:8796a589fc2bd31317efdce7,cda_curve,CDA_ME_102020,release:549669d609b3dc600b81b9bf,32,32,0,0,0,0,balanced,Every numeric cell in the parsed region is accounted for.,2026-09-14T21:04:32Z,32,0,0,0,0,0,0
cda_curve:8796a589fc2bd31317efdce7,cda_curve,OPERACIONES_VOLUMEN_ML_092020,release:549669d609b3dc600b81b9bf,78,78,0,0,0,0,balanced,Every numeric cell in the parsed region is accounted for.,2026-09-14T21:04:32Z,78,0,0,0,0,0,0
cda_curve:8796a589fc2bd31317efdce7,cda_curve,OPERACIONES_VOLUMEN_ML_052020,release:549669d609b3dc600b81b9bf,74,74,0,0,0,0,balanced,Every numeric cell in the parsed region is accounted for.,2026-09-14T21:04:32Z,74,0,0,0,0,0,0
cda_curve:8796a589fc2bd31317efdce7,cda_curve,OPERACIONES_VOLUMEN_ML_022018,release:549669d609b3dc600b81b9bf,94,94,0,0,0,0,balanced,Every numeric cell in the parsed region is accounted for.,2026-09-14T21:04:32Z,94,0,0,0,0,0,0
tcn_referential_daily:74df666397a33b9c8cdfac10,tcn_referential_daily,2013_Venta,release:549669d609b3dc600b81b9bf,280,249,0,0,0,0,balanced,Every numeric cell in the parsed region is accounted for.,2026-09-14T21:04:32Z,249,0,0,31,0,0,0
tcn_referential_daily:74df666397a33b9c8cdfac10,tcn_referential_daily,2014_Venta,release:549669d609b3dc600b81b9bf,280,249,0,0,0,0,balanced,Every numeric cell in the parsed region is accounted for.,2026-09-14T21:04:32Z,249,0,0,31,0,0,0
tcn_referential_daily:74df666397a33b9c8cdfac10,tcn_referential_daily,2019_Compra,release:549669d609b3dc600b81b9bf,279,248,0,0,0,0,balanced,Every numeric cell in the parsed region is accounted for.,2026-09-14T21:04:32Z,248,0,0,31,0,0,0
payments:de7b4a670c8e2d7430cd91d6,payments,SIPAP_12,release:549669d609b3dc600b81b9bf,590,590,0,0,0,0,balanced,Every numeric cell in the parsed region is accounted for.,2026-09-14T21:04:32Z,590,0,0,0,0,0,0
payments:de7b4a670c8e2d7430cd91d6,payments,OMP 04,release:549669d609b3dc600b81b9bf,1660,1660,0,0,0,0,balanced,Every numeric cell in the parsed region is accounted for.,2026-09-14T21:04:32Z,1660,0,0,0,0,0,0
cda_curve:8796a589fc2bd31317efdce7,cda_curve,CDA_ME_112024,release:549669d609b3dc600b81b9bf,27,27,0,0,0,0,balanced,Every numeric cell in the parsed region is accounted for.,2026-09-14T21:04:32Z,27,0,0,0,0,0,0
cda_curve:8796a589fc2bd31317efdce7,cda_curve,CDA_ME_062024,release:549669d609b3dc600b81b9bf,29,29,0,0,0,0,balanced,Every numeric cell in the parsed region is accounted for.,2026-09-14T21:04:32Z,29,0,0,0,0,0,0
cda_curve:8796a589fc2bd31317efdce7,cda_curve,CDA_ME_012021,release:549669d609b3dc600b81b9bf,29,29,0,0,0,0,balanced,Every numeric cell in the parsed region is accounted for.,2026-09-14T21:04:32Z,29,0,0,0,0,0,0
cda_curve:8796a589fc2bd31317efdce7,cda_curve,CDA_ML_102020,release:549669d609b3dc600b81b9bf,39,39,0,0,0,0,balanced,Every numeric cell in the parsed region is accounted for.,2026-09-14T21:04:32Z,39,0,0,0,0,0,0
cda_curve:8796a589fc2bd31317efdce7,cda_curve,OPERACIONES_VOLUMEN_ME_102019,release:549669d609b3dc600b81b9bf,62,62,0,0,0,0,balanced,Every numeric cell in the parsed region is accounted for.,2026-09-14T21:04:32Z,62,0,0,0,0,0,0
cda_curve:8796a589fc2bd31317efdce7,cda_curve,CDA_ML_092019,release:549669d609b3dc600b81b9bf,35,35,0,0,0,0,balanced,Every numeric cell in the parsed region is accounted for.,2026-09-14T21:04:32Z,35,0,0,0,0,0,0
cda_curve:8796a589fc2bd31317efdce7,cda_curve,OPERACIONES_VOLUMEN_ME_082019,release:549669d609b3dc600b81b9bf,64,64,0,0,0,0,balanced,Every numeric cell in the parsed region is accounted for.,2026-09-14T21:04:32Z,64,0,0,0,0,0,0
cda_curve:8796a589fc2bd31317efdce7,cda_curve,OPERACIONES_VOLUMEN_ML_012018,release:549669d609b3dc600b81b9bf,90,90,0,0,0,0,balanced,Every numeric cell in the parsed region is accounted for.,2026-09-14T21:04:32Z,90,0,0,0,0,0,0
economic_annex:25818cb75022083e13cab48e,economic_annex,CUADRO 60b,release:549669d609b3dc600b81b9bf,2646,2268,0,0,0,0,balanced,Every numeric cell in the parsed region is accounted for.,2026-09-14T21:04:32Z,2268,0,0,378,0,0,0
direct_investment:fbc612f5e64f6905a2e84928,direct_investment,Cuadro 7,release:549669d609b3dc600b81b9bf,4335,4275,0,0,0,0,balanced,Every numeric cell in the parsed region is accounted for.,2026-09-14T21:04:32Z,4275,0,0,60,0,0,0
economic_annex:25818cb75022083e13cab48e,economic_annex,CUADRO 32,release:549669d609b3dc600b81b9bf,7613,7222,0,0,0,0,balanced,Every numeric cell in the parsed region is accounted for.,2026-09-14T21:04:32Z,7222,0,0,391,0,0,0
economic_annex:25818cb75022083e13cab48e,economic_annex,CUADRO 42,release:549669d609b3dc600b81b9bf,510,510,0,0,0,0,balanced,Every numeric cell in the parsed region is accounted for.,2026-09-14T21:04:32Z,510,0,0,0,0,0,0
financial_indicators:f9ded3c4fe24e11b14caa1df,financial_indicators,3.1,release:549669d609b3dc600b81b9bf,41735,41735,0,0,0,0,balanced,Every numeric cell in the parsed region is accounted for.,2026-09-14T21:04:32Z,41735,0,0,0,0,0,0
lrm_auctions:b7e160f57d37a215d182eaef,lrm_auctions,Subastas 2023,release:549669d609b3dc600b81b9bf,1061,701,0,0,0,0,balanced,Every numeric cell in the parsed region is accounted for.,2026-09-14T21:04:32Z,701,0,0,360,0,0,0
exchange_houses:93e85a8013fb6cf2b842f72e,exchange_houses,1. EEFF,release:549669d609b3dc600b81b9bf,4723,4712,0,0,0,0,balanced,Every numeric cell in the parsed region is accounted for.,2026-09-14T21:04:32Z,4712,0,0,11,0,0,0
insurance_annex:7cb2b1d2ffa3badb8113e890,insurance_annex,1.25,release:549669d609b3dc600b81b9bf,1326,1326,0,0,0,0,balanced,Every numeric cell in the parsed region is accounted for.,2026-09-14T21:04:32Z,1326,0,0,0,0,0,0
banking_indicators:c57dc0f6a422ac9e54dafccd,banking_indicators,6,release:549669d609b3dc600b81b9bf,882,756,0,0,0,0,balanced,Every numeric cell in the parsed region is accounted for.,2026-09-14T21:04:32Z,756,0,0,126,0,0,0
economic_annex:25818cb75022083e13cab48e,economic_annex,Cuadro 49,release:549669d609b3dc600b81b9bf,5715,5236,0,0,0,0,balanced,Every numeric cell in the parsed region is accounted for.,2026-09-14T21:04:32Z,5236,0,0,479,0,0,0
economic_annex:25818cb75022083e13cab48e,economic_annex,CUADRO 17 ,release:549669d609b3dc600b81b9bf,6278,5911,0,0,0,0,balanced,Every numeric cell in the parsed region is accounted for.,2026-09-14T21:04:32Z,5911,0,0,367,0,0,0
economic_annex:25818cb75022083e13cab48e,economic_annex,Cuadro 21 a,release:549669d609b3dc600b81b9bf,4347,3568,0,0,0,0,balanced,Every numeric cell in the parsed region is accounted for.,2026-09-14T21:04:32Z,3568,0,0,779,0,0,0
economic_annex:25818cb75022083e13cab48e,economic_annex,Cuadro 54,release:549669d609b3dc600b81b9bf,3162,2830,0,0,0,0,balanced,Every numeric cell in the parsed region is accounted for.,2026-09-14T21:04:32Z,2830,0,0,332,0,0,0
cda_curve:8796a589fc2bd31317efdce7,cda_curve,OPERACIONES_VOLUMEN_ME_042026,release:549669d609b3dc600b81b9bf,64,64,0,0,0,0,balanced,Every numeric cell in the parsed region is accounted for.,2026-09-14T21:04:32Z,64,0,0,0,0,0,0
cda_curve:8796a589fc2bd31317efdce7,cda_curve,OPERACIONES_VOLUMEN_ME_052024,release:549669d609b3dc600b81b9bf,56,56,0,0,0,0,balanced,Every numeric cell in the parsed region is accounted for.,2026-09-14T21:04:32Z,56,0,0,0,0,0,0
cda_curve:8796a589fc2bd31317efdce7,cda_curve,OPERACIONES_VOLUMEN_ML_092023,release:549669d609b3dc600b81b9bf,76,76,0,0,0,0,balanced,Every numeric cell in the parsed region is accounted for.,2026-09-14T21:04:32Z,76,0,0,0,0,0,0
cda_curve:8796a589fc2bd31317efdce7,cda_curve,OPERACIONES_VOLUMEN_ML_112022,release:549669d609b3dc600b81b9bf,74,74,0,0,0,0,balanced,Every numeric cell in the parsed region is accounted for.,2026-09-14T21:04:32Z,74,0,0,0,0,0,0
cda_curve:8796a589fc2bd31317efdce7,cda_curve,OPERACIONES_VOLUMEN_ME_122018,release:549669d609b3dc600b81b9bf,66,66,0,0,0,0,balanced,Every numeric cell in the parsed region is accounted for.,2026-09-14T21:04:32Z,66,0,0,0,0,0,0
cda_curve:8796a589fc2bd31317efdce7,cda_curve,OPERACIONES_VOLUMEN_ML_032018,release:549669d609b3dc600b81b9bf,74,74,0,0,0,0,balanced,Every numeric cell in the parsed region is accounted for.,2026-09-14T21:04:32Z,74,0,0,0,0,0,0
cda_curve:8796a589fc2bd31317efdce7,cda_curve,CDA_ML_102024,release:549669d609b3dc600b81b9bf,38,38,0,0,0,0,balanced,Every numeric cell in the parsed region is accounted for.,2026-09-14T21:04:32Z,38,0,0,0,0,0,0
cda_curve:8796a589fc2bd31317efdce7,cda_curve,CDA_ME_032025,release:549669d609b3dc600b81b9bf,30,30,0,0,0,0,balanced,Every numeric cell in the parsed region is accounted for.,2026-09-14T21:04:32Z,30,0,0,0,0,0,0
cda_curve:8796a589fc2bd31317efdce7,cda_curve,OPERACIONES_VOLUMEN_ME_052026,release:549669d609b3dc600b81b9bf,70,70,0,0,0,0,balanced,Every numeric cell in the parsed region is accounted for.,2026-09-14T21:04:32Z,70,0,0,0,0,0,0
cda_curve:8796a589fc2bd31317efdce7,cda_curve,OPERACIONES_VOLUMEN_ML_092025,release:549669d609b3dc600b81b9bf,78,78,0,0,0,0,balanced,Every numeric cell in the parsed region is accounted for.,2026-09-14T21:04:32Z,78,0,0,0,0,0,0
