"source_id","vintage_id","source_file","source_path","archive_path","sha256","size_bytes","publication_date","publication_date_source","ingestion_status"
"bank_reference","bank_reference:cd800f82e64f8f2a0b65eea7","Referencias_bancos_financieras.xlsx","/Users/juanmanuelgonzalezmasulli/Documents/Paraguay_Macro_Database/input/current/bank_reference/Referencias_bancos_financieras.xlsx","/Users/juanmanuelgonzalezmasulli/Documents/Paraguay_Macro_Database/input_archive/bank_reference/cd800f82e64f8f2a0b65eea781becf06df2c42cd060b366f73f17393eead8ba9.xlsx","cd800f82e64f8f2a0b65eea781becf06df2c42cd060b366f73f17393eead8ba9",142075,,"pending_content_inference","completed"
"banking_indicators","banking_indicators:c57dc0f6a422ac9e54dafccd","IDB_JUN26.xlsx","/Users/juanmanuelgonzalezmasulli/Documents/Paraguay_Macro_Database/input/current/banking_indicators/IDB_JUN26.xlsx","/Users/juanmanuelgonzalezmasulli/Documents/Paraguay_Macro_Database/input_archive/banking_indicators/c57dc0f6a422ac9e54dafccd2fabfd7cbc358ed67fe3be9c50a46efffad3246d.xlsx","c57dc0f6a422ac9e54dafccd2fabfd7cbc358ed67fe3be9c50a46efffad3246d",223521,2026-06-30,"filename","completed"
"banks","banks:3809900872e5af28e11ae86e","1.1 Tablas Boletín Bancos Jul26 1.xlsx","/Users/juanmanuelgonzalezmasulli/Documents/Paraguay_Macro_Database/input/current/banks/1.1 Tablas Boletín Bancos Jul26 1.xlsx","/Users/juanmanuelgonzalezmasulli/Documents/Paraguay_Macro_Database/input_archive/banks/3809900872e5af28e11ae86ecca29027159ffec268d9f059b4aa448bf0b76879.xlsx","3809900872e5af28e11ae86ecca29027159ffec268d9f059b4aa448bf0b76879",18100537,2026-07-31,"filename","completed"
"bcp_fx_daily","bcp_fx_daily:a45bea1e1508bb019befcac9","Compra_Venta de Divisas del BCP_2026 (1).xlsx","/Users/juanmanuelgonzalezmasulli/Documents/Paraguay_Macro_Database/input/current/bcp_fx_daily/Compra_Venta de Divisas del BCP_2026 (1).xlsx","/Users/juanmanuelgonzalezmasulli/Documents/Paraguay_Macro_Database/input_archive/bcp_fx_daily/a45bea1e1508bb019befcac9c545dfb03e0e537649a4d7a20d2a8bea59652091.xlsx","a45bea1e1508bb019befcac9c545dfb03e0e537649a4d7a20d2a8bea59652091",708526,2026-08-14,"content_max_period","completed"
"cda_curve","cda_curve:8796a589fc2bd31317efdce7","Curva_CDA.xlsx","/Users/juanmanuelgonzalezmasulli/Documents/Paraguay_Macro_Database/input/current/Curva_CDA.xlsx","/Users/juanmanuelgonzalezmasulli/Documents/Paraguay_Macro_Database/input_archive/cda_curve/8796a589fc2bd31317efdce7865d4598473fdacd048cf04b676dc8f78e2b144c.xlsx","8796a589fc2bd31317efdce7865d4598473fdacd048cf04b676dc8f78e2b144c",4505245,2026-07-31,"content_max_period","completed"
"compensatory_fx_sales","compensatory_fx_sales:474d8c47b1ad9622b1bb8b29","Ventas Compensatorias_Ventas Complementarias_2026.xlsx","/Users/juanmanuelgonzalezmasulli/Documents/Paraguay_Macro_Database/input/current/compensatory_fx_sales/Ventas Compensatorias_Ventas Complementarias_2026.xlsx","/Users/juanmanuelgonzalezmasulli/Documents/Paraguay_Macro_Database/input_archive/compensatory_fx_sales/474d8c47b1ad9622b1bb8b29c229f87104f01dba4c461150a894d13b679812e1.xlsx","474d8c47b1ad9622b1bb8b29c229f87104f01dba4c461150a894d13b679812e1",46445,2026-07-31,"content_max_period","completed"
"corporate_bond_curves","corporate_bond_curves:e5d5a3a5c3e2b00d96d76a11","Curvas Bonoc Corporativos.csv","/Users/juanmanuelgonzalezmasulli/Documents/Paraguay_Macro_Database/input/current/corporate_bond_curves/Curvas Bonoc Corporativos.csv","/Users/juanmanuelgonzalezmasulli/Documents/Paraguay_Macro_Database/input_archive/corporate_bond_curves/e5d5a3a5c3e2b00d96d76a112c579af506be1b2446c98d531aa5d6e756de85d3.csv","e5d5a3a5c3e2b00d96d76a112c579af506be1b2446c98d531aa5d6e756de85d3",7440407,2026-07-31,"content_max_period","completed"
"credit_survey","credit_survey:58a83c5bcd64e4423fc13c40","Estadística Situación General del Crédito.xlsx","/Users/juanmanuelgonzalezmasulli/Documents/Paraguay_Macro_Database/input/current/credit_survey/Estadística Situación General del Crédito.xlsx","/Users/juanmanuelgonzalezmasulli/Documents/Paraguay_Macro_Database/input_archive/credit_survey/58a83c5bcd64e4423fc13c407b372d283eb185de2ea452405ae3ced47f88a4ed.xlsx","58a83c5bcd64e4423fc13c407b372d283eb185de2ea452405ae3ced47f88a4ed",183146,2026-06-30,"content_max_period","completed"
"direct_investment","direct_investment:fbc612f5e64f6905a2e84928","Anexo estadístico de Inversión Directa (ID) 1995 - 2024 (1).xlsx","/Users/juanmanuelgonzalezmasulli/Documents/Paraguay_Macro_Database/input/current/direct_investment/Anexo estadístico de Inversión Directa (ID) 1995 - 2024 (1).xlsx","/Users/juanmanuelgonzalezmasulli/Documents/Paraguay_Macro_Database/input_archive/direct_investment/fbc612f5e64f6905a2e84928d4cdd25582ac491b647b0e5a1eab7146d059858a.xlsx","fbc612f5e64f6905a2e84928d4cdd25582ac491b647b0e5a1eab7146d059858a",6100024,2024-12-31,"content_max_period","completed"
"economic_annex","economic_annex:25818cb75022083e13cab48e","Anexo_Estadístico_del_Informe_Económico_13_08_2026.xlsx","/Users/juanmanuelgonzalezmasulli/Documents/Paraguay_Macro_Database/input/current/economic_annex/Anexo_Estadístico_del_Informe_Económico_13_08_2026.xlsx","/Users/juanmanuelgonzalezmasulli/Documents/Paraguay_Macro_Database/input_archive/economic_annex/25818cb75022083e13cab48e773038b4f4c82557fa6e307ec50b428eefd9f0ae.xlsx","25818cb75022083e13cab48e773038b4f4c82557fa6e307ec50b428eefd9f0ae",8855976,2026-08-13,"filename","completed"
