"source_id","raw_source_files","staging_rows","canonical_facts","canonical_series","catalog_series","explore_observations"
"bank_reference",1,0,0,0,0,0
"banking_indicators",1,4914,4914,39,39,4914
"banks",1,0,0,0,0,0
"bcp_fx_daily",1,40836,40836,12,12,40836
"cda_curve",0,0,0,0,0,0
"compensatory_fx_sales",1,417,417,3,3,417
"corporate_bond_curves",1,0,116766,1287,1287,116766
"credit_survey",1,15806,15806,312,312,15806
"direct_investment",1,33109,33109,516,516,33109
"economic_annex",1,656179,656179,2764,2764,622517
"eve",1,0,2760,16,16,2760
"exchange_houses",1,5048,5048,770,770,5048
"exchange_rates",1,4340,4340,52,52,3750
"financial",1,0,0,0,0,0
"financial_indicators",1,158038,158038,1050,1050,158031
"fx_operations",1,0,5480,30,30,5450
"icc",1,0,1236,12,12,1236
"insurance_annex",1,34846,34846,2050,2050,34812
"interbank_market",1,81474,81474,1346,1346,81474
"liquidity_facility",1,3652,3652,56,56,3652
"lrm_auctions",1,10351,10351,3083,3083,10351
"payments",1,51830,51830,587,587,46068
"securities_trades",1,0,0,0,0,0
"tcn_referential_daily",0,0,0,0,0,0
