vintage_id,source_id,source_sheet,table_title,parser_mode,parse_status,hierarchy_status,raw_nonempty_cells,parsed_observations,series_count,first_period,last_period,unit_summary,coverage_note
banking_indicators:c57dc0f6a422ac9e54dafccd,banking_indicators,1,CRÉDITOS — Personas con crédito y cantidad total de operaciones,vertical_date,documented_series,unresolved,1662,1512,12,2016-01-01,2026-06-01,count,"Periods, labels, units and values extracted under a documented orientation contract."
banking_indicators:c57dc0f6a422ac9e54dafccd,banking_indicators,2,CRÉDITOS — Personas físicas con crédito por género,vertical_date,documented_series,unresolved,513,378,3,2016-01-01,2026-06-01,source_units,"Periods, labels, units and values extracted under a documented orientation contract."
banking_indicators:c57dc0f6a422ac9e54dafccd,banking_indicators,3,CRÉDITOS — Cantidad de operaciones por tipo de crédito,vertical_date,documented_series,unresolved,897,756,6,2016-01-01,2026-06-01,count|source_units,"Periods, labels, units and values extracted under a documented orientation contract."
banking_indicators:c57dc0f6a422ac9e54dafccd,banking_indicators,4,DEPÓSITOS — Personas con cuentas y cantidad total de cuentas,vertical_date,documented_series,unresolved,898,756,6,2016-01-01,2026-06-01,count|source_units,"Periods, labels, units and values extracted under a documented orientation contract."
banking_indicators:c57dc0f6a422ac9e54dafccd,banking_indicators,5,DEPÓSITOS — Personas con depósitos por género,vertical_date,documented_series,unresolved,513,378,3,2016-01-01,2026-06-01,source_units,"Periods, labels, units and values extracted under a documented orientation contract."
banking_indicators:c57dc0f6a422ac9e54dafccd,banking_indicators,6,DEPÓSITOS — Cantidad de cuentas por tipo de depósito,vertical_date,documented_series,unresolved,898,756,6,2016-01-01,2026-06-01,source_units,"Periods, labels, units and values extracted under a documented orientation contract."
banking_indicators:c57dc0f6a422ac9e54dafccd,banking_indicators,7,Personas con algún depósito o crédito,vertical_date,documented_series,unresolved,512,378,3,2016-01-01,2026-06-01,count|source_units,"Periods, labels, units and values extracted under a documented orientation contract."
banking_indicators:c57dc0f6a422ac9e54dafccd,banking_indicators,Portada,Indicadores de Bancarización — Datos:desde enero 2016hasta junio 2026,metadata_only,unparsed,not_applicable,3,0,0,NA,NA,NA,No statistical observations claimed for this worksheet.
banking_indicators:c57dc0f6a422ac9e54dafccd,banking_indicators,Índice,CRÉDITOS — Personas con crédito y cantidad total de operaciones,metadata_only,unparsed,not_applicable,18,0,0,NA,NA,NA,No statistical observations claimed for this worksheet.
bcp_fx_daily:a45bea1e1508bb019befcac9,bcp_fx_daily,OpDivisas2013(DatosDiarios),Monto de Operaciones de Divisas del Banco Central del Paraguay (millones de USD) - Año 2013,vertical_date,documented_series,unresolved,3271,3000,12,2013-01-02,2013-12-30,USD,"Periods, labels, units and values extracted under a documented orientation contract."
bcp_fx_daily:a45bea1e1508bb019befcac9,bcp_fx_daily,OpDivisas2014(DatosDiarios),Monto de Operaciones de Divisas del Banco Central del Paraguay (millones de USD) - Año 2014,vertical_date,documented_series,unresolved,3258,2988,12,2014-01-02,2014-12-30,USD,"Periods, labels, units and values extracted under a documented orientation contract."
bcp_fx_daily:a45bea1e1508bb019befcac9,bcp_fx_daily,OpDivisas2015(DatosDiarios),Monto de Operaciones de Divisas del Banco Central del Paraguay (millones de USD) - Año 2015,vertical_date,documented_series,unresolved,3258,2988,12,2015-01-02,2015-12-30,USD,"Periods, labels, units and values extracted under a documented orientation contract."
