vintage_id,source_id,source_sheet,release_id,numeric_source_cells,accepted_observations,rejected_observations,documented_exclusions,many_to_one_allowance,balance_delta,status,note,checked_at,accepted_cells,cell_reuse,unmapped_in_region,out_of_region_cells,classified_cells,unclassified_cells,parser_defect_cells
economic_annex:25818cb75022083e13cab48e,economic_annex,CUADRO 7,release:dcbccb827b93ee2362ab3c56,930,903,0,0,0,0,balanced,Every numeric cell in the parsed region is accounted for.,2026-09-14T23:20:57Z,903,0,0,27,0,0,0
economic_annex:25818cb75022083e13cab48e,economic_annex,CUADRO 12,release:dcbccb827b93ee2362ab3c56,860,835,0,0,0,0,balanced,Every numeric cell in the parsed region is accounted for.,2026-09-14T23:20:57Z,835,0,0,25,0,0,0
insurance_annex:7cb2b1d2ffa3badb8113e890,insurance_annex,1.16,release:dcbccb827b93ee2362ab3c56,306,306,0,0,0,0,balanced,Every numeric cell in the parsed region is accounted for.,2026-09-14T23:20:57Z,306,0,0,0,0,0,0
insurance_annex:7cb2b1d2ffa3badb8113e890,insurance_annex,1.19,release:dcbccb827b93ee2362ab3c56,1326,1326,0,0,0,0,balanced,Every numeric cell in the parsed region is accounted for.,2026-09-14T23:20:57Z,1326,0,0,0,0,0,0
banking_indicators:c57dc0f6a422ac9e54dafccd,banking_indicators,4,release:dcbccb827b93ee2362ab3c56,882,756,0,0,0,0,balanced,Every numeric cell in the parsed region is accounted for.,2026-09-14T23:20:57Z,756,0,0,126,0,0,0
economic_annex:25818cb75022083e13cab48e,economic_annex,CUADRO 57b,release:dcbccb827b93ee2362ab3c56,403,348,0,0,0,0,balanced,Every numeric cell in the parsed region is accounted for.,2026-09-14T23:20:57Z,348,0,0,55,0,0,0
payments:de7b4a670c8e2d7430cd91d6,payments,SIPAP_03,release:dcbccb827b93ee2362ab3c56,924,924,0,0,0,0,balanced,Every numeric cell in the parsed region is accounted for.,2026-09-14T23:20:57Z,924,0,0,0,0,0,0
payments:de7b4a670c8e2d7430cd91d6,payments,SIPAP_07,release:dcbccb827b93ee2362ab3c56,102,102,0,0,0,0,balanced,Every numeric cell in the parsed region is accounted for.,2026-09-14T23:20:57Z,102,0,0,0,0,0,0
payments:de7b4a670c8e2d7430cd91d6,payments,MIHA 04,release:dcbccb827b93ee2362ab3c56,459,459,0,0,0,0,balanced,Every numeric cell in the parsed region is accounted for.,2026-09-14T23:20:57Z,459,0,0,0,0,0,0
payments:de7b4a670c8e2d7430cd91d6,payments,MIHA 05,release:dcbccb827b93ee2362ab3c56,459,459,0,0,0,0,balanced,Every numeric cell in the parsed region is accounted for.,2026-09-14T23:20:57Z,459,0,0,0,0,0,0
payments:de7b4a670c8e2d7430cd91d6,payments,AFD 01,release:dcbccb827b93ee2362ab3c56,108,108,0,0,0,0,balanced,Every numeric cell in the parsed region is accounted for.,2026-09-14T23:20:57Z,108,0,0,0,0,0,0
payments:de7b4a670c8e2d7430cd91d6,payments,CCC 01,release:dcbccb827b93ee2362ab3c56,918,918,0,0,0,0,balanced,Every numeric cell in the parsed region is accounted for.,2026-09-14T23:20:57Z,918,0,0,0,0,0,0
economic_annex:25818cb75022083e13cab48e,economic_annex,Cuadro 46b,release:dcbccb827b93ee2362ab3c56,59251,57868,0,0,0,0,balanced,Every numeric cell in the parsed region is accounted for.,2026-09-14T23:20:57Z,57868,0,0,1383,0,0,0
economic_annex:25818cb75022083e13cab48e,economic_annex,Cuadro 51b,release:dcbccb827b93ee2362ab3c56,25861,25024,0,0,0,0,balanced,Every numeric cell in the parsed region is accounted for.,2026-09-14T23:20:57Z,25024,0,0,837,0,0,0
economic_annex:25818cb75022083e13cab48e,economic_annex,CUADRO 10 ,release:dcbccb827b93ee2362ab3c56,1200,894,0,0,0,0,balanced,Every numeric cell in the parsed region is accounted for.,2026-09-14T23:20:57Z,894,0,0,306,0,0,0
economic_annex:25818cb75022083e13cab48e,economic_annex,CUADRO 14 c,release:dcbccb827b93ee2362ab3c56,1415,1132,0,0,0,0,balanced,Every numeric cell in the parsed region is accounted for.,2026-09-14T23:20:57Z,1132,0,0,283,0,0,0
economic_annex:25818cb75022083e13cab48e,economic_annex,CUADRO 16 (Cont.),release:dcbccb827b93ee2362ab3c56,5700,5320,0,0,0,0,balanced,Every numeric cell in the parsed region is accounted for.,2026-09-14T23:20:57Z,5320,0,0,380,0,0,0
economic_annex:25818cb75022083e13cab48e,economic_annex,CUADRO 20,release:dcbccb827b93ee2362ab3c56,5523,5480,0,0,0,0,balanced,Every numeric cell in the parsed region is accounted for.,2026-09-14T23:20:57Z,5480,0,0,43,0,0,0
lrm_auctions:b7e160f57d37a215d182eaef,lrm_auctions,Subastas 2018,release:dcbccb827b93ee2362ab3c56,1062,702,0,0,0,0,balanced,Every numeric cell in the parsed region is accounted for.,2026-09-14T23:20:57Z,702,0,0,360,0,0,0
bcp_fx_daily:a45bea1e1508bb019befcac9,bcp_fx_daily,OpDivisas2017(DatosDiarios),release:dcbccb827b93ee2362ab3c56,3237,2988,0,0,0,0,balanced,Every numeric cell in the parsed region is accounted for.,2026-09-14T23:20:57Z,2988,0,0,249,0,0,0
economic_annex:25818cb75022083e13cab48e,economic_annex,CUADRO 60a,release:dcbccb827b93ee2362ab3c56,1775,1420,0,0,0,0,balanced,Every numeric cell in the parsed region is accounted for.,2026-09-14T23:20:57Z,1420,0,0,355,0,0,0
direct_investment:fbc612f5e64f6905a2e84928,direct_investment,Cuadro 3,release:dcbccb827b93ee2362ab3c56,1798,1740,0,0,0,0,balanced,Every numeric cell in the parsed region is accounted for.,2026-09-14T23:20:57Z,1740,0,0,58,0,0,0
payments:de7b4a670c8e2d7430cd91d6,payments,OMP 03,release:dcbccb827b93ee2362ab3c56,1066,1066,0,0,0,0,balanced,Every numeric cell in the parsed region is accounted for.,2026-09-14T23:20:57Z,1066,0,0,0,0,0,0
economic_annex:25818cb75022083e13cab48e,economic_annex,CUADRO 36,release:dcbccb827b93ee2362ab3c56,3099,3078,0,0,0,0,balanced,Every numeric cell in the parsed region is accounted for.,2026-09-14T23:20:57Z,3078,0,0,21,0,0,0
economic_annex:25818cb75022083e13cab48e,economic_annex,Cuadro 46a,release:dcbccb827b93ee2362ab3c56,59253,57868,0,0,0,0,balanced,Every numeric cell in the parsed region is accounted for.,2026-09-14T23:20:57Z,57868,0,0,1385,0,0,0
economic_annex:25818cb75022083e13cab48e,economic_annex,CUADRO 6,release:dcbccb827b93ee2362ab3c56,1188,1161,0,0,0,0,balanced,Every numeric cell in the parsed region is accounted for.,2026-09-14T23:20:57Z,1161,0,0,27,0,0,0
economic_annex:25818cb75022083e13cab48e,economic_annex,CUADRO 6a (Cont.),release:dcbccb827b93ee2362ab3c56,1151,1125,0,0,0,0,balanced,Every numeric cell in the parsed region is accounted for.,2026-09-14T23:20:57Z,1125,0,0,26,0,0,0
economic_annex:25818cb75022083e13cab48e,economic_annex,CUADRO 7a,release:dcbccb827b93ee2362ab3c56,930,903,0,0,0,0,balanced,Every numeric cell in the parsed region is accounted for.,2026-09-14T23:20:57Z,903,0,0,27,0,0,0
economic_annex:25818cb75022083e13cab48e,economic_annex,CUADRO 8,release:dcbccb827b93ee2362ab3c56,689,616,0,0,0,0,balanced,Every numeric cell in the parsed region is accounted for.,2026-09-14T23:20:57Z,616,0,0,73,0,0,0
economic_annex:25818cb75022083e13cab48e,economic_annex,CUADRO 14 a,release:dcbccb827b93ee2362ab3c56,7937,7558,0,0,0,0,balanced,Every numeric cell in the parsed region is accounted for.,2026-09-14T23:20:57Z,7558,0,0,379,0,0,0
economic_annex:25818cb75022083e13cab48e,economic_annex,CUADRO 23,release:dcbccb827b93ee2362ab3c56,6589,6239,0,0,0,0,balanced,Every numeric cell in the parsed region is accounted for.,2026-09-14T23:20:57Z,6239,0,0,350,0,0,0
financial_indicators:f9ded3c4fe24e11b14caa1df,financial_indicators,3.2,release:dcbccb827b93ee2362ab3c56,41740,41740,0,0,0,0,balanced,Every numeric cell in the parsed region is accounted for.,2026-09-14T23:20:57Z,41740,0,0,0,0,0,0
lrm_auctions:b7e160f57d37a215d182eaef,lrm_auctions,Subastas 2026,release:dcbccb827b93ee2362ab3c56,662,452,0,0,0,0,balanced,Every numeric cell in the parsed region is accounted for.,2026-09-14T23:20:57Z,452,0,0,210,0,0,0
lrm_auctions:b7e160f57d37a215d182eaef,lrm_auctions,Subastas 2015 ,release:dcbccb827b93ee2362ab3c56,1034,674,0,0,0,0,balanced,Every numeric cell in the parsed region is accounted for.,2026-09-14T23:20:57Z,674,0,0,360,0,0,0
