file,country,frequency,dataset,period_min,period_max,nonempty_cells,series_count
Balance of Payments (BOP).csv,Uruguay,Quarterly,IMF.STA:BOP(21.0.0),2000-Q1,2026-Q1,77827,938
Balance of Payments (BOP).csv,Bolivia,Quarterly,IMF.STA:BOP(21.0.0),1977-Q1,2026-Q2,77602,897
Balance of Payments (BOP).csv,Brazil,Quarterly,IMF.STA:BOP(21.0.0),1975-Q1,2026-Q2,102634,725
Balance of Payments (BOP).csv,Chile,Quarterly,IMF.STA:BOP(21.0.0),1991-Q1,2026-Q1,59123,581
Balance of Payments (BOP).csv,Peru,Quarterly,IMF.STA:BOP(21.0.0),1977-Q1,2025-Q4,95089,954
Balance of Payments (BOP).csv,Colombia,Quarterly,IMF.STA:BOP(21.0.0),1996-Q1,2026-Q1,82862,824
Balance of Payments (BOP).csv,Paraguay,Quarterly,IMF.STA:BOP(21.0.0),1977-Q2,2026-Q1,76656,912
Balance of Payments (BOP).csv,Argentina,Quarterly,IMF.STA:BOP(21.0.0),1976-Q1,2026-Q1,113973,924
Balance of Payments (BOP).csv,Ecuador,Quarterly,IMF.STA:BOP(21.0.0),1993-Q1,2026-Q1,75054,765
Commodity Terms of Trade (CTOT).csv,Paraguay,Monthly,IMF.RES:CTOT(5.0.1),1980-M01,2026-M05,6684,12
Commodity Terms of Trade (CTOT).csv,Uruguay,Monthly,IMF.RES:CTOT(5.0.1),1980-M01,2026-M05,6684,12
Commodity Terms of Trade (CTOT).csv,Argentina,Monthly,IMF.RES:CTOT(5.0.1),1980-M01,2026-M05,6684,12
Commodity Terms of Trade (CTOT).csv,Bolivia,Monthly,IMF.RES:CTOT(5.0.1),1980-M01,2026-M05,6684,12
Commodity Terms of Trade (CTOT).csv,Brazil,Monthly,IMF.RES:CTOT(5.0.1),1980-M01,2026-M05,6684,12
Commodity Terms of Trade (CTOT).csv,Chile,Monthly,IMF.RES:CTOT(5.0.1),1980-M01,2026-M05,6684,12
Commodity Terms of Trade (CTOT).csv,Colombia,Monthly,IMF.RES:CTOT(5.0.1),1980-M01,2026-M05,6684,12
Commodity Terms of Trade (CTOT).csv,Ecuador,Monthly,IMF.RES:CTOT(5.0.1),1980-M01,2026-M05,6684,12
Commodity Terms of Trade (CTOT).csv,Peru,Monthly,IMF.RES:CTOT(5.0.1),1980-M01,2026-M05,6684,12
"Consumer Price Index (CPI), World and Country Aggregates (CPI_WCA).csv",Oceania,Monthly,IMF.STA:CPI_WCA(3.0.0),2010-M02,2026-M06,569,3
"Consumer Price Index (CPI), World and Country Aggregates (CPI_WCA).csv",Europe,Monthly,IMF.STA:CPI_WCA(3.0.0),2010-M02,2026-M06,569,3
"Consumer Price Index (CPI), World and Country Aggregates (CPI_WCA).csv",World,Monthly,IMF.STA:CPI_WCA(3.0.0),2010-M02,2026-M06,569,3
"Consumer Price Index (CPI), World and Country Aggregates (CPI_WCA).csv",Asia,Monthly,IMF.STA:CPI_WCA(3.0.0),2010-M02,2026-M06,569,3
"Consumer Price Index (CPI), World and Country Aggregates (CPI_WCA).csv",Advanced Economies,Monthly,IMF.STA:CPI_WCA(3.0.0),2010-M02,2026-M06,569,3
"Consumer Price Index (CPI), World and Country Aggregates (CPI_WCA).csv",Americas,Monthly,IMF.STA:CPI_WCA(3.0.0),2010-M02,2026-M06,569,3
"Consumer Price Index (CPI), World and Country Aggregates (CPI_WCA).csv",G7,Monthly,IMF.STA:CPI_WCA(3.0.0),2010-M02,2026-M06,569,3
"Consumer Price Index (CPI), World and Country Aggregates (CPI_WCA).csv",G20,Monthly,IMF.STA:CPI_WCA(3.0.0),2010-M02,2026-M06,569,3
"Consumer Price Index (CPI), World and Country Aggregates (CPI_WCA).csv",Emerging Market and Developing Economies,Monthly,IMF.STA:CPI_WCA(3.0.0),2010-M02,2026-M06,569,3
"Consumer Price Index (CPI), World and Country Aggregates (CPI_WCA).csv",Africa,Monthly,IMF.STA:CPI_WCA(3.0.0),2010-M02,2026-M06,569,3
Consumer Price Index (CPI).csv,Peru,Monthly,IMF.STA:CPI(5.0.0),1957-M01,2026-M05,3664,30
Consumer Price Index (CPI).csv,Paraguay,Monthly,IMF.STA:CPI(5.0.0),1957-M01,2026-M04,12586,66
Consumer Price Index (CPI).csv,Bolivia,Monthly,IMF.STA:CPI(5.0.0),1957-M01,2026-M06,17854,66
Consumer Price Index (CPI).csv,Brazil,Monthly,IMF.STA:CPI(5.0.0),1979-M12,2026-M07,10151,39
Consumer Price Index (CPI).csv,Brazil,Quarterly,IMF.STA:CPI(5.0.0),1980-Q1,2026-Q2,3361,39
Consumer Price Index (CPI).csv,Chile,Monthly,IMF.STA:CPI(5.0.0),1970-M01,2026-M07,8368,30
Consumer Price Index (CPI).csv,Uruguay,Monthly,IMF.STA:CPI(5.0.0),1957-M01,2026-M06,8386,30
Consumer Price Index (CPI).csv,Peru,Quarterly,IMF.STA:CPI(5.0.0),1957-Q1,2026-Q1,1016,6
Consumer Price Index (CPI).csv,Paraguay,Quarterly,IMF.STA:CPI(5.0.0),1957-Q1,2026-Q1,4076,42
Consumer Price Index (CPI).csv,Ecuador,Quarterly,IMF.STA:CPI(5.0.0),1957-Q1,2026-Q1,4508,42
Consumer Price Index (CPI).csv,Colombia,Monthly,IMF.STA:CPI(5.0.0),1955-M01,2026-M07,20341,66
Consumer Price Index (CPI).csv,Colombia,Quarterly,IMF.STA:CPI(5.0.0),1955-Q1,2026-Q2,4154,42
Consumer Price Index (CPI).csv,Chile,Quarterly,IMF.STA:CPI(5.0.0),1970-Q1,2026-Q2,1346,6
Consumer Price Index (CPI).csv,Argentina,Quarterly,IMF.STA:CPI(5.0.0),2017-Q1,2026-Q2,1417,39
Consumer Price Index (CPI).csv,Argentina,Monthly,IMF.STA:CPI(5.0.0),2016-M12,2026-M06,4316,39
Consumer Price Index (CPI).csv,Uruguay,Quarterly,IMF.STA:CPI(5.0.0),1957-Q1,2026-Q2,1082,6
Consumer Price Index (CPI).csv,Ecuador,Monthly,IMF.STA:CPI(5.0.0),1957-M01,2026-M05,19804,66
