file,bytes,sha256,encoding,utf8_bom,line_endings,physical_lines,logical_records,outer_widths,outer_malformed_records,outer_parse_error,header_columns,dimension_columns,period_columns,period_header_min,period_header_max,data_records,distinct_series_codes,duplicate_series_code_records,potential_observations,metadata_records,multiline_records,inner_widths,irregular_inner_records,inner_parse_errors,nonnumeric_observation_tokens,nonnumeric_token_values,countries,frequencies,units,scales,transformations
Balance of Payments (BOP).csv,14889677,33c9416b208c3b8823b1e706dbc97f99ccee6153248f3f2606634a0b9d9c18c7,UTF-8,True,CRLF,7521,7521,"{""3"": 7521}",0,,215,9,206,1975-Q1,2026-Q2,7520,7520,0,760820,0,0,"{""215"": 7521}",0,0,0,[],Argentina | Bolivia | Brazil | Chile | Colombia | Ecuador | Paraguay | Peru | Uruguay,Quarterly,US dollar,Millions,
Commodity Terms of Trade (CTOT).csv,1130081,10f3ee8cfd833db4624517815cac1ad7bd69b5a87d748b78602c77c237b2d4a6,UTF-8,True,CRLF,109,109,"{""1"": 109}",0,,565,8,557,1980-M01,2026-M05,108,108,0,60156,0,0,"{""565"": 109}",0,0,0,[],Argentina | Bolivia | Brazil | Chile | Colombia | Ecuador | Paraguay | Peru | Uruguay,Monthly,,Units,
"Consumer Price Index (CPI), World and Country Aggregates (CPI_WCA).csv",118247,0bd7b9202540fd90a37bb27f75df6da523c4d093a2c1b3399b66ab0c24f94918,UTF-8,True,CRLF,61,61,"{""3"": 61}",0,,233,36,197,2010-M02,2026-M06,30,30,0,5690,0,30,"{""233"": 31}",0,0,0,[],Advanced Economies | Africa | Americas | Asia | Emerging Market and Developing Economies | Europe | G20 | G7 | Oceania | World,Monthly,Index | Percent,,"Index | Percent Change, Period over period, Period Average | Period average, Period-over-period percent change | Period average, Year-over-year (YOY) percent change | Year-over-year (YOY) percent change, period average"
Consumer Price Index (CPI).csv,9994827,2aac39c8669b03c215cbe0a6cc71924b828e94c9fe2c8ac5fbd5c0334b5a4296,UTF-8,True,CRLF,783,783,"{""1"": 783}",0,,2034,9,2025,1900-M01,2026-Q2,782,782,0,130548,0,0,"{""2034"": 783}",0,0,0,[],Argentina | Bolivia | Brazil | Chile | Colombia | Ecuador | Paraguay | Peru | Uruguay,Monthly | Quarterly,,Units,"Index | Period average, Period-over-period percent change | Period average, Year-over-year (YOY) percent change | Standard reference period (2010=100), Index | Standard reference period (2010=100), Period average, Period-over-period percent change | Standard reference period (2010=100), Period average, Year-over-year (YOY) percent change | Weight | Weight, Percent"
Effective Exchange Rate (EER).csv,257745,ccbf80b14b1db6fb89b9cf3b0edf7b6b51b0d079dd9e48f7d1e62cee75192a37,UTF-8,True,CRLF,25,25,"{""1"": 25}",0,,767,7,760,1979-M01,2026-Q2,24,24,0,9030,0,0,"{""767"": 25}",0,0,0,[],Bolivia | Brazil | Chile | Colombia | Paraguay | Uruguay,Monthly | Quarterly,,Units,
Exchange Rates (ER).csv,3312913,14eb34c87865eb5c788faa295594f3d72203a37723c29291b2df05389693d6b4,UTF-8,True,CRLF,289,289,"{""1"": 289}",0,,1122,8,1114,1957-M01,2026-Q2,288,288,0,105780,0,0,"{""1122"": 289}",0,0,0,[],Argentina | Bolivia | Brazil | Chile | Colombia | Ecuador | Paraguay | Peru | Uruguay,Monthly | Quarterly,,Units,End-of-period (EoP) | Period average
"Financial Soundness Indicators (FSI), Balance Sheet, Income Statement and Memorandum Series.csv",3171377,cbc80874a1b24878c86defbdef01b48bd8992e3e2abf9dc4c26e1a762bdb6e37,UTF-8,True,CRLF,884,884,"{""1"": 884}",0,,414,8,406,2001-M01,2026-Q1,883,883,0,99395,0,0,"{""414"": 884}",0,0,0,[],Argentina | Bolivia | Brazil | Chile | Colombia | Ecuador | Paraguay | Peru | Uruguay,Monthly | Quarterly,,Millions | Units,
"Financial Soundness Indicators (FSI), Core and Additional Indicators.csv",2846624,a0789a17bdb29983f268e8345ce76dc3663e1fdbeeabbf1f898c4c40011d8296,UTF-8,True,CRLF,711,711,"{""1"": 711}",0,,414,8,406,2001-M01,2026-Q1,710,710,0,87244,0,0,"{""414"": 711}",0,0,0,[],Argentina | Bolivia | Brazil | Chile | Colombia | Ecuador | Paraguay | Peru | Uruguay,Monthly | Quarterly,,Millions | Units,
"Financial Soundness Indicators (FSI), Country Metadata Table 2.csv",7463713,82d0d1f68a6f1beea79cde1758168abf3509c2055eb4fec60753d83d097d22de,UTF-8,True,CRLF,1989,1989,"{""1"": 1989}",0,,606,6,600,2001-M01,2050-M12,1988,497,1491,101095,1988,0,"{""606"": 1989}",0,0,0,[],Argentina | Bolivia | Brazil | Chile | Colombia | Ecuador | Paraguay | Peru | Uruguay,Monthly,,,
International Investment Position (IIP).csv,4279175,c45ba0f034053fb3d665f6ff23ac5eaf9f1ad739e1f1c55adde604794066c0c8,UTF-8,True,CRLF,2948,2948,"{""1"": 2948}",0,,151,9,142,1991-Q1,2026-Q2,2947,2947,0,197733,0,0,"{""151"": 2948}",0,0,0,[],Argentina | Bolivia | Brazil | Chile | Colombia | Ecuador | Paraguay | Peru | Uruguay,Quarterly,US dollar,Millions,
