old_series_id,old_public_label,old_dimensions,new_series_id,new_public_label,new_dimensions,mapping_cardinality,migration_reason,observations_before,observations_after,shared_observations,values_and_dates_preserved,old_identity_structurally_ambiguous,replacement_public_access_path,deprecation_treatment,match_method,evidence
lrm_auctions:subastas_2013:010d5d8f25a1089f65a054b4,Plazos Estandarizados: 35 — Plazos Residuales: 28 — Ofertado #,Subastas 2013|irregular_daily|lrm_auction_tenor — Plazos Estandarizados: 35 — Plazos Residuales: 28 — Ofertado #,lrm_auctions:lrm_auction_events:8ea5c5627f24f4bac826622a,Cantidad de posturas ofertadas,lrm_auction_events|irregular_daily|standardized_tenor_days: 35 — residual_tenor_days: 28 — Cantidad de posturas ofertadas,many-to-one,LRM two-level-header and annual-sheet identity remediation,5,87,5,TRUE,TRUE,explore.events,superseded; resolved through canonical.source_alias and main.resolve_series_id(s),source_cell_period,Same source file/sheet/row/column and reference period in both releases.
lrm_auctions:subastas_2013:013820cfc47db168293079da,Plazos Estandarizados: 63 — Plazos Residuales: 70 — Promedio,Subastas 2013|irregular_daily|lrm_auction_tenor — Plazos Estandarizados: 63 — Plazos Residuales: 70 — Promedio — column_11,lrm_auctions:lrm_auction_events:7a79a760e4fa456f6c0058ff,Tasa de interes ofertada - Promedio,lrm_auction_events|irregular_daily|standardized_tenor_days: 63 — residual_tenor_days: 70 — Tasa de interes ofertada - Promedio,many-to-one,LRM two-level-header and annual-sheet identity remediation,1,4,1,TRUE,TRUE,catalog.series,superseded; resolved through canonical.source_alias and main.resolve_series_id(s),source_cell_period,Same source file/sheet/row/column and reference period in both releases.
lrm_auctions:subastas_2013:01f097ea6e88c6d027d05ea7,Plazos Estandarizados: 182 — Plazos Residuales: 176 — Ofertado #,Subastas 2013|irregular_daily|lrm_auction_tenor — Plazos Estandarizados: 182 — Plazos Residuales: 176 — Ofertado #,lrm_auctions:lrm_auction_events:9f98649376b5c37fbb450587,Cantidad de posturas ofertadas,lrm_auction_events|irregular_daily|standardized_tenor_days: 182 — residual_tenor_days: 176 — Cantidad de posturas ofertadas,one-to-one,LRM two-level-header and annual-sheet identity remediation,1,1,1,TRUE,TRUE,explore.events,superseded; resolved through canonical.source_alias and main.resolve_series_id(s),source_cell_period,Same source file/sheet/row/column and reference period in both releases.
lrm_auctions:subastas_2013:01f655d8d76195d5e1007286,Plazos Estandarizados: 546 — Plazos Residuales: 508 — Máxima,Subastas 2013|irregular_daily|lrm_auction_tenor — Plazos Estandarizados: 546 — Plazos Residuales: 508 — Máxima,lrm_auctions:lrm_auction_events:09e2ec91984ff7919ca489cf,Tasa de interes ofertada - Maxima,lrm_auction_events|irregular_daily|standardized_tenor_days: 546 — residual_tenor_days: 508 — Tasa de interes ofertada - Maxima,one-to-one,LRM two-level-header and annual-sheet identity remediation,1,1,1,TRUE,TRUE,catalog.series,superseded; resolved through canonical.source_alias and main.resolve_series_id(s),source_cell_period,Same source file/sheet/row/column and reference period in both releases.
lrm_auctions:subastas_2013:0259d67bfa854611884d129b,Plazos Estandarizados: 63 — Plazos Residuales: 60 — Montos Ofertados,Subastas 2013|irregular_daily|lrm_auction_tenor — Plazos Estandarizados: 63 — Plazos Residuales: 60 — Montos Ofertados,lrm_auctions:lrm_auction_events:7ab7f23505aae9b9223762ad,Monto ofertado,lrm_auction_events|irregular_daily|standardized_tenor_days: 63 — residual_tenor_days: 60 — Monto ofertado,many-to-one,LRM two-level-header and annual-sheet identity remediation,2,4,2,TRUE,TRUE,explore.events,superseded; resolved through canonical.source_alias and main.resolve_series_id(s),source_cell_period,Same source file/sheet/row/column and reference period in both releases.
lrm_auctions:subastas_2013:035530d663468cf326c314af,Plazos Estandarizados: 63 — Plazos Residuales: 60 — Mínima,Subastas 2013|irregular_daily|lrm_auction_tenor — Plazos Estandarizados: 63 — Plazos Residuales: 60 — Mínima — column_12,lrm_auctions:lrm_auction_events:54b9495138307861581d0a58,Tasa de interes ofertada - Minima,lrm_auction_events|irregular_daily|standardized_tenor_days: 63 — residual_tenor_days: 60 — Tasa de interes ofertada - Minima,many-to-one,LRM two-level-header and annual-sheet identity remediation,2,4,2,TRUE,TRUE,catalog.series,superseded; resolved through canonical.source_alias and main.resolve_series_id(s),source_cell_period,Same source file/sheet/row/column and reference period in both releases.
lrm_auctions:subastas_2013:04c521d006cf18b84984e02a,Plazos Estandarizados: 546 — Plazos Residuales: 542 — Mínima,Subastas 2013|irregular_daily|lrm_auction_tenor — Plazos Estandarizados: 546 — Plazos Residuales: 542 — Mínima — column_12,lrm_auctions:lrm_auction_events:00d768ff6e2290e69717632b,Tasa de interes ofertada - Minima,lrm_auction_events|irregular_daily|standardized_tenor_days: 546 — residual_tenor_days: 542 — Tasa de interes ofertada - Minima,one-to-one,LRM two-level-header and annual-sheet identity remediation,1,1,1,TRUE,TRUE,catalog.series,superseded; resolved through canonical.source_alias and main.resolve_series_id(s),source_cell_period,Same source file/sheet/row/column and reference period in both releases.
lrm_auctions:subastas_2013:056ae7cc861b520c5922e07f,Plazos Estandarizados: 365 — Plazos Residuales: 378 — Montos Anunciados,Subastas 2013|irregular_daily|lrm_auction_tenor — Plazos Estandarizados: 365 — Plazos Residuales: 378 — Montos Anunciados,lrm_auctions:lrm_auction_events:7f0616ce90cd25802bb952c5,Monto anunciado,lrm_auction_events|irregular_daily|standardized_tenor_days: 365 — residual_tenor_days: 378 — Monto anunciado,many-to-one,LRM two-level-header and annual-sheet identity remediation,2,4,2,TRUE,TRUE,explore.events,superseded; resolved through canonical.source_alias and main.resolve_series_id(s),source_cell_period,Same source file/sheet/row/column and reference period in both releases.
lrm_auctions:subastas_2013:0570f5e489294532145393b3,Plazos Estandarizados: 365 — Plazos Residuales: 417 — Mínima,Subastas 2013|irregular_daily|lrm_auction_tenor — Plazos Estandarizados: 365 — Plazos Residuales: 417 — Mínima,lrm_auctions:lrm_auction_events:97f998dcaaff42ec6e9b8eba,Tasa de interes ofertada - Minima,lrm_auction_events|irregular_daily|standardized_tenor_days: 365 — residual_tenor_days: 417 — Tasa de interes ofertada - Minima,one-to-one,LRM two-level-header and annual-sheet identity remediation,1,1,1,TRUE,TRUE,catalog.series,superseded; resolved through canonical.source_alias and main.resolve_series_id(s),source_cell_period,Same source file/sheet/row/column and reference period in both releases.
lrm_auctions:subastas_2013:057ba84d99d6ed9f4fd5b9ba,Plazos Estandarizados: 365 — Plazos Residuales: 378 — Montos Ofertados,Subastas 2013|irregular_daily|lrm_auction_tenor — Plazos Estandarizados: 365 — Plazos Residuales: 378 — Montos Ofertados,lrm_auctions:lrm_auction_events:3fb696827602194e489b6c00,Monto ofertado,lrm_auction_events|irregular_daily|standardized_tenor_days: 365 — residual_tenor_days: 378 — Monto ofertado,many-to-one,LRM two-level-header and annual-sheet identity remediation,2,4,2,TRUE,TRUE,explore.events,superseded; resolved through canonical.source_alias and main.resolve_series_id(s),source_cell_period,Same source file/sheet/row/column and reference period in both releases.
