source_sheet,cell_a1,source_row,source_column,raw_value,classification,formula_or_cached_formula,parser_defect
Subastas 2026,A1,1,1,NA,blank,FALSE,FALSE
Subastas 2026,A2,2,1,NA,blank,FALSE,FALSE
Subastas 2026,A3,3,1,NA,blank,FALSE,FALSE
Subastas 2026,A4,4,1,NA,blank,FALSE,FALSE
Subastas 2026,A5,5,1,NA,blank,FALSE,FALSE
Subastas 2026,A6,6,1,NA,blank,FALSE,FALSE
Subastas 2026,A7,7,1,NA,blank,FALSE,FALSE
Subastas 2026,A8,8,1,NA,blank,FALSE,FALSE
Subastas 2026,A9,9,1,NA,blank,FALSE,FALSE
Subastas 2026,A10,10,1,NA,blank,FALSE,FALSE
Subastas 2026,A11,11,1,SUBASTAS DE LRM 2020,intentionally_excluded_non_observational_content,FALSE,FALSE
Subastas 2026,A12,12,1,NA,blank,FALSE,FALSE
Subastas 2026,A13,13,1,Fecha,header,FALSE,FALSE
Subastas 2026,A14,14,1,Fecha subasta,header,FALSE,FALSE
Subastas 2026,A15,15,1,2026-01-29,identity_or_dimension,FALSE,FALSE
Subastas 2026,A16,16,1,2026-01-29,identity_or_dimension,FALSE,FALSE
Subastas 2026,A17,17,1,2026-01-29,identity_or_dimension,FALSE,FALSE
Subastas 2026,A18,18,1,2026-01-29,identity_or_dimension,FALSE,FALSE
Subastas 2026,A19,19,1,2026-01-29,identity_or_dimension,FALSE,FALSE
Subastas 2026,A20,20,1,2026-01-29,identity_or_dimension,FALSE,FALSE
Subastas 2026,A21,21,1,2026-02-26,identity_or_dimension,FALSE,FALSE
Subastas 2026,A22,22,1,2026-02-26,identity_or_dimension,FALSE,FALSE
Subastas 2026,A23,23,1,2026-02-26,identity_or_dimension,FALSE,FALSE
Subastas 2026,A24,24,1,2026-02-26,identity_or_dimension,FALSE,FALSE
Subastas 2026,A25,25,1,2026-02-26,identity_or_dimension,FALSE,FALSE
Subastas 2026,A26,26,1,2026-02-26,identity_or_dimension,FALSE,FALSE
Subastas 2026,A27,27,1,2026-03-26,identity_or_dimension,FALSE,FALSE
Subastas 2026,A28,28,1,2026-03-26,identity_or_dimension,FALSE,FALSE
Subastas 2026,A29,29,1,2026-03-26,identity_or_dimension,FALSE,FALSE
Subastas 2026,A30,30,1,2026-03-26,identity_or_dimension,FALSE,FALSE
Subastas 2026,A31,31,1,2026-03-26,identity_or_dimension,FALSE,FALSE
Subastas 2026,A32,32,1,2026-03-26,identity_or_dimension,FALSE,FALSE
Subastas 2026,A33,33,1,2026-04-23,identity_or_dimension,FALSE,FALSE
Subastas 2026,A34,34,1,2026-04-23,identity_or_dimension,FALSE,FALSE
Subastas 2026,A35,35,1,2026-04-23,identity_or_dimension,FALSE,FALSE
Subastas 2026,A36,36,1,2026-04-23,identity_or_dimension,FALSE,FALSE
Subastas 2026,A37,37,1,2026-04-23,identity_or_dimension,FALSE,FALSE
Subastas 2026,A38,38,1,2026-04-23,identity_or_dimension,FALSE,FALSE
Subastas 2026,A39,39,1,2026-05-28,identity_or_dimension,FALSE,FALSE
Subastas 2026,A40,40,1,2026-05-28,identity_or_dimension,FALSE,FALSE
Subastas 2026,A41,41,1,2026-05-28,identity_or_dimension,FALSE,FALSE
Subastas 2026,A42,42,1,2026-05-28,identity_or_dimension,FALSE,FALSE
Subastas 2026,A43,43,1,2026-05-28,identity_or_dimension,FALSE,FALSE
Subastas 2026,A44,44,1,2026-05-28,identity_or_dimension,FALSE,FALSE
Subastas 2026,A45,45,1,2026-06-25,identity_or_dimension,FALSE,FALSE
Subastas 2026,A46,46,1,2026-06-25,identity_or_dimension,FALSE,FALSE
Subastas 2026,A47,47,1,2026-06-25,identity_or_dimension,FALSE,FALSE
Subastas 2026,A48,48,1,2026-06-25,identity_or_dimension,FALSE,FALSE
Subastas 2026,A49,49,1,2026-06-25,identity_or_dimension,FALSE,FALSE
Subastas 2026,A50,50,1,2026-06-25,identity_or_dimension,FALSE,FALSE
Subastas 2026,A51,51,1,2026-07-30,identity_or_dimension,FALSE,FALSE
Subastas 2026,A52,52,1,2026-07-30,identity_or_dimension,FALSE,FALSE
Subastas 2026,A53,53,1,2026-07-30,identity_or_dimension,FALSE,FALSE
Subastas 2026,A54,54,1,2026-07-30,identity_or_dimension,FALSE,FALSE
Subastas 2026,A55,55,1,2026-07-30,identity_or_dimension,FALSE,FALSE
Subastas 2026,A56,56,1,2026-07-30,identity_or_dimension,FALSE,FALSE
Subastas 2026,A57,57,1,NA,blank,FALSE,FALSE
Subastas 2026,A58,58,1,NA,blank,FALSE,FALSE
Subastas 2026,A59,59,1,NA,blank,FALSE,FALSE
Subastas 2026,A60,60,1,(1)  El Banco Central del Paraguay realiza la colocación de las Letras de Regulación Monetaria mediante la Modalidad de Subasta Holandesa (precio único) a partir del 29 de mayo de 2014.,intentionally_excluded_non_observational_content,FALSE,FALSE
Subastas 2026,B1,1,2,NA,blank,FALSE,FALSE
Subastas 2026,B2,2,2,NA,blank,FALSE,FALSE
Subastas 2026,B3,3,2,NA,blank,FALSE,FALSE
Subastas 2026,B4,4,2,NA,blank,FALSE,FALSE
Subastas 2026,B5,5,2,NA,blank,FALSE,FALSE
Subastas 2026,B6,6,2,NA,blank,FALSE,FALSE
Subastas 2026,B7,7,2,NA,blank,FALSE,FALSE
Subastas 2026,B8,8,2,NA,blank,FALSE,FALSE
Subastas 2026,B9,9,2,NA,blank,FALSE,FALSE
Subastas 2026,B10,10,2,NA,blank,FALSE,FALSE
Subastas 2026,B11,11,2,NA,blank,FALSE,FALSE
Subastas 2026,B12,12,2,NA,blank,FALSE,FALSE
Subastas 2026,B13,13,2,NA,header,FALSE,FALSE
Subastas 2026,B14,14,2,Fecha Liquidación,header,FALSE,FALSE
Subastas 2026,B15,15,2,2026-01-30,identity_or_dimension,FALSE,FALSE
Subastas 2026,B16,16,2,2026-01-30,identity_or_dimension,FALSE,FALSE
Subastas 2026,B17,17,2,2026-01-30,identity_or_dimension,FALSE,FALSE
Subastas 2026,B18,18,2,2026-01-30,identity_or_dimension,FALSE,FALSE
Subastas 2026,B19,19,2,2026-01-30,identity_or_dimension,FALSE,FALSE
Subastas 2026,B20,20,2,2026-01-30,identity_or_dimension,FALSE,FALSE
Subastas 2026,B21,21,2,2026-02-27,identity_or_dimension,FALSE,FALSE
Subastas 2026,B22,22,2,2026-02-27,identity_or_dimension,FALSE,FALSE
Subastas 2026,B23,23,2,2026-02-27,identity_or_dimension,FALSE,FALSE
Subastas 2026,B24,24,2,2026-02-27,identity_or_dimension,FALSE,FALSE
Subastas 2026,B25,25,2,2026-02-27,identity_or_dimension,FALSE,FALSE
Subastas 2026,B26,26,2,2026-02-27,identity_or_dimension,FALSE,FALSE
Subastas 2026,B27,27,2,2026-03-27,identity_or_dimension,FALSE,FALSE
Subastas 2026,B28,28,2,2026-03-27,identity_or_dimension,FALSE,FALSE
Subastas 2026,B29,29,2,2026-03-27,identity_or_dimension,FALSE,FALSE
Subastas 2026,B30,30,2,2026-03-27,identity_or_dimension,FALSE,FALSE
Subastas 2026,B31,31,2,2026-03-27,identity_or_dimension,FALSE,FALSE
Subastas 2026,B32,32,2,2026-03-27,identity_or_dimension,FALSE,FALSE
Subastas 2026,B33,33,2,2026-04-24,identity_or_dimension,FALSE,FALSE
Subastas 2026,B34,34,2,2026-04-24,identity_or_dimension,FALSE,FALSE
Subastas 2026,B35,35,2,2026-04-24,identity_or_dimension,FALSE,FALSE
Subastas 2026,B36,36,2,2026-04-24,identity_or_dimension,FALSE,FALSE
Subastas 2026,B37,37,2,2026-04-24,identity_or_dimension,FALSE,FALSE
Subastas 2026,B38,38,2,2026-04-24,identity_or_dimension,FALSE,FALSE
Subastas 2026,B39,39,2,2026-05-29,identity_or_dimension,FALSE,FALSE
Subastas 2026,B40,40,2,2026-05-29,identity_or_dimension,FALSE,FALSE
Subastas 2026,B41,41,2,2026-05-29,identity_or_dimension,FALSE,FALSE
Subastas 2026,B42,42,2,2026-05-29,identity_or_dimension,FALSE,FALSE
Subastas 2026,B43,43,2,2026-05-29,identity_or_dimension,FALSE,FALSE
Subastas 2026,B44,44,2,2026-05-29,identity_or_dimension,FALSE,FALSE
Subastas 2026,B45,45,2,2026-06-26,identity_or_dimension,FALSE,FALSE
Subastas 2026,B46,46,2,2026-06-26,identity_or_dimension,FALSE,FALSE
Subastas 2026,B47,47,2,2026-06-26,identity_or_dimension,FALSE,FALSE
Subastas 2026,B48,48,2,2026-06-26,identity_or_dimension,FALSE,FALSE
Subastas 2026,B49,49,2,2026-06-26,identity_or_dimension,FALSE,FALSE
Subastas 2026,B50,50,2,2026-06-26,identity_or_dimension,FALSE,FALSE
Subastas 2026,B51,51,2,2026-07-31,identity_or_dimension,FALSE,FALSE
Subastas 2026,B52,52,2,2026-07-31,identity_or_dimension,FALSE,FALSE
Subastas 2026,B53,53,2,2026-07-31,identity_or_dimension,FALSE,FALSE
Subastas 2026,B54,54,2,2026-07-31,identity_or_dimension,FALSE,FALSE
Subastas 2026,B55,55,2,2026-07-31,identity_or_dimension,FALSE,FALSE
Subastas 2026,B56,56,2,2026-07-31,identity_or_dimension,FALSE,FALSE
Subastas 2026,B57,57,2,NA,blank,FALSE,FALSE
Subastas 2026,B58,58,2,NA,blank,FALSE,FALSE
Subastas 2026,B59,59,2,NA,blank,FALSE,FALSE
Subastas 2026,B60,60,2,NA,blank,FALSE,FALSE
Subastas 2026,C1,1,3,NA,blank,FALSE,FALSE
Subastas 2026,C2,2,3,NA,blank,FALSE,FALSE
