source_sheet,classification,formula_or_cached_formula,cells
Subastas 2013,blank,FALSE,372
Subastas 2013,header,FALSE,32
Subastas 2013,identity_or_dimension,FALSE,472
Subastas 2013,identity_or_dimension,TRUE,118
Subastas 2013,intentionally_excluded_non_observational_content,FALSE,2
Subastas 2013,parsed_observation,FALSE,1148
Subastas 2014,blank,FALSE,249
Subastas 2014,header,FALSE,32
Subastas 2014,identity_or_dimension,FALSE,292
Subastas 2014,identity_or_dimension,TRUE,73
Subastas 2014,intentionally_excluded_non_observational_content,FALSE,2
Subastas 2014,parsed_observation,FALSE,776
Subastas 2015 ,blank,FALSE,340
Subastas 2015 ,header,FALSE,32
Subastas 2015 ,identity_or_dimension,FALSE,222
Subastas 2015 ,identity_or_dimension,TRUE,138
Subastas 2015 ,intentionally_excluded_non_observational_content,FALSE,2
Subastas 2015 ,parsed_observation,FALSE,674
Subastas 2016,blank,FALSE,267
Subastas 2016,header,FALSE,32
Subastas 2016,identity_or_dimension,FALSE,216
Subastas 2016,identity_or_dimension,TRUE,144
Subastas 2016,intentionally_excluded_non_observational_content,FALSE,2
Subastas 2016,parsed_observation,FALSE,747
Subastas 2017,blank,FALSE,272
Subastas 2017,header,FALSE,32
Subastas 2017,identity_or_dimension,FALSE,216
Subastas 2017,identity_or_dimension,TRUE,144
Subastas 2017,intentionally_excluded_non_observational_content,FALSE,2
Subastas 2017,parsed_observation,FALSE,742
Subastas 2018,blank,FALSE,312
Subastas 2018,header,FALSE,32
Subastas 2018,identity_or_dimension,FALSE,216
Subastas 2018,identity_or_dimension,TRUE,144
Subastas 2018,intentionally_excluded_non_observational_content,FALSE,2
Subastas 2018,parsed_observation,FALSE,702
Subastas 2019,blank,FALSE,252
Subastas 2019,header,FALSE,32
Subastas 2019,identity_or_dimension,FALSE,216
Subastas 2019,identity_or_dimension,TRUE,144
Subastas 2019,intentionally_excluded_non_observational_content,FALSE,2
Subastas 2019,parsed_observation,FALSE,762
Subastas 2020,blank,FALSE,327
Subastas 2020,header,FALSE,32
Subastas 2020,identity_or_dimension,FALSE,207
Subastas 2020,identity_or_dimension,TRUE,138
Subastas 2020,intentionally_excluded_non_observational_content,FALSE,11
Subastas 2020,intentionally_excluded_non_observational_content,TRUE,6
Subastas 2020,parsed_observation,FALSE,687
Subastas 2021,blank,FALSE,331
Subastas 2021,header,FALSE,32
Subastas 2021,identity_or_dimension,FALSE,201
Subastas 2021,identity_or_dimension,TRUE,134
Subastas 2021,intentionally_excluded_non_observational_content,FALSE,17
Subastas 2021,intentionally_excluded_non_observational_content,TRUE,10
Subastas 2021,parsed_observation,FALSE,683
Subastas 2022,blank,FALSE,262
Subastas 2022,header,FALSE,32
Subastas 2022,identity_or_dimension,FALSE,213
Subastas 2022,identity_or_dimension,TRUE,142
Subastas 2022,intentionally_excluded_non_observational_content,FALSE,5
Subastas 2022,intentionally_excluded_non_observational_content,TRUE,2
Subastas 2022,parsed_observation,FALSE,752
Subastas 2023,blank,FALSE,313
Subastas 2023,header,FALSE,32
Subastas 2023,identity_or_dimension,FALSE,218
Subastas 2023,identity_or_dimension,TRUE,137
Subastas 2023,intentionally_excluded_non_observational_content,FALSE,6
Subastas 2023,intentionally_excluded_non_observational_content,TRUE,1
Subastas 2023,parsed_observation,FALSE,701
Subastas 2024,blank,FALSE,231
Subastas 2024,header,FALSE,32
Subastas 2024,identity_or_dimension,FALSE,270
Subastas 2024,identity_or_dimension,TRUE,90
Subastas 2024,intentionally_excluded_non_observational_content,FALSE,2
Subastas 2024,parsed_observation,FALSE,783
Subastas 2025,blank,FALSE,272
Subastas 2025,header,FALSE,32
Subastas 2025,identity_or_dimension,FALSE,216
Subastas 2025,identity_or_dimension,TRUE,144
Subastas 2025,intentionally_excluded_non_observational_content,FALSE,2
Subastas 2025,parsed_observation,FALSE,742
Subastas 2026,blank,FALSE,264
Subastas 2026,header,FALSE,32
Subastas 2026,identity_or_dimension,FALSE,156
Subastas 2026,identity_or_dimension,TRUE,54
Subastas 2026,intentionally_excluded_non_observational_content,FALSE,2
Subastas 2026,parsed_observation,FALSE,452
