source_sheet,worksheet_year,header_rows,merged_header_ranges,hidden_rows,hidden_columns,formula_cells,data_rows,parsed_observations,first_auction_date,last_auction_date,parser_mode
Subastas 2026,2026,13:14,A11:P11;A13:C13;D13:E13;F13:H13;I13:J13;K13:M13;N13:P13,11-12,NA,54,42,452,2026-01-29,2026-07-30,lrm_auction_event
Subastas 2025,2025,13:14,A11:P11;A13:C13;D13:E13;F13:H13;I13:J13;K13:M13;N13:P13,11-12,NA,144,72,742,2025-01-30,2025-12-23,lrm_auction_event
Subastas 2024,2024,13:14,A11:P11;A13:C13;D13:E13;F13:H13;I13:J13;K13:M13;N13:P13,11-12,NA,90,72,783,2024-01-25,2024-12-26,lrm_auction_event
Subastas 2023,2023,13:14,A11:P11;A13:C13;D13:E13;F13:H13;I13:J13;K13:M13;N13:P13,11-12,NA,138,71,701,2023-01-25,2023-12-21,lrm_auction_event
Subastas 2022,2022,13:14,A11:P11;A13:C13;D13:E13;F13:H13;I13:J13;K13:M13;N13:P13,11-12,NA,144,71,752,2022-01-26,2022-12-21,lrm_auction_event
Subastas 2021,2021,13:14,A11:P11;A13:C13;D13:E13;F13:H13;I13:J13;K13:M13;N13:P13,11-12,NA,144,67,683,2021-01-27,2021-12-22,lrm_auction_event
Subastas 2020,2020,13:14,A11:P11;A13:C13;D13:E13;F13:H13;I13:J13;K13:M13;N13:P13,11-12,NA,144,69,687,2020-01-29,2020-12-16,lrm_auction_event
Subastas 2019,2019,13:14,A11:P11;A13:C13;D13:E13;F13:H13;I13:J13;K13:M13;N13:P13,NA,NA,144,72,762,2019-01-23,2019-12-26,lrm_auction_event
Subastas 2018,2018,13:14,A11:P11;A13:C13;D13:E13;F13:H13;I13:J13;K13:M13;N13:P13,NA,NA,144,72,702,2018-01-24,2018-12-19,lrm_auction_event
Subastas 2017,2017,13:14,A11:P11;A13:C13;D13:E13;F13:H13;I13:J13;K13:M13;N13:P13,NA,NA,144,72,742,2017-01-24,2017-12-20,lrm_auction_event
Subastas 2016,2016,13:14,A11:P11;A13:C13;F13:H13;I13:J13;K13:M13;D13:E13;N13:P13,NA,NA,144,72,747,2016-01-27,2016-12-21,lrm_auction_event
Subastas 2015 ,2015,13:14,A11:P11;A13:C13;D13:E13;F13:H13;I13:J13;K13:M13;N13:P13,NA,NA,138,72,674,2015-01-28,2015-12-16,lrm_auction_event
Subastas 2014,2014,13:14,A11:P11;A13:C13;D13:E13;F13:H13;I13:J13;K13:M13;N13:P13,NA,NA,73,73,776,2014-01-09,2014-12-23,lrm_auction_event
Subastas 2013,2013,13:14,N13:P13;A11:P11;A13:C13;D13:E13;F13:H13;I13:J13;K13:M13,NA,NA,118,118,1148,2013-01-08,2013-12-26,lrm_auction_event
