"source_key","sheet_name","range"
"ine","Tasas","AM3:AN3"
"ine","Tasas","B83:I83"
"ine","Tasas","AI3:AL3"
"ine","Tasas","AI5:AL5"
"ine","Tasas","B1:AK1"
"ine","Tasas","B84:E84"
"ine","Tasas","B2:AK2"
"ine","Tasas","B3:B4"
"ine","Tasas","C3:F3"
"ine","Tasas","G3:J3"
"ine","Tasas","K3:N3"
"ine","Tasas","O3:R3"
"ine","Tasas","S3:V3"
"ine","Tasas","W3:Z3"
"ine","Tasas","AA3:AD3"
"ine","Tasas","AE3:AH3"
"ine","Tasas","B75:I75"
"ine","Tasas","B76:G76"
"ine","CARACTERÍSTICAS_OCU","AM3:AN3"
"ine","CARACTERÍSTICAS_OCU","B1:AK1"
"ine","CARACTERÍSTICAS_OCU","AE3:AH3"
"ine","CARACTERÍSTICAS_OCU","B2:AC2"
"ine","CARACTERÍSTICAS_OCU","W3:Z3"
"ine","CARACTERÍSTICAS_OCU","B3:B4"
"ine","CARACTERÍSTICAS_OCU","AA3:AD3"
"ine","CARACTERÍSTICAS_OCU","C3:F3"
"ine","CARACTERÍSTICAS_OCU","G3:J3"
"ine","CARACTERÍSTICAS_OCU","K3:N3"
"ine","CARACTERÍSTICAS_OCU","O3:R3"
"ine","CARACTERÍSTICAS_OCU","S3:V3"
"ine","CARACTERÍSTICAS_OCU","AI3:AL3"
"ine","SECTORECONÓMICO","AM4:AN4"
"ine","SECTORECONÓMICO","B1:AK1"
"ine","SECTORECONÓMICO","AE4:AH4"
"ine","SECTORECONÓMICO","B2:AC3"
"ine","SECTORECONÓMICO","B4:B5"
"ine","SECTORECONÓMICO","C4:F4"
"ine","SECTORECONÓMICO","G4:J4"
"ine","SECTORECONÓMICO","K4:N4"
"ine","SECTORECONÓMICO","O4:R4"
"ine","SECTORECONÓMICO","S4:V4"
"ine","SECTORECONÓMICO","W4:Z4"
"ine","SECTORECONÓMICO","AA4:AD4"
"ine","SECTORECONÓMICO","AI4:AL4"
"ine","CATEGORÍAOCUPACIONAL","AM3:AN3"
"ine","CATEGORÍAOCUPACIONAL","B1:AK1"
"ine","CATEGORÍAOCUPACIONAL","AE3:AH3"
"ine","CATEGORÍAOCUPACIONAL","B2:AC2"
"ine","CATEGORÍAOCUPACIONAL","W3:Z3"
"ine","CATEGORÍAOCUPACIONAL","B3:B4"
"ine","CATEGORÍAOCUPACIONAL","AA3:AD3"
"ine","CATEGORÍAOCUPACIONAL","C3:F3"
"ine","CATEGORÍAOCUPACIONAL","G3:J3"
"ine","CATEGORÍAOCUPACIONAL","K3:N3"
"ine","CATEGORÍAOCUPACIONAL","O3:R3"
"ine","CATEGORÍAOCUPACIONAL","S3:V3"
"ine","CATEGORÍAOCUPACIONAL","AI3:AL3"
"ine","TAMAÑODEEMPRESA","AM3:AN3"
"ine","TAMAÑODEEMPRESA","B1:AK1"
"ine","TAMAÑODEEMPRESA","AE3:AH3"
"ine","TAMAÑODEEMPRESA","B2:AC2"
"ine","TAMAÑODEEMPRESA","B3:B4"
"ine","TAMAÑODEEMPRESA","W3:Z3"
"ine","TAMAÑODEEMPRESA","AA3:AD3"
"ine","TAMAÑODEEMPRESA","C3:F3"
"ine","TAMAÑODEEMPRESA","G3:J3"
"ine","TAMAÑODEEMPRESA","K3:N3"
"ine","TAMAÑODEEMPRESA","O3:R3"
"ine","TAMAÑODEEMPRESA","S3:V3"
"ine","TAMAÑODEEMPRESA","AI3:AL3"
"ine","HORASHABITUALES","AM3:AN3"
"ine","HORASHABITUALES","B1:AK1"
"ine","HORASHABITUALES","W3:Z3"
"ine","HORASHABITUALES","B3:B4"
"ine","HORASHABITUALES","AA3:AD3"
"ine","HORASHABITUALES","B2:AE2"
"ine","HORASHABITUALES","AE3:AH3"
"ine","HORASHABITUALES","C3:F3"
"ine","HORASHABITUALES","G3:J3"
"ine","HORASHABITUALES","K3:N3"
"ine","HORASHABITUALES","O3:R3"
"ine","HORASHABITUALES","S3:V3"
"ine","HORASHABITUALES","AI3:AL3"
"ine","TIEMPOEXPERIENCIA","AM3:AN3"
"ine","TIEMPOEXPERIENCIA","B1:AK1"
"ine","TIEMPOEXPERIENCIA","AE3:AH3"
"ine","TIEMPOEXPERIENCIA","B2:AC2"
"ine","TIEMPOEXPERIENCIA","W3:Z3"
"ine","TIEMPOEXPERIENCIA","B3:B4"
"ine","TIEMPOEXPERIENCIA","AA3:AD3"
"ine","TIEMPOEXPERIENCIA","C3:F3"
"ine","TIEMPOEXPERIENCIA","G3:J3"
"ine","TIEMPOEXPERIENCIA","K3:N3"
"ine","TIEMPOEXPERIENCIA","O3:R3"
"ine","TIEMPOEXPERIENCIA","S3:V3"
"ine","TIEMPOEXPERIENCIA","AI3:AL3"
"ine","PROMEDIODEAÑODEESTUDIO","DJ4:DL4"
