"source_key","sheet_name","row","column","coordinate","value","numeric_like","special_token"
"mef","Serie",3,1,"A3","EJECUCIÓN AÑO 2003 - 2026*",FALSE,FALSE
"mef","Serie",4,1,"A4","ESTADO DE OPERACIONES DEL GOBIERNO  - Administración Central",FALSE,FALSE
"mef","Serie",5,1,"A5","(En miles de millones de guaraníes)",FALSE,FALSE
"mef","Serie",8,1,"A8","INGRESO TOTAL",FALSE,FALSE
"mef","Serie",10,1,"A10","Ingresos tributarios",FALSE,FALSE
"mef","Serie",11,1,"A11","Impuestos sobre el ingreso, las utilidades y las ganancias de capital",FALSE,FALSE
"mef","Serie",12,1,"A12","Impuestos sobre los bienes y servicios",FALSE,FALSE
"mef","Serie",13,1,"A13","               Impuestos sobre el valor agregado",FALSE,FALSE
"mef","Serie",14,1,"A14","               Impuestos selectivos",FALSE,FALSE
"mef","Serie",15,1,"A15","Otros impuestos sobre bienes y servicios",FALSE,FALSE
"mef","Serie",16,1,"A16","Impuestos sobre el comercio y las transacciones internacionales",FALSE,FALSE
"mef","Serie",17,1,"A17","Otros impuestos",FALSE,FALSE
"mef","Serie",19,1,"A19","Contribuciones sociales",FALSE,FALSE
"mef","Serie",21,1,"A21","Donaciones",FALSE,FALSE
"mef","Serie",22,1,"A22","       De gobiernos extranjeros",FALSE,FALSE
"mef","Serie",23,1,"A23","               Corrientes",FALSE,FALSE
"mef","Serie",24,1,"A24","               De Capital",FALSE,FALSE
"mef","Serie",25,1,"A25","       De organismos internacionales",FALSE,FALSE
"mef","Serie",26,1,"A26","               Corrientes",FALSE,FALSE
"mef","Serie",27,1,"A27","               De Capital",FALSE,FALSE
"mef","Serie",28,1,"A28","       De otras unidades del gobierno general",FALSE,FALSE
"mef","Serie",29,1,"A29","               Corrientes",FALSE,FALSE
"mef","Serie",30,1,"A30","               De Capital",FALSE,FALSE
"mef","Serie",31,1,"A31","Otros ingresos",FALSE,FALSE
"mef","Serie",32,1,"A32","Rentas de la propiedad",FALSE,FALSE
"mef","Serie",33,1,"A33","           Regalías y compensación Itaipú y Yacyretá",FALSE,FALSE
"mef","Serie",34,1,"A34","Otras Rentas de la propiedad",FALSE,FALSE
"mef","Serie",35,1,"A35","Ventas de bienes y servicios",FALSE,FALSE
"mef","Serie",36,1,"A36","          Compensacion cesion de energia Itaipu y Yacyreta",FALSE,FALSE
"mef","Serie",37,1,"A37","Otras Ventas de Bienes y Servicios",FALSE,FALSE
"mef","Serie",38,1,"A38","Otros ingresos",FALSE,FALSE
"mef","Serie",40,1,"A40","GASTO TOTAL OBLIGADO",FALSE,FALSE
"mef","Serie",41,1,"A41","Remuneración a los empleados",FALSE,FALSE
"mef","Serie",42,1,"A42","Uso de bienes y servicios",FALSE,FALSE
"mef","Serie",43,1,"A43","Servicios no personales",FALSE,FALSE
"mef","Serie",44,1,"A44","Bienes de consumo",FALSE,FALSE
"mef","Serie",45,1,"A45","Comisiones",FALSE,FALSE
"mef","Serie",46,1,"A46","Otros Usos de Bienes y Servicios",FALSE,FALSE
"mef","Serie",47,1,"A47","Intereses",FALSE,FALSE
"mef","Serie",48,1,"A48","Externa",FALSE,FALSE
"mef","Serie",49,1,"A49","Interna",FALSE,FALSE
"mef","Serie",50,1,"A50","Subsidios",FALSE,FALSE
"mef","Serie",51,1,"A51","Donaciones",FALSE,FALSE
"mef","Serie",52,1,"A52","       De gobiernos extranjeros",FALSE,FALSE
"mef","Serie",53,1,"A53","               Corrientes",FALSE,FALSE
"mef","Serie",54,1,"A54","               De Capital",FALSE,FALSE
"mef","Serie",55,1,"A55","       De organismos internacionales",FALSE,FALSE
"mef","Serie",56,1,"A56","               Corrientes",FALSE,FALSE
"mef","Serie",57,1,"A57","               De Capital",FALSE,FALSE
"mef","Serie",58,1,"A58","       De otras unidades del gobierno general",FALSE,FALSE
"mef","Serie",59,1,"A59","               Corrientes",FALSE,FALSE
"mef","Serie",60,1,"A60","               De Capital",FALSE,FALSE
"mef","Serie",61,1,"A61","Prestaciones sociales",FALSE,FALSE
"mef","Serie",62,1,"A62","Prestaciones de la seguridad social",FALSE,FALSE
"mef","Serie",63,1,"A63","Prestaciones de asistencia social",FALSE,FALSE
"mef","Serie",64,1,"A64","Prestaciones sociales del empleador",FALSE,FALSE
"mef","Serie",65,1,"A65","Otros gastos",FALSE,FALSE
"mef","Serie",66,1,"A66","     Corrientes",FALSE,FALSE
"mef","Serie",67,1,"A67","           Aportes a entidades con fines sociales y al Fondo Nacional de emergencia",FALSE,FALSE
"mef","Serie",68,1,"A68","           Transferencias corrientes al sector privado",FALSE,FALSE
"mef","Serie",69,1,"A69","           Transferencias corrientes a entidades del Sector Privado, Académico y/o Público del Exterior",FALSE,FALSE
"mef","Serie",70,1,"A70","           Pago de impuestos, tasas y gastos judiciales",FALSE,FALSE
"mef","Serie",71,1,"A71","           Gastos reservados",FALSE,FALSE
"mef","Serie",72,1,"A72","    De Capital",FALSE,FALSE
"mef","Serie",73,1,"A73","          Transferencias de capital al sector privado",FALSE,FALSE
"mef","Serie",74,1,"A74","          Transferencias de capital al BCP",FALSE,FALSE
"mef","Serie",75,1,"A75","          Otros aportes de la Tesorería General ",FALSE,FALSE
"mef","Serie",77,1,"A77","Balance Operativo Neto (Ingreso menos Gasto)",FALSE,FALSE
"mef","Serie",80,1,"A80","Adquisición neta de activos no financieros",FALSE,FALSE
"mef","Serie",81,1,"A81","Activos fijos",FALSE,FALSE
"mef","Serie",82,1,"A82","Otros activos",FALSE,FALSE
"mef","Serie",83,1,"A83","Modalidad Llave en Mano",FALSE,FALSE
"mef","Serie",84,1,"A84","Préstamo neto / endeudamiento neto",FALSE,FALSE
"mef","Serie",88,1,"A88","Adquisición neta de activos financieros",FALSE,FALSE
"mef","Serie",89,1,"A89","Internos",FALSE,FALSE
"mef","Serie",90,1,"A90","Externos",FALSE,FALSE
"mef","Serie",91,1,"A91","Incurrimiento neto de pasivos",FALSE,FALSE
"mef","Serie",92,1,"A92","Internos",FALSE,FALSE
"mef","Serie",93,1,"A93","Externos",FALSE,FALSE
"mef","Serie",95,1,"A95","Deuda flotante",FALSE,FALSE
"mef","Serie",96,1,"A96","Ejercicio actual",FALSE,FALSE
"mef","Serie",97,1,"A97","Ejercicio anterior",FALSE,FALSE
"mef","Serie",99,1,"A99","Variacion saldos de caja",FALSE,FALSE
"mef","Serie",100,1,"A100","Reduccion (+)/Aumento (-)",FALSE,FALSE
"mef","Serie",102,1,"A102","Diferencia periodo de registro",FALSE,FALSE
"mef","Serie",105,1,"A105","Partidas Adicionales",FALSE,FALSE
"mef","Serie",106,1,"A106","Gasto Corriente Primario",FALSE,FALSE
"mef","Serie",107,1,"A107","Resultado Primario",FALSE,FALSE
"mef","Serie",109,1,"A109","*Datos preliminares 2025 y 2026",FALSE,FALSE
"mef","Serie",110,1,"A110","Obs.: Ingresos Tributarios serán distribuidos posteriormente",FALSE,FALSE
"mef","Serie",111,1,"A111","          Contibuciones Sociales se registran en base devengado",FALSE,FALSE
"mef","Serie",7,3,"C7","37622",TRUE,FALSE
"mef","Serie",8,3,"C8","392.117641313",TRUE,FALSE
"mef","Serie",10,3,"C10","244.561201214",TRUE,FALSE
"mef","Serie",11,3,"C11","4.918512723",TRUE,FALSE
"mef","Serie",12,3,"C12","51.019027981",TRUE,FALSE
"mef","Serie",13,3,"C13","25.634772888",TRUE,FALSE
"mef","Serie",14,3,"C14","25.384255093",TRUE,FALSE
"mef","Serie",15,3,"C15","0",TRUE,FALSE
"mef","Serie",16,3,"C16","16.822998176",TRUE,FALSE
"mef","Serie",17,3,"C17","171.800662334",TRUE,FALSE
"mef","Serie",19,3,"C19","27.201640638",TRUE,FALSE
"mef","Serie",21,3,"C21","6.724295133",TRUE,FALSE
"mef","Serie",22,3,"C22","0",TRUE,FALSE
"mef","Serie",23,3,"C23","0",TRUE,FALSE
"mef","Serie",24,3,"C24","0",TRUE,FALSE
"mef","Serie",25,3,"C25","0",TRUE,FALSE
"mef","Serie",26,3,"C26","0",TRUE,FALSE
"mef","Serie",27,3,"C27","0",TRUE,FALSE
"mef","Serie",28,3,"C28","6.724295133",TRUE,FALSE
"mef","Serie",29,3,"C29","6.724295133",TRUE,FALSE
"mef","Serie",30,3,"C30","0",TRUE,FALSE
"mef","Serie",31,3,"C31","113.630504328",TRUE,FALSE
"mef","Serie",32,3,"C32","103.509872464",TRUE,FALSE
"mef","Serie",33,3,"C33","101.411030383",TRUE,FALSE
"mef","Serie",34,3,"C34","2.098842081",TRUE,FALSE
"mef","Serie",35,3,"C35","9.84320993",TRUE,FALSE
"mef","Serie",36,3,"C36","1.1418978",TRUE,FALSE
"mef","Serie",37,3,"C37","8.70131213",TRUE,FALSE
"mef","Serie",38,3,"C38","0.277421934",TRUE,FALSE
"mef","Serie",40,3,"C40","376.334263369",TRUE,FALSE
"mef","Serie",41,3,"C41","196.165527328",TRUE,FALSE
"mef","Serie",42,3,"C42","15.416901769",TRUE,FALSE
"mef","Serie",43,3,"C43","5.677142227",TRUE,FALSE
"mef","Serie",44,3,"C44","9.725917585",TRUE,FALSE
"mef","Serie",45,3,"C45","0.013841957",TRUE,FALSE
"mef","Serie",46,3,"C46","0",TRUE,FALSE
"mef","Serie",47,3,"C47","76.454265444",TRUE,FALSE
"mef","Serie",48,3,"C48","76.088478946",TRUE,FALSE
"mef","Serie",49,3,"C49","0.365786498",TRUE,FALSE
"mef","Serie",50,3,"C50","0",TRUE,FALSE
"mef","Serie",51,3,"C51","16.948533832",TRUE,FALSE
"mef","Serie",52,3,"C52","0",TRUE,FALSE
"mef","Serie",53,3,"C53","0",TRUE,FALSE
"mef","Serie",54,3,"C54","0",TRUE,FALSE
"mef","Serie",55,3,"C55","0.142549776",TRUE,FALSE
"mef","Serie",56,3,"C56","0.142549776",TRUE,FALSE
"mef","Serie",57,3,"C57","0",TRUE,FALSE
"mef","Serie",58,3,"C58","16.805984056",TRUE,FALSE
"mef","Serie",59,3,"C59","16.805984056",TRUE,FALSE
"mef","Serie",60,3,"C60","0",TRUE,FALSE
"mef","Serie",61,3,"C61","71.074951",TRUE,FALSE
"mef","Serie",62,3,"C62","47.701605636",TRUE,FALSE
"mef","Serie",63,3,"C63","22.021866229",TRUE,FALSE
"mef","Serie",64,3,"C64","1.351479135",TRUE,FALSE
"mef","Serie",65,3,"C65","0.274083996",TRUE,FALSE
"mef","Serie",66,3,"C66","0.274083996",TRUE,FALSE
"mef","Serie",67,3,"C67","0",TRUE,FALSE
"mef","Serie",68,3,"C68","0.04",TRUE,FALSE
"mef","Serie",69,3,"C69","0",TRUE,FALSE
"mef","Serie",70,3,"C70","0.024083996",TRUE,FALSE
"mef","Serie",71,3,"C71","0.21",TRUE,FALSE
"mef","Serie",72,3,"C72","0",TRUE,FALSE
"mef","Serie",73,3,"C73","0",TRUE,FALSE
"mef","Serie",74,3,"C74","0",TRUE,FALSE
"mef","Serie",75,3,"C75","0",TRUE,FALSE
"mef","Serie",77,3,"C77","15.783377944",TRUE,FALSE
"mef","Serie",80,3,"C80","25.76225756",TRUE,FALSE
"mef","Serie",81,3,"C81","25.76225756",TRUE,FALSE
"mef","Serie",82,3,"C82","0",TRUE,FALSE
"mef","Serie",84,3,"C84","-9.97887961599995",TRUE,FALSE
"mef","Serie",88,3,"C88","60.901114898",TRUE,FALSE
"mef","Serie",89,3,"C89","60.901114898",TRUE,FALSE
"mef","Serie",90,3,"C90","0",TRUE,FALSE
"mef","Serie",91,3,"C91","29.17417267",TRUE,FALSE
"mef","Serie",92,3,"C92","-6.60102009000001",TRUE,FALSE
