"source_key","sheet_name","coordinate","value"
"mef","Serie","A109","*Datos preliminares 2025 y 2026"
"ine","Tasas","C73","Fuente: INE. Encuesta Permanente de Hogares Continua 2017-2026. Factores de ponderación ajustados a las nuevas estimaciones y proyecciones (revisión 2025)"
"ine","Tasas","C74","1/ No incluye los departamentos, Boquerón y Alto Paraguay, comunidades indígenas y viviendas colectivas."
"ine","Tasas","C75","2/ Las cifras fueron recalculadas en función a la ocupación principal, dados los ajustes en el cuestionario  y no se investigaron horas en otras ocupaciones. "
"ine","Tasas","C76","3/Las cifras son comparables con los demás trimestres menos con el 2do trim 2020. "
"ine","Tasas","C78","Nota: ( ) estimación basada en menos a 30 casos muestrales, que pueden ser consideradas como insuficiencia muestral."
"ine","Tasas","C79","Nota: A partir del año 2019 se calculó la subocupación por Insuficiencia de tiempo de trabajo con una sola ocupación."
"ine","CARACTERÍSTICAS_OCU","C76","Fuente: INE. Encuesta Permanente de Hogares Continua 2017-2026. Factores de ponderación ajustados a las nuevas estimaciones y proyecciones (revisión 2025)"
"ine","CARACTERÍSTICAS_OCU","C77","1/ No incluye los departamentos, Boquerón y Alto Paraguay, comunidades indígenas y viviendas colectivas."
"ine","CARACTERÍSTICAS_OCU","C78","Nota: ( ) Estimación basada en menos a 30 casos muestrales, que pueden ser consideradas como insuficiencia muestral."
"ine","SECTORECONÓMICO","C41","Fuente: INE. Encuesta Permanente de Hogares Continua 2017-2026. Factores de ponderación ajustados a las nuevas estimaciones y proyecciones (revisión 2025)"
"ine","SECTORECONÓMICO","C42","1/ No incluye los departamentos, Boquerón y Alto Paraguay, comunidades indígenas y viviendas colectivas."
"ine","CATEGORÍAOCUPACIONAL","C37","Fuente: INE. Encuesta Permanente de Hogares Continua 2017-2026. Factores de ponderación ajustados a las nuevas estimaciones y proyecciones (revisión 2025)"
"ine","CATEGORÍAOCUPACIONAL","C38","1/ No incluye los departamentos, Boquerón y Alto Paraguay, comunidades indígenas y viviendas colectivas."
"ine","TAMAÑODEEMPRESA","C31","Fuente: INE. Encuesta Permanente de Hogares Continua 2017-2026. Factores de ponderación ajustados a las nuevas estimaciones y proyecciones (revisión 2025)"
"ine","TAMAÑODEEMPRESA","C32","1/ No incluye los departamentos, Boquerón y Alto Paraguay, comunidades indígenas y viviendas colectivas."
"ine","TAMAÑODEEMPRESA","C33","Nota: ( ) Estimación basada en menos a 30 casos muestrales, que pueden ser consideradas como insuficiencia muestral."
"ine","HORASHABITUALES","C22","Fuente: INE. Encuesta Permanente de Hogares Continua 2017-2026. Factores de ponderación ajustados a las nuevas estimaciones y proyecciones (revisión 2025)"
"ine","HORASHABITUALES","C23","1/ No incluye los departamentos, Boquerón y Alto Paraguay, comunidades indígenas y viviendas colectivas."
"ine","TIEMPOEXPERIENCIA","C25","Fuente: INE. Encuesta Permanente de Hogares Continua 2017-2026. Factores de ponderación ajustados a las nuevas estimaciones y proyecciones (revisión 2025)"
"ine","TIEMPOEXPERIENCIA","C26","1/ No incluye los departamentos, Boquerón y Alto Paraguay, comunidades indígenas y viviendas colectivas."
"ine","PROMEDIODEAÑODEESTUDIO","C29","Fuente: INE. Encuesta Permanente de Hogares Continua 2017-2026. Factores de ponderación ajustados a las nuevas estimaciones y proyecciones (revisión 2025)"
"ine","PROMEDIODEAÑODEESTUDIO","C30","1/ No incluye los departamentos, Boquerón y Alto Paraguay, comunidades indígenas y viviendas colectivas."
"ine","PROMEDIODEAÑODEESTUDIO","C31","Nota: ( ) estimación basada en menos a 30 casos muestrales, que pueden ser consideradas como insuficiencia muestral."
"ine","INGRESOS_CATE","C24","Fuente: INE. Encuesta Permanente de Hogares Continua 2017-2026. Factores de ponderación ajustados a las nuevas estimaciones y proyecciones (revisión 2025)"
"ine","INGRESOS_CATE","C25","1/ No considera los ingresos iguales a cero."
"ine","INGRESOS_CATE","C26","2/ No incluye los departamentos, Boquerón y Alto Paraguay, comunidades indígenas y viviendas colectivas."
"ine","INGRESOS_CATE","C27","3/ El método de imputación elegido, fue sustituir el ingreso atípico por el valor de la mediana de la distribución."
"ine","INGRESOS_CATE","C28","Nota: ( ) estimación basada en menos a 30 casos muestrales, que pueden ser consideradas como insuficiencia muestral."
"ine","INGRESOSPORHORAS","C24","Fuente: INE. Encuesta Permanente de Hogares Continua 2017-2026. Factores de ponderación ajustados a las nuevas estimaciones y proyecciones (revisión 2025)"
"ine","INGRESOSPORHORAS","C25","1/ No considera los ingresos iguales a cero."
"ine","INGRESOSPORHORAS","C26","2/ No incluye los departamentos, Boquerón y Alto Paraguay, comunidades indígenas y viviendas colectivas."
"ine","INGRESOSPORHORAS","C27","3/ El método de imputación elegido, fue sustituir el ingreso atípico por el valor de la mediana de la distribución."
"ine","INGRESOSPORHORAS","C28","Nota: ( ) estimación basada en menos a 30 casos muestrales, que pueden ser consideradas como insuficiencia muestral."
