candidate_id,source_id,original_source_label,normalized_label,identity_basis,identity_stability,source_sheets,example_source_row,example_source_column,observation_count,earliest_period,latest_period,series_count,worksheet_presentations,primary_review_category,diagnostic_disposition
economic_annex:cuadro_14_a:00cd315c7b8ba74f56ac97fa,economic_annex,Variación% — Acum.,variación% — acum.,CUADRO 14 a|monthly|Variación% — Acum. — column_12,positional,CUADRO 14 a,13,12,379,1995-01-01T00:00:00Z,2026-07-31T00:00:00Z,16,2,probable_identity_fragmentation,positional_identity_review
economic_annex:cuadro_14_a:4ac09c63af52baaf10ebd92d,economic_annex,Variación% — Acum.,variación% — acum.,CUADRO 14 a|monthly|Variación% — Acum. — column_8,positional,CUADRO 14 a,13,8,379,1995-01-01T00:00:00Z,2026-07-31T00:00:00Z,16,2,probable_identity_fragmentation,positional_identity_review
economic_annex:cuadro_14_a:58e26e1bb5e617b4fd02a185,economic_annex,Variación% — Acum.,variación% — acum.,CUADRO 14 a|monthly|Variación% — Acum. — column_4,positional,CUADRO 14 a,13,4,379,1995-01-01T00:00:00Z,2026-07-31T00:00:00Z,16,2,probable_identity_fragmentation,positional_identity_review
economic_annex:cuadro_14_a:689d66cd504dd19eb43f7c40,economic_annex,Variación% — Acum.,variación% — acum.,CUADRO 14 a|monthly|Variación% — Acum. — column_20,positional,CUADRO 14 a,13,20,379,1995-01-01T00:00:00Z,2026-07-31T00:00:00Z,16,2,probable_identity_fragmentation,positional_identity_review
economic_annex:cuadro_14_a:877d1504cd38f914ed36134b,economic_annex,Variación% — Acum.,variación% — acum.,CUADRO 14 a|monthly|Variación% — Acum. — column_16,positional,CUADRO 14 a,13,16,379,1995-01-01T00:00:00Z,2026-07-31T00:00:00Z,16,2,probable_identity_fragmentation,positional_identity_review
economic_annex:cuadro_14_b:00cd315c7b8ba74f56ac97fa,economic_annex,Variación% — Acum.,variación% — acum.,CUADRO 14 b|monthly|Variación% — Acum. — column_12,positional,CUADRO 14 b,14,12,379,1995-01-01T00:00:00Z,2026-07-31T00:00:00Z,16,2,probable_identity_fragmentation,positional_identity_review
economic_annex:cuadro_14_b:01ca3eea465435eaf2b56624,economic_annex,Variación% — Acum.,variación% — acum.,CUADRO 14 b|monthly|Variación% — Acum. — column_28,positional,CUADRO 14 b,14,28,379,1995-01-01T00:00:00Z,2026-07-31T00:00:00Z,16,2,probable_identity_fragmentation,positional_identity_review
economic_annex:cuadro_14_b:4ac09c63af52baaf10ebd92d,economic_annex,Variación% — Acum.,variación% — acum.,CUADRO 14 b|monthly|Variación% — Acum. — column_8,positional,CUADRO 14 b,14,8,379,1995-01-01T00:00:00Z,2026-07-31T00:00:00Z,16,2,probable_identity_fragmentation,positional_identity_review
economic_annex:cuadro_14_b:58e26e1bb5e617b4fd02a185,economic_annex,Variación% — Acum.,variación% — acum.,CUADRO 14 b|monthly|Variación% — Acum. — column_4,positional,CUADRO 14 b,14,4,379,1995-01-01T00:00:00Z,2026-07-31T00:00:00Z,16,2,probable_identity_fragmentation,positional_identity_review
economic_annex:cuadro_14_b:689d66cd504dd19eb43f7c40,economic_annex,Variación% — Acum.,variación% — acum.,CUADRO 14 b|monthly|Variación% — Acum. — column_20,positional,CUADRO 14 b,14,20,379,1995-01-01T00:00:00Z,2026-07-31T00:00:00Z,16,2,probable_identity_fragmentation,positional_identity_review
economic_annex:cuadro_14_b:7040308f151e222a7a19e830,economic_annex,Variación% — Acum.,variación% — acum.,CUADRO 14 b|monthly|Variación% — Acum. — column_32,positional,CUADRO 14 b,14,32,379,1995-01-01T00:00:00Z,2026-07-31T00:00:00Z,16,2,probable_identity_fragmentation,positional_identity_review
