candidate_id,source_id,original_source_label,full_series_path,data_structure,identity_basis,identity_stability,source_sheets,observation_count,earliest_period,latest_period,frequency,unit_code,primary_review_category,explore_admission_status,classification_issue_codes
corporate_bond_curves:01970695c913610a01911f97,corporate_bond_curves,PYG|B|0.75|par_rate,,curve_panel,PYG|B|0.75|par_rate,semantic,,1,2018-12-01T00:00:00Z,2018-12-01T00:00:00Z,irregular_daily,PROPORTION,apparently_valid_preliminary,eligible_native_grain,native_grain_required;coordinate_lineage_limited;provenance_review_incomplete;formal_research_review_incomplete
corporate_bond_curves:02a6b54c1159c74e915afa80,corporate_bond_curves,PYG|B|7.75|par_rate,,curve_panel,PYG|B|7.75|par_rate,semantic,,1,2018-12-01T00:00:00Z,2018-12-01T00:00:00Z,irregular_daily,PROPORTION,apparently_valid_preliminary,eligible_native_grain,native_grain_required;coordinate_lineage_limited;provenance_review_incomplete;formal_research_review_incomplete
corporate_bond_curves:078b455224e83ac524048f4a,corporate_bond_curves,PYG|B|8.75|zero_coupon_rate,,curve_panel,PYG|B|8.75|zero_coupon_rate,semantic,,1,2018-12-01T00:00:00Z,2018-12-01T00:00:00Z,irregular_daily,PROPORTION,apparently_valid_preliminary,eligible_native_grain,native_grain_required;coordinate_lineage_limited;provenance_review_incomplete;formal_research_review_incomplete
corporate_bond_curves:094b973b42a4ecfaf54279f5,corporate_bond_curves,PYG|B|10.00|zero_coupon_rate,,curve_panel,PYG|B|10.00|zero_coupon_rate,semantic,,1,2018-12-01T00:00:00Z,2018-12-01T00:00:00Z,irregular_daily,PROPORTION,apparently_valid_preliminary,eligible_native_grain,native_grain_required;coordinate_lineage_limited;provenance_review_incomplete;formal_research_review_incomplete
corporate_bond_curves:09a8b9b0e38b5e6c2ed389ac,corporate_bond_curves,PYG|B|2.00|par_rate,,curve_panel,PYG|B|2.00|par_rate,semantic,,1,2018-12-01T00:00:00Z,2018-12-01T00:00:00Z,irregular_daily,PROPORTION,apparently_valid_preliminary,eligible_native_grain,native_grain_required;coordinate_lineage_limited;provenance_review_incomplete;formal_research_review_incomplete
corporate_bond_curves:0a51292a7d098beeb0bf4548,corporate_bond_curves,PYG|B|1.00|par_rate,,curve_panel,PYG|B|1.00|par_rate,semantic,,1,2018-12-01T00:00:00Z,2018-12-01T00:00:00Z,irregular_daily,PROPORTION,apparently_valid_preliminary,eligible_native_grain,native_grain_required;coordinate_lineage_limited;provenance_review_incomplete;formal_research_review_incomplete
corporate_bond_curves:0b6f6d138135fb7fa4d4bb2d,corporate_bond_curves,PYG|B|6.25|par_rate,,curve_panel,PYG|B|6.25|par_rate,semantic,,1,2018-12-01T00:00:00Z,2018-12-01T00:00:00Z,irregular_daily,PROPORTION,apparently_valid_preliminary,eligible_native_grain,native_grain_required;coordinate_lineage_limited;provenance_review_incomplete;formal_research_review_incomplete
corporate_bond_curves:0c669bc6e9aa0beb027f3462,corporate_bond_curves,PYG|B|1.50|zero_coupon_rate,,curve_panel,PYG|B|1.50|zero_coupon_rate,semantic,,1,2018-12-01T00:00:00Z,2018-12-01T00:00:00Z,irregular_daily,PROPORTION,apparently_valid_preliminary,eligible_native_grain,native_grain_required;coordinate_lineage_limited;provenance_review_incomplete;formal_research_review_incomplete
corporate_bond_curves:0fe5a71824780d17c4879385,corporate_bond_curves,PYG|B|5.00|discount_factor,,curve_panel,PYG|B|5.00|discount_factor,semantic,,1,2018-12-01T00:00:00Z,2018-12-01T00:00:00Z,irregular_daily,RATIO,apparently_valid_preliminary,eligible_native_grain,native_grain_required;coordinate_lineage_limited;provenance_review_incomplete;formal_research_review_incomplete
corporate_bond_curves:1084d9e6b79ecba8f20fa93c,corporate_bond_curves,PYG|B|3.75|par_rate,,curve_panel,PYG|B|3.75|par_rate,semantic,,1,2018-12-01T00:00:00Z,2018-12-01T00:00:00Z,irregular_daily,PROPORTION,apparently_valid_preliminary,eligible_native_grain,native_grain_required;coordinate_lineage_limited;provenance_review_incomplete;formal_research_review_incomplete
corporate_bond_curves:113b6e1fab8239eed9e0efd8,corporate_bond_curves,PYG|B|1.25|zero_coupon_rate,,curve_panel,PYG|B|1.25|zero_coupon_rate,semantic,,1,2018-12-01T00:00:00Z,2018-12-01T00:00:00Z,irregular_daily,PROPORTION,apparently_valid_preliminary,eligible_native_grain,native_grain_required;coordinate_lineage_limited;provenance_review_incomplete;formal_research_review_incomplete
corporate_bond_curves:1158e5400e95a6c21b4e80b4,corporate_bond_curves,PYG|B|5.25|zero_coupon_rate,,curve_panel,PYG|B|5.25|zero_coupon_rate,semantic,,1,2018-12-01T00:00:00Z,2018-12-01T00:00:00Z,irregular_daily,PROPORTION,apparently_valid_preliminary,eligible_native_grain,native_grain_required;coordinate_lineage_limited;provenance_review_incomplete;formal_research_review_incomplete
corporate_bond_curves:14b6f898128e24233d192739,corporate_bond_curves,PYG|B|4.75|discount_factor,,curve_panel,PYG|B|4.75|discount_factor,semantic,,1,2018-12-01T00:00:00Z,2018-12-01T00:00:00Z,irregular_daily,RATIO,apparently_valid_preliminary,eligible_native_grain,native_grain_required;coordinate_lineage_limited;provenance_review_incomplete;formal_research_review_incomplete
corporate_bond_curves:16b02279c65fd25da493632c,corporate_bond_curves,PYG|B|6.75|discount_factor,,curve_panel,PYG|B|6.75|discount_factor,semantic,,1,2018-12-01T00:00:00Z,2018-12-01T00:00:00Z,irregular_daily,RATIO,apparently_valid_preliminary,eligible_native_grain,native_grain_required;coordinate_lineage_limited;provenance_review_incomplete;formal_research_review_incomplete
corporate_bond_curves:17b53a876c244443a404dcd6,corporate_bond_curves,PYG|B|4.00|zero_coupon_rate,,curve_panel,PYG|B|4.00|zero_coupon_rate,semantic,,1,2018-12-01T00:00:00Z,2018-12-01T00:00:00Z,irregular_daily,PROPORTION,apparently_valid_preliminary,eligible_native_grain,native_grain_required;coordinate_lineage_limited;provenance_review_incomplete;formal_research_review_incomplete
corporate_bond_curves:19c38dafb2eb3d5dd914ece7,corporate_bond_curves,PYG|B|9.50|zero_coupon_rate,,curve_panel,PYG|B|9.50|zero_coupon_rate,semantic,,1,2018-12-01T00:00:00Z,2018-12-01T00:00:00Z,irregular_daily,PROPORTION,apparently_valid_preliminary,eligible_native_grain,native_grain_required;coordinate_lineage_limited;provenance_review_incomplete;formal_research_review_incomplete
corporate_bond_curves:1a4bac899dddbc9a6333d737,corporate_bond_curves,PYG|B|3.00|zero_coupon_rate,,curve_panel,PYG|B|3.00|zero_coupon_rate,semantic,,1,2018-12-01T00:00:00Z,2018-12-01T00:00:00Z,irregular_daily,PROPORTION,apparently_valid_preliminary,eligible_native_grain,native_grain_required;coordinate_lineage_limited;provenance_review_incomplete;formal_research_review_incomplete
corporate_bond_curves:1ca2abd36f0792967d02afb9,corporate_bond_curves,PYG|B|4.25|zero_coupon_rate,,curve_panel,PYG|B|4.25|zero_coupon_rate,semantic,,1,2018-12-01T00:00:00Z,2018-12-01T00:00:00Z,irregular_daily,PROPORTION,apparently_valid_preliminary,eligible_native_grain,native_grain_required;coordinate_lineage_limited;provenance_review_incomplete;formal_research_review_incomplete
corporate_bond_curves:28186d92afea4cb230033eec,corporate_bond_curves,PYG|B|6.75|zero_coupon_rate,,curve_panel,PYG|B|6.75|zero_coupon_rate,semantic,,1,2018-12-01T00:00:00Z,2018-12-01T00:00:00Z,irregular_daily,PROPORTION,apparently_valid_preliminary,eligible_native_grain,native_grain_required;coordinate_lineage_limited;provenance_review_incomplete;formal_research_review_incomplete
corporate_bond_curves:2b1ab0f232b124ed8023925c,corporate_bond_curves,PYG|B|5.00|zero_coupon_rate,,curve_panel,PYG|B|5.00|zero_coupon_rate,semantic,,1,2018-12-01T00:00:00Z,2018-12-01T00:00:00Z,irregular_daily,PROPORTION,apparently_valid_preliminary,eligible_native_grain,native_grain_required;coordinate_lineage_limited;provenance_review_incomplete;formal_research_review_incomplete
corporate_bond_curves:3680fe0e346435aa71f02b77,corporate_bond_curves,PYG|B|6.00|zero_coupon_rate,,curve_panel,PYG|B|6.00|zero_coupon_rate,semantic,,1,2018-12-01T00:00:00Z,2018-12-01T00:00:00Z,irregular_daily,PROPORTION,apparently_valid_preliminary,eligible_native_grain,native_grain_required;coordinate_lineage_limited;provenance_review_incomplete;formal_research_review_incomplete
corporate_bond_curves:39cb021d669440ecc3ac31f6,corporate_bond_curves,PYG|B|1.75|par_rate,,curve_panel,PYG|B|1.75|par_rate,semantic,,1,2018-12-01T00:00:00Z,2018-12-01T00:00:00Z,irregular_daily,PROPORTION,apparently_valid_preliminary,eligible_native_grain,native_grain_required;coordinate_lineage_limited;provenance_review_incomplete;formal_research_review_incomplete
corporate_bond_curves:3b54b90dede9e14f2eed4529,corporate_bond_curves,PYG|B|6.00|discount_factor,,curve_panel,PYG|B|6.00|discount_factor,semantic,,1,2018-12-01T00:00:00Z,2018-12-01T00:00:00Z,irregular_daily,RATIO,apparently_valid_preliminary,eligible_native_grain,native_grain_required;coordinate_lineage_limited;provenance_review_incomplete;formal_research_review_incomplete
corporate_bond_curves:3d157412c59a0f2cb21ac8f0,corporate_bond_curves,PYG|B|9.00|discount_factor,,curve_panel,PYG|B|9.00|discount_factor,semantic,,1,2018-12-01T00:00:00Z,2018-12-01T00:00:00Z,irregular_daily,RATIO,apparently_valid_preliminary,eligible_native_grain,native_grain_required;coordinate_lineage_limited;provenance_review_incomplete;formal_research_review_incomplete
