source_id,series,observations,series_at_most_two_observations,series_at_most_twelve_observations,positional_series,supported_overlap_series,unresolved_unit_series,gap_indicator_series,coordinate_limited_series,withheld_series,categories
lrm_auctions,3083,10351,1784,3083,39,0,3083,0,0,0,apparently_valid_preliminary
economic_annex,2764,655866,16,70,232,30,69,48,0,248,apparently_valid_preliminary;insufficient_evidence;probable_duplicate_or_overlap;probable_identity_fragmentation;research_validated
insurance_annex,2050,34846,0,0,2,0,0,4,0,2,apparently_valid_preliminary;probable_identity_fragmentation
interbank_market,1346,81474,1075,1292,433,0,634,0,0,0,apparently_valid_preliminary
corporate_bond_curves,1287,116766,117,117,0,0,0,0,1287,0,apparently_valid_preliminary
financial_indicators,1050,158038,5,27,0,0,106,361,0,5,apparently_valid_preliminary;insufficient_evidence
exchange_houses,770,5048,336,770,0,0,0,0,0,0,apparently_valid_preliminary
payments,587,51830,4,17,76,0,145,59,0,78,apparently_valid_preliminary;insufficient_evidence;probable_identity_fragmentation
direct_investment,516,33109,0,0,0,0,0,2,0,0,apparently_valid_preliminary
credit_survey,312,15806,0,0,0,0,0,2,0,0,apparently_valid_preliminary
liquidity_facility,56,3652,35,50,24,0,0,0,0,0,apparently_valid_preliminary
exchange_rates,52,4340,0,2,14,0,0,12,0,14,apparently_valid_preliminary;probable_identity_fragmentation;research_validated
banking_indicators,39,4914,0,0,0,0,20,0,0,0,apparently_valid_preliminary
fx_operations,30,5450,0,0,0,30,0,0,30,0,probable_duplicate_or_overlap
eve,16,2760,0,0,0,0,0,0,16,0,apparently_valid_preliminary
bcp_fx_daily,12,40836,0,0,0,0,0,0,0,0,apparently_valid_preliminary
icc,12,1236,0,0,0,0,0,0,12,0,apparently_valid_preliminary
compensatory_fx_sales,3,417,0,0,0,0,0,0,0,0,apparently_valid_preliminary
