clave_publicada,entidad_clave,motivo,estado_revision
FINANCIERA EL COMERCIO,EL COMERCIO FINANCIERA,mismo nombre con otro orden de palabras (decisión R31),aprobado
FINANCIER RIO,FINANCIERA RIO,error tipográfico en la fuente («Financier») (decisión R32),aprobado
INTERFISA,GRUPO INTERNACIONAL DE FINANZAS,nombre corto de la misma razón social (sigla publicada entre paréntesis) (decisión R33),aprobado
BANCO BILBAO VISCAYA ARGENTARIA,BANCO BILBAO VIZCAYA ARGENTARIA,error tipográfico en la fuente («Viscaya») (decisión R34),aprobado
BANCO BILBAO VISCAYA ARGENTARIA PARAGUAY,BANCO BILBAO VIZCAYA ARGENTARIA,mismo banco; nombre con «Paraguay» (y «Viscaya») en el diseño clásico (decisión R35),aprobado
BANCO ITAU PARAGUAY,BANCO ITAU PARAGUAY,sin cambio (control) (decisión R36),aprobado
ITAU PARAGUAY,BANCO ITAU PARAGUAY,nombre sin «Banco» en tablas en mayúsculas (decisión R37),aprobado
FINEXPAR,FINANCIERA EXPORTADORA PARAGUAYA,sigla publicada entre paréntesis junto al nombre completo («… (FINEXPAR)») (decisión R38),aprobado
SOLAR,SOLAR AHORRO Y FINANZAS,misma entidad con nombre anterior («Solar S.A.»; decisión R27 en decisiones_revision.csv),aprobado
SOLAR DE AHORRO Y PRESTAMO PARA LA VIVIENDA,SOLAR AHORRO Y FINANZAS,misma entidad con nombre anterior (decisión R28 en decisiones_revision.csv),aprobado
SOLAR DE AHORA Y PRESTAMOS PARA LA VIVIENDA,SOLAR AHORRO Y FINANZAS,error tipográfico en la fuente («Ahora y Préstamos») del nombre anterior (decisión R29),aprobado
BANCO SUDAMERIS,SUDAMERIS BANK,nombre de Sudameris Bank en hojas del diseño clásico 2011–2012 (decisión R39),aprobado
