id,fecha_decision,revisor,objeto,clave,valor,decision,detalle,evidencia
R01,2026-09-24,"usuario (Juan Manuel Gonzalez Masulli), en el chat de Claude Code",vinculo_codigo,BANCO CONTINENTAL,bank:1020,aprobado,bancos: BANCO CONTINENTAL -> bank:1020 (Continental),"vinculo_codigos_sugerido.csv (continuidad del activo MN y ME, 2015-12 -> 2016-01)"
R02,2026-09-24,"usuario (Juan Manuel Gonzalez Masulli), en el chat de Claude Code",vinculo_codigo,BANCO ITAU PARAGUAY,bank:1017,aprobado,bancos: BANCO ITAU PARAGUAY -> bank:1017 (Itaú),"vinculo_codigos_sugerido.csv (continuidad del activo MN y ME, 2015-12 -> 2016-01)"
R03,2026-09-24,"usuario (Juan Manuel Gonzalez Masulli), en el chat de Claude Code",vinculo_codigo,BANCO REGIONAL,bank:1028,aprobado,bancos: BANCO REGIONAL -> bank:1028 (Regional),"vinculo_codigos_sugerido.csv (continuidad del activo MN y ME, 2015-12 -> 2016-01)"
R04,2026-09-24,"usuario (Juan Manuel Gonzalez Masulli), en el chat de Claude Code",vinculo_codigo,BANCO BILBAO VIZCAYA ARGENTARIA,bank:1007,aprobado,bancos: BANCO BILBAO VIZCAYA ARGENTARIA -> bank:1007 (GNB Fusión),"vinculo_codigos_sugerido.csv (continuidad del activo MN y ME, 2015-12 -> 2016-01)"
R05,2026-09-24,"usuario (Juan Manuel Gonzalez Masulli), en el chat de Claude Code",vinculo_codigo,BANCO NACIONAL DE FOMENTO,bank:1002,aprobado,bancos: BANCO NACIONAL DE FOMENTO -> bank:1002 (BNF),"vinculo_codigos_sugerido.csv (continuidad del activo MN y ME, 2015-12 -> 2016-01)"
R06,2026-09-24,"usuario (Juan Manuel Gonzalez Masulli), en el chat de Claude Code",vinculo_codigo,SUDAMERIS BANK,bank:1008,aprobado,bancos: SUDAMERIS BANK -> bank:1008 (Sudameris),"vinculo_codigos_sugerido.csv (continuidad del activo MN y ME, 2015-12 -> 2016-01)"
R07,2026-09-24,"usuario (Juan Manuel Gonzalez Masulli), en el chat de Claude Code",vinculo_codigo,VISION BANCO,bank:1039,aprobado,bancos: VISION BANCO -> bank:1039 (Visión),"vinculo_codigos_sugerido.csv (continuidad del activo MN y ME, 2015-12 -> 2016-01)"
R08,2026-09-24,"usuario (Juan Manuel Gonzalez Masulli), en el chat de Claude Code",vinculo_codigo,BANCO GNB PARAGUAY,bank:1004,aprobado,bancos: BANCO GNB PARAGUAY -> bank:1004 (GNB),"vinculo_codigos_sugerido.csv (continuidad del activo MN y ME, 2015-12 -> 2016-01)"
R09,2026-09-24,"usuario (Juan Manuel Gonzalez Masulli), en el chat de Claude Code",vinculo_codigo,BANCO ATLAS,bank:1042,aprobado,bancos: BANCO ATLAS -> bank:1042 (Atlas),"vinculo_codigos_sugerido.csv (continuidad del activo MN y ME, 2015-12 -> 2016-01)"
R10,2026-09-24,"usuario (Juan Manuel Gonzalez Masulli), en el chat de Claude Code",vinculo_codigo,BANCO AMAMBAY,bank:1030,aprobado,bancos: BANCO AMAMBAY -> bank:1030 (Basa),"vinculo_codigos_sugerido.csv (continuidad del activo MN y ME, 2015-12 -> 2016-01)"
R11,2026-09-24,"usuario (Juan Manuel Gonzalez Masulli), en el chat de Claude Code",vinculo_codigo,BANCO FAMILIAR,bank:1041,aprobado,bancos: BANCO FAMILIAR -> bank:1041 (Familiar),"vinculo_codigos_sugerido.csv (continuidad del activo MN y ME, 2015-12 -> 2016-01)"
R12,2026-09-24,"usuario (Juan Manuel Gonzalez Masulli), en el chat de Claude Code",vinculo_codigo,CITIBANK,bank:1006,aprobado,bancos: CITIBANK -> bank:1006 (Citibank),"vinculo_codigos_sugerido.csv (continuidad del activo MN y ME, 2015-12 -> 2016-01)"
R13,2026-09-24,"usuario (Juan Manuel Gonzalez Masulli), en el chat de Claude Code",vinculo_codigo,BANCO ITAPUA,bank:1040,aprobado,bancos: BANCO ITAPUA -> bank:1040 (Río),"vinculo_codigos_sugerido.csv (continuidad del activo MN y ME, 2015-12 -> 2016-01)"
R14,2026-09-24,"usuario (Juan Manuel Gonzalez Masulli), en el chat de Claude Code",vinculo_codigo,GRUPO INTERNACIONAL DE FINANZAS,bank:1044,aprobado,bancos: GRUPO INTERNACIONAL DE FINANZAS -> bank:1044 (Interfisa),"vinculo_codigos_sugerido.csv (continuidad del activo MN y ME, 2015-12 -> 2016-01)"
R15,2026-09-24,"usuario (Juan Manuel Gonzalez Masulli), en el chat de Claude Code",vinculo_codigo,BANCOP,bank:1043,aprobado,bancos: BANCOP -> bank:1043 (Bancop),"vinculo_codigos_sugerido.csv (continuidad del activo MN y ME, 2015-12 -> 2016-01)"
R16,2026-09-24,"usuario (Juan Manuel Gonzalez Masulli), en el chat de Claude Code",vinculo_codigo,BANCO DO BRASIL,bank:1005,aprobado,bancos: BANCO DO BRASIL -> bank:1005 (Do Brasil),"vinculo_codigos_sugerido.csv (continuidad del activo MN y ME, 2015-12 -> 2016-01)"
R17,2026-09-24,"usuario (Juan Manuel Gonzalez Masulli), en el chat de Claude Code",vinculo_codigo,BANCO DE LA NACION ARGENTINA,bank:1003,aprobado,bancos: BANCO DE LA NACION ARGENTINA -> bank:1003 (BNA),"vinculo_codigos_sugerido.csv (continuidad del activo MN y ME, 2015-12 -> 2016-01)"
R18,2026-09-24,"usuario (Juan Manuel Gonzalez Masulli), en el chat de Claude Code",vinculo_codigo,EL COMERCIO FINANCIERA,finance_company:2007,aprobado,financieras: EL COMERCIO FINANCIERA -> finance_company:2007 (UENO),"vinculo_codigos_sugerido.csv (continuidad del activo MN y ME, 2015-12 -> 2016-01)"
R19,2026-09-24,"usuario (Juan Manuel Gonzalez Masulli), en el chat de Claude Code",vinculo_codigo,SOLAR AHORRO Y FINANZAS,finance_company:2081,aprobado,financieras: SOLAR AHORRO Y FINANZAS -> finance_company:2081 (Solar),"vinculo_codigos_sugerido.csv (continuidad del activo MN y ME, 2015-12 -> 2016-01)"
R20,2026-09-24,"usuario (Juan Manuel Gonzalez Masulli), en el chat de Claude Code",vinculo_codigo,FINANCIERA RIO,finance_company:2077,aprobado,financieras: FINANCIERA RIO -> finance_company:2077 (Río),"vinculo_codigos_sugerido.csv (continuidad del activo MN y ME, 2015-12 -> 2016-01)"
R21,2026-09-24,"usuario (Juan Manuel Gonzalez Masulli), en el chat de Claude Code",vinculo_codigo,FINANCIERA EXPORTADORA PARAGUAYA,finance_company:2036,aprobado,financieras: FINANCIERA EXPORTADORA PARAGUAYA -> finance_company:2036 (Finexpar),"vinculo_codigos_sugerido.csv (continuidad del activo MN y ME, 2015-12 -> 2016-01)"
R22,2026-09-24,"usuario (Juan Manuel Gonzalez Masulli), en el chat de Claude Code",vinculo_codigo,CRISOL Y ENCARNACION FINANCIERA,finance_company:2037,aprobado,financieras: CRISOL Y ENCARNACION FINANCIERA -> finance_company:2037 (Cefisa),"vinculo_codigos_sugerido.csv (continuidad del activo MN y ME, 2015-12 -> 2016-01)"
R23,2026-09-24,"usuario (Juan Manuel Gonzalez Masulli), en el chat de Claude Code",vinculo_codigo,FINANCIERA PARAGUAYO JAPONESA,finance_company:2013,aprobado,financieras: FINANCIERA PARAGUAYO JAPONESA -> finance_company:2013 (FPJ),"vinculo_codigos_sugerido.csv (continuidad del activo MN y ME, 2015-12 -> 2016-01)"
R24,2026-09-24,"usuario (Juan Manuel Gonzalez Masulli), en el chat de Claude Code",vinculo_codigo,TU FINANCIERA,finance_company:2078,aprobado,financieras: TU FINANCIERA -> finance_company:2078 (Tu Financiera),"vinculo_codigos_sugerido.csv (continuidad del activo MN y ME, 2015-12 -> 2016-01)"
R25,2026-09-24,"usuario (Juan Manuel Gonzalez Masulli), en el chat de Claude Code",vinculo_codigo,FINLATINA DE FINANZAS,finance_company:2071,aprobado,financieras: FINLATINA DE FINANZAS -> finance_company:2071 (Finlatina),"vinculo_codigos_sugerido.csv (continuidad del activo MN y ME, 2015-12 -> 2016-01)"
R26,2026-09-24,"usuario (Juan Manuel Gonzalez Masulli), en el chat de Claude Code",vinculo_codigo,FIC DE FINANZAS,finance_company:2080,aprobado,financieras: FIC DE FINANZAS -> finance_company:2080 (FIC),"vinculo_codigos_sugerido.csv (continuidad del activo MN y ME, 2015-12 -> 2016-01)"
R27,2026-09-24,"usuario (Juan Manuel Gonzalez Masulli), en el chat de Claude Code",alias_entidad,SOLAR,SOLAR AHORRO Y FINANZAS,aprobado,"Solar S.A. (2011-01 a 2013-10): misma entidad, nombre anterior",extraidos/diccionario_entidades.csv; README § 5 (tres nombres superpuestos de Solar)
R28,2026-09-24,"usuario (Juan Manuel Gonzalez Masulli), en el chat de Claude Code",alias_entidad,SOLAR DE AHORRO Y PRESTAMO PARA LA VIVIENDA,SOLAR AHORRO Y FINANZAS,aprobado,"Solar S.A. de Ahorro y Préstamo para la Vivienda (2012-09 a 2015-03): misma entidad, nombre anterior",extraidos/diccionario_entidades.csv; README § 5 (tres nombres superpuestos de Solar)
R29,2026-09-24,"usuario (Juan Manuel Gonzalez Masulli), en el chat de Claude Code",alias_entidad,SOLAR DE AHORA Y PRESTAMOS PARA LA VIVIENDA,SOLAR AHORRO Y FINANZAS,aprobado,"variante con error tipográfico de la fuente («Ahora y Préstamos», 8 celdas, boletines 2013-10 y 2013-11) del nombre anterior",extraidos/diccionario_entidades.csv; README § 5 (tres nombres superpuestos de Solar)
R30,2026-09-24,"usuario (Juan Manuel Gonzalez Masulli), en el chat de Claude Code",hito,H03,2011-10,aprobado,"Atlas/Integración: fecha efectiva según la SIB (octubre de 2011); la tabla del usuario dice 2010, que queda como publicada en hitos_usuario.csv",nota de los boletines «(*) Entidad fusionada con Banco Atlas S.A. a partir de octubre/2011»; Integración reporta balance hasta 2011-09 (extraidos/hitos_evidencia.csv)
R31,2026-09-24,"usuario (Juan Manuel Gonzalez Masulli), en el chat de Claude Code",alias_entidad,FINANCIERA EL COMERCIO,EL COMERCIO FINANCIERA,aprobado,mismo nombre con otro orden de palabras,ningún alias aparece junto a su nombre canónico en la misma hoja (2011–2015); extraidos/diccionario_entidades.csv
R32,2026-09-24,"usuario (Juan Manuel Gonzalez Masulli), en el chat de Claude Code",alias_entidad,FINANCIER RIO,FINANCIERA RIO,aprobado,error tipográfico en la fuente («Financier»),ningún alias aparece junto a su nombre canónico en la misma hoja (2011–2015); extraidos/diccionario_entidades.csv
R33,2026-09-24,"usuario (Juan Manuel Gonzalez Masulli), en el chat de Claude Code",alias_entidad,INTERFISA,GRUPO INTERNACIONAL DE FINANZAS,aprobado,nombre corto de la misma razón social (sigla publicada entre paréntesis),ningún alias aparece junto a su nombre canónico en la misma hoja (2011–2015); extraidos/diccionario_entidades.csv
R34,2026-09-24,"usuario (Juan Manuel Gonzalez Masulli), en el chat de Claude Code",alias_entidad,BANCO BILBAO VISCAYA ARGENTARIA,BANCO BILBAO VIZCAYA ARGENTARIA,aprobado,error tipográfico en la fuente («Viscaya»),ningún alias aparece junto a su nombre canónico en la misma hoja (2011–2015); extraidos/diccionario_entidades.csv
R35,2026-09-24,"usuario (Juan Manuel Gonzalez Masulli), en el chat de Claude Code",alias_entidad,BANCO BILBAO VISCAYA ARGENTARIA PARAGUAY,BANCO BILBAO VIZCAYA ARGENTARIA,aprobado,mismo banco; nombre con «Paraguay» (y «Viscaya») en el diseño clásico,ningún alias aparece junto a su nombre canónico en la misma hoja (2011–2015); extraidos/diccionario_entidades.csv
R36,2026-09-24,"usuario (Juan Manuel Gonzalez Masulli), en el chat de Claude Code",alias_entidad,BANCO ITAU PARAGUAY,BANCO ITAU PARAGUAY,aprobado,sin cambio (control),ningún alias aparece junto a su nombre canónico en la misma hoja (2011–2015); extraidos/diccionario_entidades.csv
R37,2026-09-24,"usuario (Juan Manuel Gonzalez Masulli), en el chat de Claude Code",alias_entidad,ITAU PARAGUAY,BANCO ITAU PARAGUAY,aprobado,nombre sin «Banco» en tablas en mayúsculas,ningún alias aparece junto a su nombre canónico en la misma hoja (2011–2015); extraidos/diccionario_entidades.csv
R38,2026-09-24,"usuario (Juan Manuel Gonzalez Masulli), en el chat de Claude Code",alias_entidad,FINEXPAR,FINANCIERA EXPORTADORA PARAGUAYA,aprobado,sigla publicada entre paréntesis junto al nombre completo («… (FINEXPAR)»),ningún alias aparece junto a su nombre canónico en la misma hoja (2011–2015); extraidos/diccionario_entidades.csv
