archivo,sha256,tipo,diseno,fecha_corte,version,hoja,leidas,numericas,texto
BOLB 012011.xls,288e0d39845860e69580e74d129481a6e416e890907474f7819fa4401d2a9a95,bancos,clasico,2011-01-31,unica,SUC - BAN,145,104,41
BOLB 012011.xls,288e0d39845860e69580e74d129481a6e416e890907474f7819fa4401d2a9a95,bancos,clasico,2011-01-31,unica,PAG10,307,256,51
BOLB 012011.xls,288e0d39845860e69580e74d129481a6e416e890907474f7819fa4401d2a9a95,bancos,clasico,2011-01-31,unica,GRAFICOS,94,68,26
BOLB 012011.xls,288e0d39845860e69580e74d129481a6e416e890907474f7819fa4401d2a9a95,bancos,clasico,2011-01-31,unica,TORTAS1,62,40,22
BOLB 012011.xls,288e0d39845860e69580e74d129481a6e416e890907474f7819fa4401d2a9a95,bancos,clasico,2011-01-31,unica,PAG12,430,346,84
BOLB 012011.xls,288e0d39845860e69580e74d129481a6e416e890907474f7819fa4401d2a9a95,bancos,clasico,2011-01-31,unica,PAG13,257,192,65
BOLB 012011.xls,288e0d39845860e69580e74d129481a6e416e890907474f7819fa4401d2a9a95,bancos,clasico,2011-01-31,unica,PAG14,468,370,98
BOLB 012011.xls,288e0d39845860e69580e74d129481a6e416e890907474f7819fa4401d2a9a95,bancos,clasico,2011-01-31,unica,PAG14 (2),231,170,61
BOLB 012011.xls,288e0d39845860e69580e74d129481a6e416e890907474f7819fa4401d2a9a95,bancos,clasico,2011-01-31,unica,DEPOSITOS,197,116,81
BOLB 012011.xls,288e0d39845860e69580e74d129481a6e416e890907474f7819fa4401d2a9a95,bancos,clasico,2011-01-31,unica,EVOL DEP,416,355,61
BOLB 012011.xls,288e0d39845860e69580e74d129481a6e416e890907474f7819fa4401d2a9a95,bancos,clasico,2011-01-31,unica,Dep. Gráficos,21,20,1
BOLB 012011.xls,288e0d39845860e69580e74d129481a6e416e890907474f7819fa4401d2a9a95,bancos,clasico,2011-01-31,unica,DEPOSITOS GRAFICOS,83,53,30
BOLB 012011.xls,288e0d39845860e69580e74d129481a6e416e890907474f7819fa4401d2a9a95,bancos,clasico,2011-01-31,unica,PAG15,434,346,88
BOLB 012011.xls,288e0d39845860e69580e74d129481a6e416e890907474f7819fa4401d2a9a95,bancos,clasico,2011-01-31,unica,PAG16,227,171,56
BOLB 012011.xls,288e0d39845860e69580e74d129481a6e416e890907474f7819fa4401d2a9a95,bancos,clasico,2011-01-31,unica,PAG17,255,192,63
BOLB 012011.xls,288e0d39845860e69580e74d129481a6e416e890907474f7819fa4401d2a9a95,bancos,clasico,2011-01-31,unica,PAG17 (2),549,500,49
BOLB 012011.xls,288e0d39845860e69580e74d129481a6e416e890907474f7819fa4401d2a9a95,bancos,clasico,2011-01-31,unica,PAG18,308,236,72
BOLB 012011.xls,288e0d39845860e69580e74d129481a6e416e890907474f7819fa4401d2a9a95,bancos,clasico,2011-01-31,unica,PAG19,842,661,181
BOLB 012011.xls,288e0d39845860e69580e74d129481a6e416e890907474f7819fa4401d2a9a95,bancos,clasico,2011-01-31,unica,MOROSIDAD,350,269,81
BOLB 012011.xls,288e0d39845860e69580e74d129481a6e416e890907474f7819fa4401d2a9a95,bancos,clasico,2011-01-31,unica,MOROSIDAD MN,287,224,63
BOLB 012011.xls,288e0d39845860e69580e74d129481a6e416e890907474f7819fa4401d2a9a95,bancos,clasico,2011-01-31,unica,MOROSIDAD ME,287,224,63
BOLB 012011.xls,288e0d39845860e69580e74d129481a6e416e890907474f7819fa4401d2a9a95,bancos,clasico,2011-01-31,unica,EVOL CRÉD,416,345,71
