tipo,diseno,hoja,celdas,asignadas,sin_entidad
bancos,clasico,1,520,440,80
bancos,clasico,10,1708,1504,204
bancos,clasico,11,140,0,140
bancos,clasico,12,231,0,231
bancos,clasico,13,1730,1650,80
bancos,clasico,14,855,773,82
bancos,clasico,15,960,880,80
bancos,clasico,16,2016,1210,806
bancos,clasico,17,1180,1100,80
bancos,clasico,18,3247,2605,642
bancos,clasico,19,1252,1151,101
bancos,clasico,2,1280,1200,80
bancos,clasico,20,868,770,98
bancos,clasico,21,870,770,100
bancos,clasico,22,1639,1434,205
bancos,clasico,23,1679,1474,205
bancos,clasico,24,1679,1474,205
bancos,clasico,25,1640,1435,205
bancos,clasico,26,1461,1301,160
bancos,clasico,27,1461,1301,160
bancos,clasico,28,130,0,130
bancos,clasico,29,1562,990,572
bancos,clasico,3,340,320,20
bancos,clasico,30,1728,990,738
bancos,clasico,31,2110,1100,1010
bancos,clasico,32,1840,1100,740
bancos,clasico,33,1642,1391,251
bancos,clasico,34,1747,1493,254
bancos,clasico,35,1747,1493,254
bancos,clasico,36,1747,1493,254
bancos,clasico,37,1668,1391,277
bancos,clasico,38,52,0,52
bancos,clasico,39,80,0,80
bancos,clasico,4,200,0,200
bancos,clasico,40,80,0,80
bancos,clasico,5,1730,1650,80
bancos,clasico,6,960,880,80
bancos,clasico,7,1755,1650,105
bancos,clasico,8,852,770,82
bancos,clasico,9,580,300,280
bancos,clasico,Auditores Externos,432,0,432
bancos,clasico,CART-ACTIV,12301,6730,5571
bancos,clasico,CART-ACTIV Part,12057,6730,5327
bancos,clasico,CART-CLASIS,9624,5528,4096
bancos,clasico,CART-CLASIS Part,9662,5535,4127
bancos,clasico,Calificadoras Bancos,426,0,426
bancos,clasico,Carátula,1,0,1
bancos,clasico,DEPOSITOS,3596,1860,1736
bancos,clasico,DEPOSITOS GRAFICOS,1437,0,1437
bancos,clasico,Dep. Gráficos,665,0,665
bancos,clasico,Dep. Gráficos 2,167,0,167
bancos,clasico,EVOL ACTIV ALGODÓN,9828,8262,1566
bancos,clasico,EVOL ACTIV CONSTRUCCIONES,10001,8436,1565
bancos,clasico,EVOL ACTIV SOJA,9983,8418,1565
