entidad_publicada,entidad_clave,es_agregado,metodo_clave,celdas,meses,primer_mes,ultimo_mes,tipos
Agrofinanciera Chaco S.A.,AGROFINANCIERA CHACO,FALSE,normalizacion_automatica,49,1,2011-01,2011-01,financieras
10- Ara S.A. de Finanzas,ARA DE FINANZAS,FALSE,normalizacion_automatica,3875,40,2012-09,2015-12,financieras
ARA SA DE FINANZAS,ARA DE FINANZAS,FALSE,normalizacion_automatica,102,6,2012-03,2012-11,financieras
Ara S.A. de Finanzas,ARA DE FINANZAS,FALSE,normalizacion_automatica,15090,37,2012-03,2015-03,financieras
Ara SA de Finanzas,ARA DE FINANZAS,FALSE,normalizacion_automatica,235,22,2012-03,2013-12,financieras
Ara s.A. de Finanzas,ARA DE FINANZAS,FALSE,normalizacion_automatica,8,2,2013-10,2013-11,financieras
Banco ABN AMRO Paraguay S.A.,BANCO ABN AMRO PARAGUAY,FALSE,normalizacion_automatica,9,9,2012-09,2013-11,bancos
BANCO AMAMBAY S.A.,BANCO AMAMBAY,FALSE,normalizacion_automatica,358,13,2011-11,2012-11,bancos
Banco Amambay S.A.,BANCO AMAMBAY,FALSE,normalizacion_automatica,29027,60,2011-01,2015-12,"bancos,financieras"
BANCO ATLAS S.A.,BANCO ATLAS,FALSE,normalizacion_automatica,358,13,2011-11,2012-11,bancos
Banco  Atlas S.A.,BANCO ATLAS,FALSE,normalizacion_automatica,122,24,2011-03,2013-11,"bancos,financieras"
Banco Atlas S.A.,BANCO ATLAS,FALSE,normalizacion_automatica,28202,60,2011-01,2015-12,bancos
Banco Bilbao Viscaya Argentaria Paraguay S.A.,BANCO BILBAO VIZCAYA ARGENTARIA,FALSE,alias_revisable,12600,36,2011-01,2013-12,"bancos,financieras"
Banco Bilbao Viscaya Argentaria S.A.,BANCO BILBAO VIZCAYA ARGENTARIA,FALSE,alias_revisable,16048,39,2012-09,2015-11,bancos
Banco Bilbao Vizcaya Argentaria S.A.,BANCO BILBAO VIZCAYA ARGENTARIA,FALSE,normalizacion_automatica,640,13,2014-12,2015-12,bancos
Banco Continental S.A.E.C.A.,BANCO CONTINENTAL,FALSE,normalizacion_automatica,29079,60,2011-01,2015-12,"bancos,financieras"
BANCO DE LA NACION ARGENTINA,BANCO DE LA NACION ARGENTINA,FALSE,normalizacion_automatica,124,10,2011-11,2012-11,bancos
Banco de la Nación Argentina,BANCO DE LA NACION ARGENTINA,FALSE,normalizacion_automatica,28580,60,2011-01,2015-12,"bancos,financieras"
BANCO DO BRASIL S.A.,BANCO DO BRASIL,FALSE,normalizacion_automatica,124,10,2011-11,2012-11,bancos
Banco Do Brasil S.A.,BANCO DO BRASIL,FALSE,normalizacion_automatica,28457,60,2011-01,2015-12,"bancos,financieras"
BANCO FAMILIAR S.A.E.C.A.,BANCO FAMILIAR,FALSE,normalizacion_automatica,358,13,2011-11,2012-11,bancos
Banco Familiar S.A.E.C.A.,BANCO FAMILIAR,FALSE,normalizacion_automatica,28989,60,2011-01,2015-12,"bancos,financieras"
Banco GNB Paraguay S.A.,BANCO GNB PARAGUAY,FALSE,normalizacion_automatica,15266,36,2013-01,2015-12,bancos
BANCO INTEGRACION,BANCO INTEGRACION,FALSE,normalizacion_automatica,80,8,2011-11,2012-06,bancos
Banco Integración S.A.,BANCO INTEGRACION,FALSE,normalizacion_automatica,3140,28,2011-01,2013-11,"bancos,financieras"
Banco Integración S.A. (*),BANCO INTEGRACION,FALSE,normalizacion_automatica,975,12,2011-10,2012-09,bancos
Banco Integración S.A.(*),BANCO INTEGRACION,FALSE,normalizacion_automatica,440,12,2011-10,2012-09,bancos
BANCO ITAPUA S.A.E.C.A.,BANCO ITAPUA,FALSE,normalizacion_automatica,353,13,2011-11,2012-11,bancos
Banco Itapúa S.A.E.C.A.,BANCO ITAPUA,FALSE,normalizacion_automatica,28989,60,2011-01,2015-12,"bancos,financieras"
Banco Itau Paraguay S.A.,BANCO ITAU PARAGUAY,FALSE,alias_revisable,144,36,2011-01,2013-12,bancos
Banco Itaú Paraguay S.A.,BANCO ITAU PARAGUAY,FALSE,alias_revisable,28735,60,2011-01,2015-12,bancos
ITAU PARAGUAY S.A.,BANCO ITAU PARAGUAY,FALSE,alias_revisable,358,13,2011-11,2012-11,bancos
Banco Nacional de Fomento,BANCO NACIONAL DE FOMENTO,FALSE,normalizacion_automatica,29159,60,2011-01,2015-12,"bancos,financieras"
BANCO REGIONAL,BANCO REGIONAL,FALSE,normalizacion_automatica,358,13,2011-11,2012-11,bancos
Banco Regional S.A.,BANCO REGIONAL,FALSE,normalizacion_automatica,152,28,2011-01,2013-11,"bancos,financieras"
Banco Regional S.A.E.C.A,BANCO REGIONAL,FALSE,normalizacion_automatica,12213,36,2011-01,2013-12,bancos
Banco Regional S.A.E.C.A.,BANCO REGIONAL,FALSE,normalizacion_automatica,16688,40,2012-09,2015-12,bancos
BANCOP S.A.,BANCOP,FALSE,normalizacion_automatica,90,4,2012-08,2012-11,bancos
Bancop,BANCOP,FALSE,normalizacion_automatica,8,8,2013-03,2013-11,bancos
Bancop S.A.,BANCOP,FALSE,normalizacion_automatica,23016,42,2012-07,2015-12,bancos
Bonanza Cambios S.A.,BONANZA CAMBIOS,FALSE,normalizacion_automatica,5813,60,2011-01,2015-12,casas_cambio
BRIOS S.A. DE FINANZAS,BRIOS DE FINANZAS,FALSE,normalizacion_automatica,336,13,2011-11,2012-11,financieras
Brios S.A. de Finanzas,BRIOS DE FINANZAS,FALSE,normalizacion_automatica,4341,17,2011-01,2012-05,financieras
Bríos S.A. de Finanzas,BRIOS DE FINANZAS,FALSE,normalizacion_automatica,2148,14,2012-03,2013-04,financieras
