archivo,hoja,fila,entidad_clave,ME,MN,TOTAL,dif
1_BOLB_032014_set.xls,2,16,BANCO BILBAO VIZCAYA ARGENTARIA,41081.027051,36514.212504,77593.48662,-1.75293500001135
1_BOLB_032014_set.xls,2,16,PROPIEDAD EXTRANJERA MAYORITARIAS,82997.915308,128514.612806,211510.775179,-1.7529349999968
1_BOLB_032014_set.xls,2,16,SISTEMA,251209.13599673,448544.11704711,699751.50010784,-1.752935999888
1_BOLB_032014_set.xls,2,16,TOTAL BANCOS PRIVADOS,250265.62264673,430918.23039811,681182.10010884,-1.75293600000441
1_BOLB_032014_set.xls,2,19,BANCO BILBAO VIZCAYA ARGENTARIA,0,1.752935,0,-1.752935
1_BOLB_032014_set.xls,2,19,PROPIEDAD EXTRANJERA MAYORITARIAS,0,1.752935,0,-1.752935
1_BOLB_032014_set.xls,2,19,SISTEMA,0,1.752936,0,-1.752936
1_BOLB_032014_set.xls,2,19,TOTAL BANCOS PRIVADOS,0,1.752936,0,-1.752936
2_BOLF 092013_N(1).xls,1,58,ARA DE FINANZAS,388.953172,1133.07001,1133.07001,-388.953172
2_BOLF 092013_N(1).xls,1,58,CON PARTICIPACION DEL FONDO GANADERO,236695.8819265,87325.28862,317878.07642589,-6143.09412061004
2_BOLF 092013_N(1).xls,1,58,CRISOL Y ENCARNACION FINANCIERA,43509.984364,11580.873021,11580.873021,-43509.984364
2_BOLF 092013_N(1).xls,1,58,EL COMERCIO FINANCIERA,67099.812068,25866.203621,25866.203621,-67099.812068
2_BOLF 092013_N(1).xls,1,58,FINANCIERA EXPORTADORA PARAGUAYA,34328.93,0,0,-34328.93
2_BOLF 092013_N(1).xls,1,58,FINANCIERA PARAGUAYO JAPONESA,16423.17328,0,0,-16423.17328
2_BOLF 092013_N(1).xls,1,58,FINANCIERA RIO,20184.345,0,0,-20184.345
2_BOLF 092013_N(1).xls,1,58,FINLATINA DE FINANZAS,6960.832459,750,750,-6960.832459
2_BOLF 092013_N(1).xls,1,58,FONDO GANADERO,6143.09412061,21589.585278,21589.585278,-6143.09412061
2_BOLF 092013_N(1).xls,1,58,GRUPO INTERNACIONAL DE FINANZAS,25402.69448689,16783.008329,16783.008329,-25402.69448689
2_BOLF 092013_N(1).xls,1,58,SOLAR AHORRO Y FINANZAS,16254.062976,4824.798754,4824.798754,-16254.062976
2_BOLF102013_N.xls,1,58,ARA DE FINANZAS,357.676258,1249.816612,1249.816612,-357.676258
2_BOLF102013_N.xls,1,58,CON PARTICIPACION DEL FONDO GANADERO,253498.3405019,90089.627539,337458.70660239,-6129.26143850997
2_BOLF102013_N.xls,1,58,CRISOL Y ENCARNACION FINANCIERA,46325.561848,9492.709132,9492.709132,-46325.561848
2_BOLF102013_N.xls,1,58,EL COMERCIO FINANCIERA,66838.27772,25896.095648,25896.095648,-66838.27772
2_BOLF102013_N.xls,1,58,FINANCIERA EXPORTADORA PARAGUAYA,43113.63,0,0,-43113.63
2_BOLF102013_N.xls,1,58,FINANCIERA PARAGUAYO JAPONESA,15468.00066,0,0,-15468.00066
2_BOLF102013_N.xls,1,58,FINANCIERA RIO,19917.345,0,0,-19917.345
2_BOLF102013_N.xls,1,58,FINLATINA DE FINANZAS,7741.919014,2500,2500,-7741.919014
2_BOLF102013_N.xls,1,58,FONDO GANADERO,6129.26143851,20724.746211,20724.746211,-6129.26143851
2_BOLF102013_N.xls,1,58,GRUPO INTERNACIONAL DE FINANZAS,35805.43410339,15769.34586,15769.34586,-35805.43410339
2_BOLF102013_N.xls,1,58,SOLAR AHORRO Y FINANZAS,11801.23446,7821.129358,7821.129358,-11801.23446
2_BOLF112013_N.xls,1,58,ARA DE FINANZAS,326.193759,3659.431092,3659.431092,-326.193759
2_BOLF112013_N.xls,1,58,CON PARTICIPACION DEL FONDO GANADERO,272015.0554554,101240.082541,367139.70923999,-6115.42875641002
2_BOLF112013_N.xls,1,58,CRISOL Y ENCARNACION FINANCIERA,47707.043804,9606.825586,9606.825586,-47707.043804
2_BOLF112013_N.xls,1,58,EL COMERCIO FINANCIERA,77207.125218,25549.806105,25549.806105,-77207.125218
2_BOLF112013_N.xls,1,58,FINANCIERA EXPORTADORA PARAGUAYA,49073.1,0,0,-49073.1
2_BOLF112013_N.xls,1,58,FINANCIERA PARAGUAYO JAPONESA,17385.653236,0,0,-17385.653236
2_BOLF112013_N.xls,1,58,FINANCIERA RIO,19231.35,0,0,-19231.35
2_BOLF112013_N.xls,1,58,FINLATINA DE FINANZAS,7171.712822,6250,6250,-7171.712822
2_BOLF112013_N.xls,1,58,FONDO GANADERO,6115.42875641,20328.106836,20328.106836,-6115.42875641
2_BOLF112013_N.xls,1,58,GRUPO INTERNACIONAL DE FINANZAS,34792.33358799,16288.756313,16288.756313,-34792.33358799
2_BOLF112013_N.xls,1,58,SOLAR AHORRO Y FINANZAS,13005.114272,13170.420521,13170.420521,-13005.114272
2_BOLF112013_N.xls,2,19,FINANCIERA EXPORTADORA PARAGUAYA,0,6.195,0,-6.195
2_BOLF_012014_oct.xls,1,58,ARA DE FINANZAS,279.683725,884.393667,884.393667,-279.683725
2_BOLF_012014_oct.xls,1,58,CON PARTICIPACION DEL FONDO GANADERO,306963.84365195,101299.363119,401782.5952071,-6480.61156384996
2_BOLF_012014_oct.xls,1,58,CRISOL Y ENCARNACION FINANCIERA,61194.567763,9642.397197,9642.397197,-61194.567763
2_BOLF_012014_oct.xls,1,58,EL COMERCIO FINANCIERA,82833.336084,23914.721609,23914.721609,-82833.336084
2_BOLF_012014_oct.xls,1,58,FINANCIERA EXPORTADORA PARAGUAYA,57082.04,6406.377381,6406.377381,-57082.04
2_BOLF_012014_oct.xls,1,58,FINANCIERA PARAGUAYO JAPONESA,22311.99392,0,0,-22311.99392
