archivo,hoja,tipo,diseno,fila,concepto,seccion,suma,n,sistema,eje,columna,es_monto,rel
1_BOLB 022015.xls,5,bancos,nuevo,31,Ganadería | -- | --,OTROS,5736734.453546,12,6532775.315824,entidad_en_columna,,TRUE,-0.121853396725553
1_BOLB 022015.xls,5,bancos,nuevo,33,Comercio al por Mayor | --,OTROS,1324024.815352,5,9509829.531985,entidad_en_columna,,TRUE,-0.860773023228353
1_BOLB 112015.xls,5,bancos,nuevo,30,Agricultura | --,OTROS,16228910.453849,12,18069350.224245,entidad_en_columna,,TRUE,-0.101854230924505
1_BOLB 112015.xls,5,bancos,nuevo,31,Ganadería | -- | --,OTROS,6572033.205688,12,7435623.091735,entidad_en_columna,,TRUE,-0.116142235209167
1_BOLB_ 112013.xls,10,bancos,clasico,,,,96271259.5537866,32,44143679.1420021,entidad_en_fila,3,TRUE,1.18086170942163
1_BOLB_ 112013.xls,10,bancos,clasico,,,,47501486.5604177,19,46041719.3513197,entidad_en_fila,6,TRUE,0.0317053148680069
1_BOLB_ 112013.xls,10,bancos,clasico,,,,47399483.0851054,19,46958245.2205181,entidad_en_fila,7,TRUE,0.00939638741855255
1_BOLB_ 112013.xls,30,bancos,clasico,,,,13.6279585595465,16,0.844063987650384,entidad_en_fila,3,TRUE,12.7838945718961
1_BOLB_ 112013.xls,30,bancos,clasico,,,,1.5625749288846,16,0.0991639162820581,entidad_en_fila,4,TRUE,1.46341101260254
1_BOLB_ 112013.xls,30,bancos,clasico,,,,0.217206005460695,16,0.014344593677385,entidad_en_fila,5,TRUE,0.20286141178331
1_BOLB_ 112013.xls,30,bancos,clasico,,,,0.251477067588887,16,0.0162496456053345,entidad_en_fila,6,TRUE,0.235227421983552
1_BOLB_ 112013.xls,30,bancos,clasico,,,,0.0882997181308586,16,0.00726859485271705,entidad_en_fila,7,TRUE,0.0810311232781415
1_BOLB_ 112013.xls,30,bancos,clasico,,,,0.0409257921607145,16,0.00369819806775277,entidad_en_fila,8,TRUE,0.0372275940929617
1_BOLB_ 112013.xls,30,bancos,clasico,,,,0.0503317870276207,16,0.00358870359712363,entidad_en_fila,9,TRUE,0.0467430834304971
1_BOLB_ 112013.xls,30,bancos,clasico,,,,0.161226141200127,16,0.0116223602672453,entidad_en_fila,10,TRUE,0.149603780932882
1_BOLB_ 112013.xls,30,bancos,clasico,,,,16,16,1,entidad_en_fila,11,TRUE,15
1_BOLB_ 112013.xls,32,bancos,clasico,,Agricultura,,3.35958301944169,16,0.242900447951589,entidad_en_fila,3,TRUE,3.1166825714901
1_BOLB_ 112013.xls,32,bancos,clasico,,Ganadería,,1.55077647279066,16,0.1152117418272,entidad_en_fila,4,TRUE,1.43556473096346
1_BOLB_ 112013.xls,32,bancos,clasico,,Industria,,1.67374285102763,16,0.107692879467319,entidad_en_fila,5,TRUE,1.56604997156031
1_BOLB_ 112013.xls,32,bancos,clasico,,Comercio > Por Mayor,,2.60735702808666,16,0.136315255810431,entidad_en_fila,6,TRUE,2.47104177227623
1_BOLB_ 112013.xls,32,bancos,clasico,,Comercio > Por Menor,,1.56051903780596,16,0.0834580059531394,entidad_en_fila,7,TRUE,1.47706103185282
1_BOLB_ 112013.xls,32,bancos,clasico,,Comercio > Servicio,,1.06423613008804,16,0.0811885825478849,entidad_en_fila,8,TRUE,0.983047547540159
1_BOLB_ 112013.xls,32,bancos,clasico,,Comercio > Consumo,,2.29570021211701,16,0.157470331298201,entidad_en_fila,9,TRUE,2.13822988081881
1_BOLB_ 112013.xls,32,bancos,clasico,,Comercio > Exportación,,0.107071542336041,16,0.00900319385775996,entidad_en_fila,10,TRUE,0.0980683484782807
1_BOLB_ 112013.xls,32,bancos,clasico,,Sector > Financiero,,1.78101370630631,16,0.0667595612864765,entidad_en_fila,11,TRUE,1.71425414501983
1_BOLB_ 112013.xls,32,bancos,clasico,,TOTAL > Financiero,,16,16,1,entidad_en_fila,12,TRUE,15
1_BOLB_ 112013.xls,34,bancos,clasico,,,,36450654.9603979,32,23491.151907,entidad_en_fila,3,TRUE,1550.67592907763
1_BOLB_ 112013.xls,34,bancos,clasico,,,,2198701.925484,20,18033.30885,entidad_en_fila,6,TRUE,120.924486724687
1_BOLB_ 112013.xls,34,bancos,clasico,,,,688837.24737007,20,28855.539645,entidad_en_fila,7,TRUE,22.8719239301917
