tipo,periodo,entidad_clave,clasico,nuevo,rel
bancos,2013-09,BANCO AMAMBAY,1868549.73915,1868549.73915,0
bancos,2013-09,BANCO ATLAS,2538394.434463,2538394.434463,-1.8344717471233e-16
bancos,2013-09,BANCO BILBAO VIZCAYA ARGENTARIA,7704311.19423,7704311.19423,0
bancos,2013-09,BANCO CONTINENTAL,12081212.228202,12081212.228202,-1.54177007575685e-16
bancos,2013-09,BANCO DE LA NACION ARGENTINA,434231.35391778,434231.35391778,0
bancos,2013-09,BANCO DO BRASIL,1432515.006405,1432515.006405,0
bancos,2013-09,BANCO FAMILIAR,2428411.718996,2428411.718996,0
bancos,2013-09,BANCO ITAPUA,1125073.27308678,1125073.27308678,-2.06947093334703e-16
bancos,2013-09,BANCO ITAU PARAGUAY,12200915.275398,12200915.275398,-4.57993135888782e-16
bancos,2013-09,BANCO NACIONAL DE FOMENTO,4015916.670003,4015916.670003,0
bancos,2013-09,BANCO REGIONAL,11209652.908072,11209652.908072,0
bancos,2013-09,BANCOP,415831.304377,415831.304377,0
bancos,2013-09,CITIBANK,1451781.76266822,1451781.76266822,0
bancos,2013-09,HSBC BANK PARAGUAY,3185420.370187,3185420.370187,1.46185191651927e-16
bancos,2013-09,SUDAMERIS BANK,3856646.572565,3856646.572565,0
bancos,2013-09,VISION BANCO,4173205.721454,4173205.721454,0
bancos,2013-10,BANCO AMAMBAY,1993172.816737,1993172.816737,0
bancos,2013-10,BANCO ATLAS,2479786.329502,2479786.329502,-1.87782826999153e-16
bancos,2013-10,BANCO BILBAO VIZCAYA ARGENTARIA,7749567.109709,7749567.109709,-1.20177367513687e-16
bancos,2013-10,BANCO CONTINENTAL,12162045.56151,12162045.56151,0
bancos,2013-10,BANCO DE LA NACION ARGENTINA,423927.81662116,423927.81662116,0
bancos,2013-10,BANCO DO BRASIL,1417896.990408,1417896.990408,0
bancos,2013-10,BANCO FAMILIAR,2430646.312098,2430646.312098,1.91579204670796e-16
bancos,2013-10,BANCO ITAPUA,1110839.21474678,1110839.21474678,0
bancos,2013-10,BANCO ITAU PARAGUAY,12551966.580594,12551966.580594,0
bancos,2013-10,BANCO NACIONAL DE FOMENTO,4008087.551567,4008087.551567,-2.32360836092857e-16
bancos,2013-10,BANCO REGIONAL,11494615.593177,11494615.593177,-3.2409002878471e-16
bancos,2013-10,BANCOP,449291.417506,449291.417506,0
bancos,2013-10,CITIBANK,1386072.53403212,1386072.53403212,0
bancos,2013-10,HSBC BANK PARAGUAY,3178002.98567,3178002.98567,1.4652638446454e-16
bancos,2013-10,SUDAMERIS BANK,3994985.286869,3994985.286869,0
bancos,2013-10,VISION BANCO,4112797.19298,4112797.19298,0
bancos,2013-11,BANCO AMAMBAY,1954482.357213,1954482.357213,-1.19126500576795e-16
bancos,2013-11,BANCO ATLAS,2583233.645952,2583233.645952,-3.60525876579104e-16
bancos,2013-11,BANCO BILBAO VIZCAYA ARGENTARIA,7730725.84455806,7730725.84455806,0
bancos,2013-11,BANCO CONTINENTAL,12324294.913582,12324294.913582,-3.02272083278083e-16
bancos,2013-11,BANCO DE LA NACION ARGENTINA,425680.86483226,425680.86483226,0
bancos,2013-11,BANCO DO BRASIL,1301468.923207,1301468.923207,0
bancos,2013-11,BANCO FAMILIAR,2489052.400181,2489052.400181,1.87083762187521e-16
bancos,2013-11,BANCO ITAPUA,1183911.82728778,1183911.82728778,0
bancos,2013-11,BANCO ITAU PARAGUAY,12691358.451915,12691358.451915,1.46764836584527e-16
bancos,2013-11,BANCO NACIONAL DE FOMENTO,4000128.131013,4000128.131013,0
bancos,2013-11,BANCO REGIONAL,11382836.390226,11382836.390226,0
bancos,2013-11,BANCOP,429091.725239,429091.725239,2.71306378052601e-16
bancos,2013-11,CITIBANK,1622995.40215824,1622995.40215824,0
bancos,2013-11,HSBC BANK PARAGUAY,3292161.804444,3292161.804444,0
bancos,2013-11,SUDAMERIS BANK,3985403.591434,3985403.591434,0
bancos,2013-11,VISION BANCO,4102129.468868,4102129.468868,0
financieras,2013-09,ARA DE FINANZAS,202368.632082,202368.632082,0
financieras,2013-09,CRISOL Y ENCARNACION FINANCIERA,286163.817426,286163.817426,-4.06813561805517e-16
financieras,2013-09,EL COMERCIO FINANCIERA,775372.787266,775372.787266,0
financieras,2013-09,FINANCIERA EXPORTADORA PARAGUAYA,161705.605241,161705.605241,0
financieras,2013-09,FINANCIERA INTERNACIONAL SANTA ANA,71238.900527,71238.900527,2.04269228198596e-16
financieras,2013-09,FINANCIERA PARAGUAYO JAPONESA,326302.801392,326302.801392,-3.56770831664055e-16
financieras,2013-09,FINANCIERA RIO,312362.84466488,312362.84466488,-1.86346301769392e-16
financieras,2013-09,FINLATINA DE FINANZAS,80685.048059,80685.048059,0
financieras,2013-09,FONDO GANADERO,114480.9982771,114480.9982771,0
financieras,2013-09,GRUPO INTERNACIONAL DE FINANZAS,750772.18905317,750772.18905317,-1.55060780785915e-16
financieras,2013-09,SOLAR DE AHORRO Y PRESTAMO PARA LA VIVIENDA,434310.925305,434310.925305,-2.68046035786875e-16
financieras,2013-09,TU FINANCIERA,119037.58453555,119037.58453555,1.22246392054612e-16
financieras,2013-10,ARA DE FINANZAS,212437.788794,212437.788794,0
financieras,2013-10,CRISOL Y ENCARNACION FINANCIERA,291593.255858,291593.255858,-1.99619366168789e-16
financieras,2013-10,EL COMERCIO FINANCIERA,780263.494447,780263.494447,0
financieras,2013-10,FINANCIERA EXPORTADORA PARAGUAYA,170899.812758,170899.812758,-5.10892843948502e-16
financieras,2013-10,FINANCIERA INTERNACIONAL SANTA ANA,71279.494861,71279.494861,2.04152894976937e-16
financieras,2013-10,FINANCIERA PARAGUAYO JAPONESA,332417.108604,332417.108604,-5.25312862125957e-16
financieras,2013-10,FINANCIERA RIO,324562.20659358,324562.20659358,1.79342079055913e-16
financieras,2013-10,FINLATINA DE FINANZAS,82520.389754,82520.389754,0
financieras,2013-10,FONDO GANADERO,112474.16007134,112474.16007134,0
financieras,2013-10,GRUPO INTERNACIONAL DE FINANZAS,768589.57546791,768589.57546791,1.51466173290293e-16
financieras,2013-10,SOLAR DE AHORRO Y PRESTAMO PARA LA VIVIENDA,426204.621512,426204.621512,0
financieras,2013-10,TU FINANCIERA,123348.74762634,123348.74762634,0
financieras,2013-11,ARA DE FINANZAS,218800.160776,218800.160776,2.66031161526697e-16
financieras,2013-11,CRISOL Y ENCARNACION FINANCIERA,300019.59286,300019.59286,-1.94012865488519e-16
financieras,2013-11,EL COMERCIO FINANCIERA,792555.494754,792555.494754,-1.46886019461727e-16
financieras,2013-11,FINANCIERA EXPORTADORA PARAGUAYA,187007.050048,187007.050048,-1.5562958962918e-16
financieras,2013-11,FINANCIERA INTERNACIONAL SANTA ANA,71774.140442,71774.140442,0
financieras,2013-11,FINANCIERA PARAGUAYO JAPONESA,334895.636599,334895.636599,0
financieras,2013-11,FINANCIERA RIO,341338.2201251,341338.2201251,-3.41055630348892e-16
financieras,2013-11,FINLATINA DE FINANZAS,89405.682596,89405.682596,1.62762755183281e-16
financieras,2013-11,FONDO GANADERO,112029.47826172,112029.47826172,0
financieras,2013-11,GRUPO INTERNACIONAL DE FINANZAS,786620.33644775,786620.33644775,0
financieras,2013-11,SOLAR DE AHORRO Y PRESTAMO PARA LA VIVIENDA,432605.363603,432605.363603,-1.34551408305895e-16
financieras,2013-11,TU FINANCIERA,130004.67178757,130004.67178757,0
