tipo,titulo_hoja,entidad_clave,periodo,min,max,vintages,revisado
bancos,Evolutivo de Créditos Brutos por Actividad Económica (*) / Sector: Vivienda,BANCO NACIONAL DE FOMENTO,2013-04,14409.576166,15981.446586,7,TRUE
bancos,Evolutivo de Créditos Brutos por Actividad Económica (*) / Sector: Vivienda,TOTAL SISTEMA,2013-04,990695.813336,1009692.914613,7,TRUE
bancos,Variación -  Cartera de Depósitos,GRUPO INTERNACIONAL DE FINANZAS,2015-03,0,0.0582543762137318,10,TRUE
bancos,Variación  - Cartera de Créditos,GRUPO INTERNACIONAL DE FINANZAS,2015-03,0,0.0376334171958159,10,TRUE
financieras,Evolutivo de Créditos Brutos por Actividad Económica (*) / Sector: Trigo,FINANCIERA PARAGUAYO JAPONESA,2012-10,0,726.299081,2,TRUE
financieras,Evolutivo de Créditos Brutos por Actividad Económica (*) / Sector: Trigo,FINANCIERA PARAGUAYO JAPONESA,2012-11,0,917.775609,3,TRUE
financieras,Evolutivo de Créditos Brutos por Actividad Económica (*) / Sector: Trigo,FINANCIERA PARAGUAYO JAPONESA,2012-12,0,877.348691,3,TRUE
financieras,Evolutivo de Créditos Brutos por Actividad Económica (*) / Sector: Trigo,FINANCIERA PARAGUAYO JAPONESA,2013-01,0,910.366523,4,TRUE
financieras,Evolutivo de Créditos Brutos por Actividad Económica (*) / Sector: Trigo,FINANCIERA PARAGUAYO JAPONESA,2013-02,0,930.952979,5,TRUE
financieras,Evolutivo de Créditos Brutos por Actividad Económica (*) / Sector: Trigo,FINANCIERA PARAGUAYO JAPONESA,2013-03,0,799.509051,6,TRUE
financieras,Evolutivo de Créditos Brutos por Actividad Económica (*) / Sector: Trigo,FINANCIERA PARAGUAYO JAPONESA,2013-04,0,897.21395,7,TRUE
financieras,Evolutivo de Créditos Brutos por Actividad Económica (*) / Sector: Trigo,FINANCIERA PARAGUAYO JAPONESA,2013-05,0,1091.222972,8,TRUE
financieras,Evolutivo de Créditos Brutos por Actividad Económica (*) / Sector: Trigo,FINANCIERA PARAGUAYO JAPONESA,2013-06,0,1241.980548,9,TRUE
financieras,Evolutivo de Créditos Brutos por Actividad Económica (*) / Sector: Trigo,FINANCIERA PARAGUAYO JAPONESA,2013-07,0,1234.779266,10,TRUE
financieras,Evolutivo de Créditos Brutos por Actividad Económica (*) / Sector: Trigo,FINANCIERA PARAGUAYO JAPONESA,2013-08,0,1476.143222,11,TRUE
financieras,Evolutivo de Créditos Brutos por Actividad Económica (*) / Sector: Trigo,FINANCIERA PARAGUAYO JAPONESA,2013-09,0,1345.413174,12,TRUE
financieras,Evolutivo de Créditos Brutos por Actividad Económica (*) / Sector: Trigo,GRUPO INTERNACIONAL DE FINANZAS,2012-10,0,706.841789,2,TRUE
financieras,Evolutivo de Créditos Brutos por Actividad Económica (*) / Sector: Trigo,GRUPO INTERNACIONAL DE FINANZAS,2012-11,0,677.135915,3,TRUE
financieras,Evolutivo de Créditos Brutos por Actividad Económica (*) / Sector: Trigo,GRUPO INTERNACIONAL DE FINANZAS,2012-12,0,630.757992,3,TRUE
financieras,Evolutivo de Créditos Brutos por Actividad Económica (*) / Sector: Trigo,GRUPO INTERNACIONAL DE FINANZAS,2013-01,0,592.243119,4,TRUE
financieras,Evolutivo de Créditos Brutos por Actividad Económica (*) / Sector: Trigo,GRUPO INTERNACIONAL DE FINANZAS,2013-02,0,538.262009,5,TRUE
financieras,Evolutivo de Créditos Brutos por Actividad Económica (*) / Sector: Trigo,GRUPO INTERNACIONAL DE FINANZAS,2013-03,0,494.680055,6,TRUE
financieras,Evolutivo de Créditos Brutos por Actividad Económica (*) / Sector: Trigo,GRUPO INTERNACIONAL DE FINANZAS,2013-04,0,632.506316,7,TRUE
financieras,Evolutivo de Créditos Brutos por Actividad Económica (*) / Sector: Trigo,GRUPO INTERNACIONAL DE FINANZAS,2013-05,0,551.689429,8,TRUE
financieras,Evolutivo de Créditos Brutos por Actividad Económica (*) / Sector: Trigo,GRUPO INTERNACIONAL DE FINANZAS,2013-06,0,890.558915,9,TRUE
financieras,Evolutivo de Créditos Brutos por Actividad Económica (*) / Sector: Trigo,GRUPO INTERNACIONAL DE FINANZAS,2013-07,0,854.492308,10,TRUE
financieras,Evolutivo de Créditos Brutos por Actividad Económica (*) / Sector: Trigo,GRUPO INTERNACIONAL DE FINANZAS,2013-08,0,864.834295,11,TRUE
financieras,Evolutivo de Créditos Brutos por Actividad Económica (*) / Sector: Trigo,GRUPO INTERNACIONAL DE FINANZAS,2013-09,0,840.48902,12,TRUE
financieras,Evolutivo de Créditos Brutos por Actividad Económica (*) / Sector: Trigo,FINANCIERA INTERNACIONAL SANTA ANA,2013-09,0,1872.810198,12,TRUE
