path,bytes,sha256,url,motivo,eliminado_utc
mag/cultivos_2020_2021/01. SOJA-SUPERFICIE Y PRODUCCIÓN (1).csv,879,54a03c353c88788fca1a1ccb7245eade7f85f61f116a904455b7926823c31589,https://www.datos.gov.py/sites/default/files/01.%20SOJA-SUPERFICIE%20Y%20PRODUCCI%C3%93N%20%281%29.csv,"Redundante: 16 archivos MAG 2019/20–2020/21 idénticos al libro de 16 cultivos (CSV: 901 celdas iguales, 2 difieren y quedan documentadas en data/clima/agro_mag_control_csv_2020_2021.csv; XLSX poroto y caña: 134 celdas, 0 diferencias)",2026-09-23T18:53:08.121571+00:00
mag/cultivos_2020_2021/02. MAÍZ-SUPERFICIE Y PRODUCCIÓN (3).csv,886,f16f5556209f25bf508dbc39cc248c5adeab39c039e6fe06aaf90f442ffe9f03,https://www.datos.gov.py/sites/default/files/02.%20MA%C3%8DZ-SUPERFICIE%20Y%20PRODUCCI%C3%93N%20%283%29.csv,"Redundante: 16 archivos MAG 2019/20–2020/21 idénticos al libro de 16 cultivos (CSV: 901 celdas iguales, 2 difieren y quedan documentadas en data/clima/agro_mag_control_csv_2020_2021.csv; XLSX poroto y caña: 134 celdas, 0 diferencias)",2026-09-23T18:53:08.121571+00:00
mag/cultivos_2020_2021/03. ALGODON-SUPERFICIE Y PRODUCCIÓN (2).csv,699,16b6c2fc9a11ebf60c804922ac0f328a72f578a3c3d0162281adabfd908db61c,https://www.datos.gov.py/sites/default/files/03.%20ALGODON-SUPERFICIE%20Y%20PRODUCCI%C3%93N%20%282%29.csv,"Redundante: 16 archivos MAG 2019/20–2020/21 idénticos al libro de 16 cultivos (CSV: 901 celdas iguales, 2 difieren y quedan documentadas en data/clima/agro_mag_control_csv_2020_2021.csv; XLSX poroto y caña: 134 celdas, 0 diferencias)",2026-09-23T18:53:08.121571+00:00
mag/cultivos_2020_2021/04. MANDIOCA-SUPERFICIE Y PRODUCCIÓN (2).csv,927,6ceab0c3eb0d97455b39adb80f1bf78ce54b61556c5362c577597eb2fe80270c,https://www.datos.gov.py/sites/default/files/04.%20MANDIOCA-SUPERFICIE%20Y%20PRODUCCI%C3%93N%20%282%29.csv,"Redundante: 16 archivos MAG 2019/20–2020/21 idénticos al libro de 16 cultivos (CSV: 901 celdas iguales, 2 difieren y quedan documentadas en data/clima/agro_mag_control_csv_2020_2021.csv; XLSX poroto y caña: 134 celdas, 0 diferencias)",2026-09-23T18:53:08.121571+00:00
mag/cultivos_2020_2021/05. TRIGO-SUPERFICIE Y PRODUCCIÓN (2).csv,872,971a27b2509ef7fedee8f8fa5b163d407535a2e2c0e3e4e9dc82c70885d10a03,https://www.datos.gov.py/sites/default/files/05.%20TRIGO-SUPERFICIE%20Y%20PRODUCCI%C3%93N%20%282%29.csv,"Redundante: 16 archivos MAG 2019/20–2020/21 idénticos al libro de 16 cultivos (CSV: 901 celdas iguales, 2 difieren y quedan documentadas en data/clima/agro_mag_control_csv_2020_2021.csv; XLSX poroto y caña: 134 celdas, 0 diferencias)",2026-09-23T18:53:08.121571+00:00
mag/cultivos_2020_2021/06. POROTO-SUPERFICIE Y PRODUCCIÓN (1).xlsx,11051,707444a66d6e7fc84440b1b7963db269334fccb3db5f4895f8aef23de7e1d27b,https://www.datos.gov.py/sites/default/files/06.%20POROTO-SUPERFICIE%20Y%20PRODUCCI%C3%93N%20%281%29.xlsx,"Redundante: 16 archivos MAG 2019/20–2020/21 idénticos al libro de 16 cultivos (CSV: 901 celdas iguales, 2 difieren y quedan documentadas en data/clima/agro_mag_control_csv_2020_2021.csv; XLSX poroto y caña: 134 celdas, 0 diferencias)",2026-09-23T18:53:08.121571+00:00
mag/cultivos_2020_2021/07. CAÑA DE AZUCAR -SUPERFICIE Y PRODUCCIÓN (1).xlsx,10579,4e8f6cfb27e4629b5cc1cb397a75c3290158a0c7832ba7aba91031a0d7f5f6de,https://www.datos.gov.py/sites/default/files/07.%20CA%C3%91A%20DE%20AZUCAR%20-SUPERFICIE%20Y%20PRODUCCI%C3%93N%20%281%29.xlsx,"Redundante: 16 archivos MAG 2019/20–2020/21 idénticos al libro de 16 cultivos (CSV: 901 celdas iguales, 2 difieren y quedan documentadas en data/clima/agro_mag_control_csv_2020_2021.csv; XLSX poroto y caña: 134 celdas, 0 diferencias)",2026-09-23T18:53:08.121571+00:00
mag/cultivos_2020_2021/08. MANI -SUPERFICIE Y PRODUCCIÓN (1).csv,995,ff6e933cad7b95728dec04f2cd95070721fae319dad95764500b4cdd8e24c8bc,https://www.datos.gov.py/sites/default/files/08.%20MANI%20-SUPERFICIE%20Y%20PRODUCCI%C3%93N%20%281%29.csv,"Redundante: 16 archivos MAG 2019/20–2020/21 idénticos al libro de 16 cultivos (CSV: 901 celdas iguales, 2 difieren y quedan documentadas en data/clima/agro_mag_control_csv_2020_2021.csv; XLSX poroto y caña: 134 celdas, 0 diferencias)",2026-09-23T18:53:08.121571+00:00
mag/cultivos_2020_2021/09. GIRASOL-SUPERFICIE Y PRODUCCIÓN (2).csv,957,526f4539de50e6e3b852b94df38b93480a6a04849114158057fabf851bcb92e3,https://www.datos.gov.py/sites/default/files/09.%20GIRASOL-SUPERFICIE%20Y%20PRODUCCI%C3%93N%20%282%29.csv,"Redundante: 16 archivos MAG 2019/20–2020/21 idénticos al libro de 16 cultivos (CSV: 901 celdas iguales, 2 difieren y quedan documentadas en data/clima/agro_mag_control_csv_2020_2021.csv; XLSX poroto y caña: 134 celdas, 0 diferencias)",2026-09-23T18:53:08.121571+00:00
mag/cultivos_2020_2021/10. ARROZ CON RIEGO - SUPERFICIE Y PRODUCCIÓN (1).csv,1078,f97be7cd1323f43abfe0e5fd8cd704bdcb4ac0a5d0f569e0c57521effe1c4023,https://www.datos.gov.py/sites/default/files/10.%20ARROZ%20CON%20RIEGO%20-%20SUPERFICIE%20Y%20PRODUCCI%C3%93N%20%281%29.csv,"Redundante: 16 archivos MAG 2019/20–2020/21 idénticos al libro de 16 cultivos (CSV: 901 celdas iguales, 2 difieren y quedan documentadas en data/clima/agro_mag_control_csv_2020_2021.csv; XLSX poroto y caña: 134 celdas, 0 diferencias)",2026-09-23T18:53:08.121571+00:00
