fecha,tasa_anterior_FPD,tasa_anterior_FPL,tasa_nueva_FPD,tasa_nueva_FPL,cambio_pb_FPD,cambio_pb_FPL,tpm_vig,tpm_ult_dec,spread_fpd,spread_fpl
2013-01-04,5.25,,5.21,,-4,,5.5,2013-01-03,-0.29,
2013-01-07,5.21,,5.5,,29,,5.5,2013-01-03,0,
2013-01-11,5.5,,5.49,,-1,,5.5,2013-01-03,-0.00999999999999979,
2013-01-14,5.49,,5.5,,1,,5.5,2013-01-03,0,
2013-01-15,5.5,,5.49,,-1,,5.5,2013-01-03,-0.00999999999999979,
2013-01-16,5.49,,5.48,,-1,,5.5,2013-01-03,-0.0199999999999996,
2013-01-17,5.48,,5.49,,1,,5.5,2013-01-03,-0.00999999999999979,
2013-01-18,5.49,,5.48,,-1,,5.5,2013-01-03,-0.0199999999999996,
2013-01-21,5.48,,5.49,,1,,5.5,2013-01-03,-0.00999999999999979,
2013-01-22,5.49,,5.47,,-2,,5.5,2013-01-03,-0.0300000000000003,
2013-01-23,5.47,,5.49,,2,,5.5,2013-01-03,-0.00999999999999979,
2013-01-24,5.49,,5.5,,1,,5.5,2013-01-03,0,
2013-01-29,5.5,,5.47,,-3,,5.5,2013-01-03,-0.0300000000000003,
2013-01-31,5.47,,5.5,,3,,5.5,2013-01-03,0,
2013-02-06,5.5,,5.49,,-1,,5.5,2013-01-03,-0.00999999999999979,
2013-02-11,5.49,,5.5,,1,,5.5,2013-02-06,0,
2013-02-13,5.5,,5.49,,-1,,5.5,2013-02-06,-0.00999999999999979,
2013-02-15,5.49,,5.5,,1,,5.5,2013-02-06,0,
2013-02-18,5.5,,5.48,,-2,,5.5,2013-02-06,-0.0199999999999996,
2013-02-21,5.48,,5.49,,1,,5.5,2013-02-06,-0.00999999999999979,
2013-02-25,5.49,,5.48,,-1,,5.5,2013-02-06,-0.0199999999999996,
2013-02-26,5.48,,5.49,,1,,5.5,2013-02-06,-0.00999999999999979,
2013-02-28,5.49,,5.5,,1,,5.5,2013-02-06,0,
2013-03-01,5.5,,5.49,,-1,,5.5,2013-02-06,-0.00999999999999979,
2013-03-06,5.49,,5.5,,1,,5.5,2013-02-06,0,
2013-03-15,5.5,,5.49,,-1,,5.5,2013-03-07,-0.00999999999999979,
2013-03-19,5.49,,5.5,,1,,5.5,2013-03-07,0,
2013-03-20,5.5,,5.49,,-1,,5.5,2013-03-07,-0.00999999999999979,
2013-03-26,5.49,,5.48,,-1,,5.5,2013-03-07,-0.0199999999999996,
2013-04-01,5.48,,5.49,,1,,5.5,2013-03-07,-0.00999999999999979,
2013-04-02,5.49,,5.48,,-1,,5.5,2013-03-07,-0.0199999999999996,
2013-04-05,5.48,,5.46,,-2,,5.5,2013-03-07,-0.04,
2013-04-08,5.46,,5.47,,1,,5.5,2013-03-07,-0.0300000000000003,
2013-04-09,5.47,,5.46,,-1,,5.5,2013-03-07,-0.04,
2013-04-10,5.46,,5.47,,1,,5.5,2013-04-09,-0.0300000000000003,
2013-04-11,5.47,,4.5,,-97,,5.5,2013-04-09,-1,
2013-12-12,4.5,,5,,50,,6,2013-12-11,-1,
2014-01-16,5,,5.5,,50,,6.5,2014-01-15,-1,
2014-02-19,5.5,,5.75,,25,,6.75,2014-02-18,-1,
2015-03-20,,7.75,,7.25,,-50,6.5,2015-03-19,,0.75
2015-04-22,5.75,7.25,5.5,7,-25,-25,6.25,2015-04-21,-0.75,0.75
2015-06-19,5.5,7,5.25,6.75,-25,-25,6,2015-06-18,-0.75,0.75
2015-07-22,5.25,6.75,5,6.5,-25,-25,5.75,2015-07-21,-0.75,0.75
2015-09-16,5,6.5,5.5,6.75,50,25,5.75,2015-08-20,-0.25,1
2016-01-21,5.5,6.75,5.75,7,25,25,6,2016-01-20,-0.25,1
2016-05-25,5.75,7,5.5,6.75,-25,-25,5.75,2016-05-24,-0.25,1
2016-07-21,5.5,6.75,5.25,6.5,-25,-25,5.5,2016-07-20,-0.25,1
2017-08-24,5.25,6.5,5,6.25,-25,-25,5.25,2017-08-23,-0.25,1
2019-02-25,5,6.25,4.75,6,-25,-25,5,2019-02-22,-0.25,1
2019-03-25,4.75,6,4.5,5.75,-25,-25,4.75,2019-03-22,-0.25,1
2019-06-10,,5.75,,5.25,,-50,4.75,2019-05-22,,0.5
2019-07-23,4.5,5.25,4.25,5,-25,-25,4.5,2019-07-22,-0.25,0.5
2019-08-22,4.25,5,4,4.75,-25,-25,4.25,2019-08-21,-0.25,0.5
2019-09-24,4,4.75,3.75,4.5,-25,-25,4,2019-09-23,-0.25,0.5
2020-03-16,3.75,4.5,3.5,4.25,-25,-25,3.75,2020-03-13,-0.25,0.5
2020-03-17,3.5,4.25,3,3.5,-50,-75,3.25,2020-03-16,-0.25,0.25
2020-03-23,3,,3.5,,50,,3.25,2020-03-16,0.25,
2020-03-24,3.5,,3,,-50,,3.25,2020-03-16,-0.25,
2020-03-31,3,3.5,2,2.5,-100,-100,2.25,2020-03-30,-0.25,0.25
2020-04-23,2,2.5,1,1.5,-100,-100,1.25,2020-04-22,-0.25,0.25
2020-06-23,1,1.5,0.5,1,-50,-50,0.75,2020-06-22,-0.25,0.25
2021-08-24,0.5,1,0.75,1.25,25,25,1,2021-08-23,-0.25,0.25
2021-09-22,0.75,1.25,1.25,1.75,50,50,1.5,2021-09-21,-0.25,0.25
2021-10-22,1.25,1.75,2.5,3,125,125,2.75,2021-10-21,-0.25,0.25
2021-11-23,2.5,3,3.75,4.25,125,125,4,2021-11-22,-0.25,0.25
2021-12-22,3.75,4.25,5,5.5,125,125,5.25,2021-12-21,-0.25,0.25
