fecha_comunicado,fecha_publicada,instrumento,accion,tasa_anterior,tasa_nueva,cambio_pb,votacion,revisar,frase_decision,extracto,nombre_publicado,path,sha256,url_bcp,wayback_timestamp
2010-01-27,"Asunción, 27 de enero de 2010",flir,"",8.5,7.5,,"",accion_no_leida;fecha_repetida(varios_documentos),"acordó modificar la tasa de interés del Instrumento de Facilidad de Liquidez de Corto Plazo con Reporto de Instrumento de Regulación Mon etaria (FLIR), reduciéndola de 8,5% a 7,5%, lo que permitirá establecer un","Asunción, 27 de enero de 2010 Con relación al entorno del sector real, los datos disponibles dan cuenta de signos de recuperación de la actividad económica y que la demanda podría estar expandiéndose, siendo las perspectivas de crecimiento para éste año muy alentadoras. Esto está suste ntado en la recuperación del sector agropecuario, fundamentalmente, que por otro lado, según los datos recientes confirman una tendencia a cierta normalización de la demanda global, especialmente de los Commodities agrícolas. El IPC del año 2009 cerró en niveles históricamente bajos, y las proyecciones para el año 2010 dan cuenta de que el mismo llegaría solo al centro del rango meta referencial establecido por el BCP, no esperándose para el primer semestre presiones significativas sobre el nivel general de precios. Vistas estas condiciones, el Directorio del Banco Central en su reunión de política monetaria del mes enero, acordó modificar la tasa de interés del Instrumento de Facilidad de Liquidez de Corto Plazo con Reporto de Instrumento de Regulación Mon etaria (FLIR), reduciéndola de 8,5% a 7,5%, lo que permitirá establecer un corredor de tasas consistente con las condiciones actuales de mercado. ",01_CEOMA_febreo_2010.pdf,raw/archivo/cpm/750052f9-af84-1c1b-1f01-bfbb959515fd_01_CEOMA_febreo_2010.pdf,688427ea935d63cf1e6609ff8321a63d9237ec4175957f8e4757b233d6a3ad1e,https://www.bcp.gov.py/documents/20117/0/01_CEOMA_febreo_2010.pdf/750052f9-af84-1c1b-1f01-bfbb959515fd?t=1739809612919,20260506030855
2010-01-27,"Asunción, 27 de enero de 2010",flir,"",8.5,7.5,,"",accion_no_leida;fecha_repetida(varios_documentos),"acordó modificar la tasa de interés del Instrumento de Facilidad de Liquidez de Corto Plazo con Reporto de Instrumento de Regulación Mon etaria (FLIR), reduciéndola de 8,5% a 7,5%, lo que permitirá establecer un","Asunción, 27 de enero de 2010 Con relación al entorno del sector real, los datos disponibles dan cuenta de signos de recuperación de la actividad económica y que la demanda podría estar expandiéndose, siendo las perspectivas de crecimiento para éste año muy alentadoras. Esto está suste ntado en la recuperación del sector agropecuario, fundamentalmente, que por otro lado, según los datos recientes confirman una tendencia a cierta normalización de la demanda global, especialmente de los Commodities agrícolas. El IPC del año 2009 cerró en niveles históricamente bajos, y las proyecciones para el año 2010 dan cuenta de que el mismo llegaría solo al centro del rango meta referencial establecido por el BCP, no esperándose para el primer semestre presiones significativas sobre el nivel general de precios. Vistas estas condiciones, el Directorio del Banco Central en su reunión de política monetaria del mes enero, acordó modificar la tasa de interés del Instrumento de Facilidad de Liquidez de Corto Plazo con Reporto de Instrumento de Regulación Mon etaria (FLIR), reduciéndola de 8,5% a 7,5%, lo que permitirá establecer un corredor de tasas consistente con las condiciones actuales de mercado. ",CEOMA_enero_2010(1).pdf,raw/archivo/cpm/8b4c43be-c1c4-c15f-015d-ef56a3e31ac1_CEOMA_enero_2010_1_.pdf,688427ea935d63cf1e6609ff8321a63d9237ec4175957f8e4757b233d6a3ad1e,https://www.bcp.gov.py/documents/20117/0/CEOMA_enero_2010%281%29.pdf/8b4c43be-c1c4-c15f-015d-ef56a3e31ac1?t=1739809309333,20260506025650
2010-04-07,"Asunción, 7 de abril de 2010",tpm,mantener,,,,"",sin_tasa,"decidió no modificar el mecanismo de política monetaria implementado actualmente, específicamente, lo relacionado a la tasa de interés.","Asunción, 7 de abril de 2010 El día de la fecha se reunió el Comité Ejecutivo de Operaciones de Mercado Abierto y Reservas (CEOMA), a fin a revisar los datos macroeconómicos de la economía y orientar la política monetaria. Con relación a la situación del sector real, los datos disponibles dan cuenta de signos de recuperación de la actividad económica y que la demanda podría estar expandiéndose, siendo las perspectivas de crecimiento para éste año muy alentadoras, sustentado en la recuperación del sector agropecuario, fundamentalmente. La variación del IPC al primer trimestre del 2010 fue 1,8% y la tasa interanual alcanzó un nivel de 4,1%. Con estos datos las proyecciones para el año 2010 dan cuenta de que el mismo estaría en torno al centro del rango meta referencial establecido por el BCP, no esperándose para el primer semestre presiones significativas sobre el nivel general de precios, siempre que las condiciones externas e internas no se modifiquen. En base a los últimos datos macroeconómicos analizados, el CEOMA decidió no modificar el mecanismo de política monetaria implementado actualmente, específicamente, lo relacionado a la tasa de interés. Asimismo, se seguirá monitoreando la evolución de las principales variables macroeconómicas a fin de tener un panorama claro de lo que está aconteciendo a los fundamentos de la inflación, habida cuenta que actualmente no se observan desalineamientos de los fundamentos que afectan los niveles de esta variable para el mediano plazo. Finalmente, el Directorio de la institución, Resolución mediante, resolvió incorporar al Superintendente de Bancos como miembro permanente del CEOMA. Nuestra Misión: “Preservar y velar por la estabilidad del valor de la moneda, promover la eficacia y estabilidad del sistema financiero y servir a la Sociedad con excelencia en su rol de banco de bancos y agente financiero del Estado”. 1 ",CEOMA_abril_2010(1).pdf,raw/archivo/cpm/4dc79fd3-b758-c097-0e34-cb9b3865baaf_CEOMA_abril_2010_1_.pdf,1b6e64bad7eecd56a8f4bc7775c521e39e73f7cd16ecb0f5e3795018fb92503f,https://www.bcp.gov.py/documents/20117/0/CEOMA_abril_2010%281%29.pdf/4dc79fd3-b758-c097-0e34-cb9b3865baaf?t=1739809725806,20260506025627
2010-05-06,"Asunción, 6 de mayo de 2010","","",,,,"",sin_frase_decision,"","Asunción, 6 de mayo de 2010 El día de la fecha se reunió el Comité Ejecutivo de Operaciones de Mercado Abierto y Reservas (CEOMA) a fin a revisar los datos macroeconómicos de la economía y orientar la política monetaria. Dado los últimos datos de la inflación realizada, la proyección de la misma, conjuntamente con el análisis de los datos del sector real - en términos del crecimiento potencial y efectivo-, el Directorio del BCP comunica que implementará una política monetaria más restrictiva, la que se reflejará en las tasas de colocación de los IRM. Este cambio será de manera gradual y por el tiempo que sea necesario. Además de los plazos tradicionales, el BCP recibirá ofertas de IRM´s de plazos a partir de 14 días, de manera competitiva. Esta decisión mantendrá estable el horizonte de la inflación, ya que sus fundamentos de mediano plazo no han cambiado. Nuestra Misión: “Preservar y velar por la estabilidad del valor de la moneda, promover la eficacia y estabilidad del sistema financiero y servir a la Sociedad con excelencia en su rol de banco de bancos y agente financiero del Estado”. ",CEOMA_mayo_2010(1).pdf,raw/archivo/cpm/29844655-bff7-c0a4-6ca7-7c53ef5551c0_CEOMA_mayo_2010_1_.pdf,c329719b7f6545b1b465283628b43f1ba5bd13744acf68ca01d429c6e653b5ea,https://www.bcp.gov.py/documents/20117/0/CEOMA_mayo_2010%281%29.pdf/29844655-bff7-c0a4-6ca7-7c53ef5551c0?t=1739815092114,20260506033235
2010-06-04,"Asunción, 04 de junio de 2010","","",,,,"",accion_no_leida;sin_tasa;instrumento_no_leido,decidió analizar una serie de medidas administrativas para dinamizar el mercado de dinero con el objetivo de tener una gestión más eficiente de la liquidez.,"Asunción, 04 de junio de 2010 El día de la fecha se reunió el Comité Ejecutivo de Operaciones de Mercado Abierto y Reservas (CEOMA) a fin a revisar los datos macroeconómicos de la economía y orientar la política monetaria. En la oportunidad se ha analizado la situación de la economía mundial y sus posibles repercusiones sobre la economía Paraguaya, así como el entorno interno, especialmente lo relacionado al desenvolvimiento de la actividad económica y los indicadores de demanda agregada, la inflación corriente así como la proyección de la misma. En este sentido el Directorio del Banco Central ha decidido seguir con el mismo perfil de Política Monetaria comunicado en la reunión pasada. Por otro lado, decidió analizar una serie de medidas administrativas para dinamizar el mercado de dinero con el objetivo de tener una gestión más eficiente de la liquidez. Igualmente, la proyección de la tasa de inflación para el presente año no ha cambiado con el perfil de Política Monetaria que se está implementando. Nuestra Misión: “Preservar y velar por la estabilidad del valor de la moneda, promover la eficacia y estabilidad del sistema financiero y servir a la Sociedad con excelencia en su rol de banco de bancos y agente financiero del Estado”. ",CEOMA_junio_2010(1).pdf,raw/archivo/cpm/958932c9-837b-cc9f-a178-63a300811e19_CEOMA_junio_2010_1_.pdf,90bd26a93de9e86296ea247af23a386c87cdfb51d9103fb8358d5a2b72deb3f8,https://www.bcp.gov.py/documents/20117/0/CEOMA_junio_2010%281%29.pdf/958932c9-837b-cc9f-a178-63a300811e19?t=1739815148886,20260506032032
2010-07-07,"Asunción, 07 de julio de 2010",curva_irm,"",,,,"",accion_no_leida;varias_tasas,"decidió fijar la curva de tasas para los plazos cortos en los siguientes niveles: 14 días: 0,6% 35 días: 0,8% 63 días: 0,9% 91 días: 1,","Asunción, 07 de julio de 2010 El día de la fecha se reunió el Comité Ejecutivo de Operaciones de Mercado Abierto y Reservas (CEOMA) a fin de revisar los datos macroeconómicos de la economía y orientar la política monetaria. Luego de analizar los datos del entorno externo, se ha hecho la consideración de la coyuntura doméstica tanto del sector real como de los resultados de la inflación al primer semestre. En este sentido, el Directorio decidió fijar la curva de tasas para los plazos cortos en los siguientes niveles: 14 días: 0,6% 35 días: 0,8% 63 días: 0,9% 91 días: 1,5% 182 días: 1,7% Para el resto de los plazos el Banco Central seguirá recibiendo ofertas competitivas de títulos. Nuestra Misión: “Preservar y velar por la estabilidad del valor de la moneda, promover la eficacia y estabilidad del sistema financiero y servir a la Sociedad con excelencia en su rol de banco de bancos y agente financiero del Estado”. ",CEOMA_julio_2010(1).pdf,raw/archivo/cpm/9a23079e-f69c-a615-b098-f116d9ee96a2_CEOMA_julio_2010_1_.pdf,14163ea9c0fa87324ffe35b43f1ea66507d646cce7ef366b9b9eb6327247f6e0,https://www.bcp.gov.py/documents/20117/0/CEOMA_julio_2010%281%29.pdf/9a23079e-f69c-a615-b098-f116d9ee96a2?t=1739815192712,20260506032800
2010-08-06,"Asunción, 06 de agosto de 2010","","",,,,"",sin_frase_decision,"","Asunción, 06 de agosto de 2010 El día de la fecha se reunió el Comité Ejecutivo de Operaciones de Mercado Abierto y Reservas (CEOMA) con el objetivo de hacer un análisis de la coyuntura interna y externa y dar seguimiento a la política monetaria. Se ha encontrado que la economía paraguaya muestra grandes signos de crecimiento y dinamismo, tanto por el lado de la oferta agregada como la demanda agregada y que en el presente año se observa un perfil de tasa de crecimiento de los precios más dinámico que el año anterior. Igualmente, las condiciones externas para el comercio exterior del país siguen siendo buenas y la balanza de pagos se encuentra en equilibrio. También, se han analizado algunas medidas administrativas relacionadas a la política monetaria y cambiaria que fueran objeto de modificación en el pasado reciente cuando se había profundizado la crisis financiera internacional. En este sentido, se han tomando las siguientes medidas: a) Fijar la tasa de la Facilidad de Liquidez con Instrumentos de Regulación Monetaria (FLIR) en 6%. b) Fijar el límite máximo de la Posición Neta en Moneda Extranjera de las entidades financieras en 50% del Patrimonio Efectivo. Con relación a la política monetaria propiamente, se ha decidido mantener el perfil de política de tal manera a reducir algún exceso de liquidez que pudiera perturbar la tendencia de la variable objetivo, cual es la tasa de inflación. Nuestra Misión: “Preservar y velar por la estabilidad del valor de la moneda, promover la eficacia y estabilidad del sistema financiero y servir a la Sociedad con excelencia en su rol de banco de bancos y agente financiero del Estado”. ",CEOMA_agosto_2010(1).pdf,raw/archivo/cpm/0ee738bd-ba40-b352-185d-def9819e5286_CEOMA_agosto_2010_1_.pdf,b12f813a5c80c06cb5807f8a1e5cb7bea32d404bfd2f1dbcb44cedd20231eb4d,https://www.bcp.gov.py/documents/20117/0/CEOMA_agosto_2010%281%29.pdf/0ee738bd-ba40-b352-185d-def9819e5286?t=1739815229778,20260506023959
2010-10-06,"Asunción, 06 de Octubre de 2010",curva_irm,"",,,,"",accion_no_leida;varias_tasas,"resolvió fijar una nueva curva de tasas para los plazos cortos en los siguientes niveles: 14 días: 1,6% 35 días: 1,8% 63 días: 1,9% 91 días: 2,","Asunción, 06 de Octubre de 2010 El día de la fecha se reunió el Comité Ejecutivo de Operaciones de Mercado Abierto y Reservas (CEOMA) a fin de analizar la coyuntura económica nacional, así como la evolución de las principales variables macroeconómicas para los próximos meses. La economía sigue registrando una importante recuperación de la actividad económica así como de la demanda interna. Igualmente se observa que la tasa de inflación se encuentra levemente por encima del centro del rango referencial, resultado de la situación del gasto interno, así como algunos ajustes de precios relativos debidos a shocks de oferta. Con estos antecedentes, y de manera a mantener la inflación en torno al centro del rango meta, el Directorio resolvió fijar una nueva curva de tasas para los plazos cortos en los siguientes niveles: 14 días: 1,6% 35 días: 1,8% 63 días: 1,9% 91 días: 2,5% 182 días: 2,7% Para el resto de los plazos el Banco Central seguirá recibiendo ofertas competitivas de títulos. Así mismo, el CEOMA decidió aprobar los proyectos de modificación y ampliación de las Resoluciones Nº1 Acta Nº60 de fecha 28/09/2007 y Nº1 Acta Nº74 de fecha 8/09/2008, así como el incremento del capital mínimo exigido a los intermediarios financieros, en el entendido de que la coyuntura económica es la apropiada y oportuna para la implementación de medidas tendientes al fortalecimiento patrimonial del sistema financiero nacional. Nuestra Misión: “Preservar y velar por la estabilidad del valor de la moneda, promover la eficacia y estabilidad del sistema financiero y servir a la Sociedad con excelencia en su rol de banco de bancos y agente financiero del Estado”. ",CEOMA_octubre_2010(1).pdf,raw/archivo/cpm/e4de7837-9daf-ab19-2b07-4197f37614cc_CEOMA_octubre_2010_1_.pdf,ad45d69c69bd28a2257cd5bc3f21da0cb77e316518017e9d0eaff64c7540c1ed,https://www.bcp.gov.py/documents/20117/0/CEOMA_octubre_2010%281%29.pdf/e4de7837-9daf-ab19-2b07-4197f37614cc?t=1739815392793,20260506030031
2010-12-03,"Asunción, 3 de Diciembre de 2010",curva_irm,"",,4.5,,"",accion_no_leida,"resolvió fijar una nueva curva de tasas para los plazos cortos en los siguientes niveles: 14 días: 4,5%","Asunción, 3 de Diciembre de 2010 El día de la fecha se reunió el Comité Ejecutivo de Operaciones de Mercado Abierto y Reservas (CEOMA) a fin de analizar la tendencia global y la coyuntura económica nacional, así como la evolución de las principales variables macroeconómicas para los próximos meses. La economía sigue registrando una importante recuperación de la actividad económica así como de la demanda interna. Igualmente se observa que la tasa de inflación se encuentra por encima del centro del rango referencial, resultado de la situación del gasto interno, así como algunos ajustes de precios relativos debidos a shocks de oferta. El sistema financiero presenta tasas de variación del crédito dinámicas, similar a los indicadores de la demanda agregada. Este hecho reflejaría que la tasa de crecimiento económico se ubica por encima de la tendencia. Con estos antecedentes, y de manera a mantener la inflación en torno al centro del rango meta, el Directorio resolvió fijar una nueva curva de tasas para los plazos cortos en los siguientes niveles: 14 días: 4,5%. 35 días: 5,0%. Para los plazos de 63 días, 91 días y 182 días, el Banco Central licitará montos fijos conforme a las necesidades de esterilización monetaria, las que serán adjudicadas a las mejores ofertas de tasas, existiendo para el Banco Central un precio de reserva. Los montos específicos se anunciarán por el Sistema denominado DATATEC el día hábil inmediato anterior a cada subasta. Para el resto de los plazos el Banco Central seguirá recibiendo ofertas competitivas de títulos. Asimismo, decidió que las colocaciones de Instrumentos de Regulación Monetaria se realizarán los días martes y viernes. Nuestra Misión: “Preservar y velar por la estabilidad del valor de la moneda, promover la eficacia y estabilidad del sistema financiero y servir a la Sociedad con excelencia en su rol de banco de bancos y agente financiero del Estado”. ",CEOMA_diciembre_2010(1).pdf,raw/archivo/cpm/725f3dd2-8f69-1af2-6e27-a686a2c1f6d3_CEOMA_diciembre_2010_1_.pdf,16cc25c474e99cdba1b227066fb03986fb81d6e8ce35900b9c6db038da9f29e8,https://www.bcp.gov.py/documents/20117/0/CEOMA_diciembre_2010%281%29.pdf/725f3dd2-8f69-1af2-6e27-a686a2c1f6d3?t=1739815466013,20260506023559
2011-01-04,"Asunción, 04 de Enero de 2011",curva_irm,mantener,,,,"",sin_tasa,"resolvió mantener los niveles de tasas para los plazos cortos (14 y 35 días), seguir licitando montos fijos para los plazos de 63 días, 91 días y 182 días, conforme a las necesidades de esterilización monetaria, las que serán adjudicadas a las mejores ofertas de tasas, existiendo para el Banco Central un precio de reserva.","Asunción, 04 de Enero de 2011 El día de la fecha se reunió el Comité Ejecutivo de Operaciones de Mercado Abierto y Reservas (CEOMA) a fin de analizar la coyuntura económica global y nacional del año 2010, así como el escenario más probable de evolución de las principales variables macroeconómicas para el año 2011. En este sentido, la economía registró una importante recuperación de la actividad económica así como de la demanda interna. Asimismo, la tasa de inflación cerró el año 2010 en 7,2%, por encima del centro del rango referencial, pero dentro del rango meta referencial, resultado de la situación del gasto interno, así como algunos ajustes de precios relativos debidos a shocks de oferta en la categoría de alimentos. El sistema financiero refleja tasas de variación del crédito muy dinámicas, acorde con el crecimiento de la economía, pero que seguirían indicando que dicho crecimiento económico se estaría ubicando por encima de la tendencia. Con estos antecedentes, el Directorio resolvió mantener los niveles de tasas para los plazos cortos (14 y 35 días), seguir licitando montos fijos para los plazos de 63 días, 91 días y 182 días, conforme a las necesidades de esterilización monetaria, las que serán adjudicadas a las mejores ofertas de tasas, existiendo para el Banco Central un precio de reserva. Para el resto de los plazos el BCP seguirá recibiendo ofertas competitivas de títulos. Los montos para las licitaciones fijas, se anunciarán por el Sistema denominado DATATEC el día hábil inmediato anterior a cada subasta. __________________________________________________________________________ Nuestra Misión: “Preservar y velar por la estabilidad del valor de la moneda, promover la eficacia y estabilidad del sistema financiero y servir a la Sociedad con excelencia en su rol de banco de bancos y agente financiero del Estado”. ",CEOMA_enero_2011.pdf,raw/archivo/cpm/2980a5a7-b7f5-7d56-2c88-ba641d1d484d_CEOMA_enero_2011.pdf,7697c5a96ddfb33f3e3aa14bbc4d56872ae127b8b324b3a8e91ff021d7492bf1,https://www.bcp.gov.py/documents/20117/0/CEOMA_enero_2011.pdf/2980a5a7-b7f5-7d56-2c88-ba641d1d484d?t=1739815502831,20260506023545
