codigo,descripcion,nivel,ponderacion_publicada,ponderacion,nota,padre,fuente,archivo_origen
0,TOTAL GENERAL,0,"100,000",100,,,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
10000000,ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS,1,"26,865",26.865,,0,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
10100000,CEREALES Y DERIVADOS,2,"3,866",3.866,,10000000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
10101000,PRODUCTOS PANIFICADOS,3,"2,694",2.694,,10100000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
10101001,PAN FELIPE,4,"0,355",0.355,,10101000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
10101002,PAN DE SÁNDWICH,4,"0,079",0.079,,10101000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
10101003,PANCITO DE VIENA,4,"0,068",0.068,,10101000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
10101004,PAN FRANCÉS,4,"0,059",0.059,,10101000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
10101005,GALLETA CON GRASA,4,"0,887",0.887,,10101000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
10101006,PALITO,4,"0,046",0.046,,10101000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
10101007,CHIPA DE ALMIDÓN,4,"0,050",0.05,,10101000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
10101008,COQUITO,4,"0,114",0.114,,10101000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
10101009,EMPANADA DE CARNE,4,"0,383",0.383,,10101000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
10101010,GALLETITA INTEGRAL,4,"0,132",0.132,,10101000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
10101011,GALLETITA SIN RELLENO,4,"0,052",0.052,,10101000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
10101012,GALLETITA RELLENA,4,"0,130",0.13,,10101000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
10101013,MASITAS,4,"0,155",0.155,,10101000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
10101014,ROSQUITAS,4,"0,049",0.049,,10101000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
10101015,TORTA ENTERA,4,"0,057",0.057,,10101000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
10101016,DISCOS PARA EMPANADA,4,"0,055",0.055,,10101000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
10101017,PREPIZZA,4,"0,020",0.02,,10101000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
10102000,HARINAS,3,"0,279",0.279,,10100000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
10102018,ALMIDÓN DE MANDIOCA,4,"0,057",0.057,,10102000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
10102019,HARINA DE MAÍZ,4,"0,088",0.088,,10102000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
10102020,HARINA DE TRIGO,4,"0,134",0.134,,10102000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
10103000,PASTAS ALIMENTICIAS Y ARROZ,3,"0,800",0.8,,10100000,"BCP, Metodología IPC base dic-2017, Anexo 2",raw/bcp_metodologia_ipc_base_dic2017.pdf
