episodio,decreto_numero,fecha_decreto,porcentaje_publicado,vigencia_publicada,fecha_decreto_iso,porcentaje_ajuste,vigencia_iso,nota,fuente,archivo_origen
0,,1/6/1989,15,1/6/1989,1989-06-01,15,1989-06-01,,"MTESS, Reporte técnico ingresos laborales y salario mínimo (2026), Tabla 1; según Gaceta Oficial",raw/mtess_reporte_tecnico_salario_minimo_2026.pdf
1,4.536,23/1/1990,"12,5",1/1/1990,1990-01-23,12.5,1990-01-01,,"MTESS, Reporte técnico ingresos laborales y salario mínimo (2026), Tabla 1; según Gaceta Oficial",raw/mtess_reporte_tecnico_salario_minimo_2026.pdf
2,6.451,20/7/1990,15,1/7/1990,1990-07-20,15,1990-07-01,,"MTESS, Reporte técnico ingresos laborales y salario mínimo (2026), Tabla 1; según Gaceta Oficial",raw/mtess_reporte_tecnico_salario_minimo_2026.pdf
3,,1/10/1990,15,1/10/1990,1990-10-01,15,1990-10-01,,"MTESS, Reporte técnico ingresos laborales y salario mínimo (2026), Tabla 1; según Gaceta Oficial",raw/mtess_reporte_tecnico_salario_minimo_2026.pdf
4,14.213,10/7/1992,10,1/7/1992,1992-07-10,10,1992-07-01,,"MTESS, Reporte técnico ingresos laborales y salario mínimo (2026), Tabla 1; según Gaceta Oficial",raw/mtess_reporte_tecnico_salario_minimo_2026.pdf
5,18.090,20/4/1993,"11,3",1/4/1993,1993-04-20,11.3,1993-04-01,,"MTESS, Reporte técnico ingresos laborales y salario mínimo (2026), Tabla 1; según Gaceta Oficial",raw/mtess_reporte_tecnico_salario_minimo_2026.pdf
6,1.839,4/1/1994,15,1/1/1994,1994-01-04,15,1994-01-01,,"MTESS, Reporte técnico ingresos laborales y salario mínimo (2026), Tabla 1; según Gaceta Oficial",raw/mtess_reporte_tecnico_salario_minimo_2026.pdf
7,4.548,11/7/1994,10,1/7/1994,1994-07-11,10,1994-07-01,,"MTESS, Reporte técnico ingresos laborales y salario mínimo (2026), Tabla 1; según Gaceta Oficial",raw/mtess_reporte_tecnico_salario_minimo_2026.pdf
8,8.649,28/4/1995,15,1/5/1995,1995-04-28,15,1995-05-01,,"MTESS, Reporte técnico ingresos laborales y salario mínimo (2026), Tabla 1; según Gaceta Oficial",raw/mtess_reporte_tecnico_salario_minimo_2026.pdf
9,13.032,16/4/1996,10,1/4/1996,1996-04-16,10,1996-04-01,,"MTESS, Reporte técnico ingresos laborales y salario mínimo (2026), Tabla 1; según Gaceta Oficial",raw/mtess_reporte_tecnico_salario_minimo_2026.pdf
10,16.037,15/1/1997,10,15/1/1997,1997-01-15,10,1997-01-15,,"MTESS, Reporte técnico ingresos laborales y salario mínimo (2026), Tabla 1; según Gaceta Oficial",raw/mtess_reporte_tecnico_salario_minimo_2026.pdf
11,20.313,24/3/1998,12,15/3/1998,1998-03-24,12,1998-03-15,,"MTESS, Reporte técnico ingresos laborales y salario mínimo (2026), Tabla 1; según Gaceta Oficial",raw/mtess_reporte_tecnico_salario_minimo_2026.pdf
12,7.191,20/1/2000,15,1/2/2000,2000-01-20,15,2000-02-01,,"MTESS, Reporte técnico ingresos laborales y salario mínimo (2026), Tabla 1; según Gaceta Oficial",raw/mtess_reporte_tecnico_salario_minimo_2026.pdf
13,12.918,26/4/2001,15,1/5/2001,2001-04-26,15,2001-05-01,,"MTESS, Reporte técnico ingresos laborales y salario mínimo (2026), Tabla 1; según Gaceta Oficial",raw/mtess_reporte_tecnico_salario_minimo_2026.pdf
14,18.264,14/8/2002,12,1/8/2002,2002-08-14,12,2002-08-01,,"MTESS, Reporte técnico ingresos laborales y salario mínimo (2026), Tabla 1; según Gaceta Oficial",raw/mtess_reporte_tecnico_salario_minimo_2026.pdf
15,20.400,18/2/2003,11,1/2/2003,2003-02-18,11,2003-02-01,,"MTESS, Reporte técnico ingresos laborales y salario mínimo (2026), Tabla 1; según Gaceta Oficial",raw/mtess_reporte_tecnico_salario_minimo_2026.pdf
16,5.078,15/4/2005,12,1/4/2005,2005-04-15,12,2005-04-01,,"MTESS, Reporte técnico ingresos laborales y salario mínimo (2026), Tabla 1; según Gaceta Oficial",raw/mtess_reporte_tecnico_salario_minimo_2026.pdf
17,7.402,26/4/2006,12,1/4/2006,2006-04-26,12,2006-04-01,,"MTESS, Reporte técnico ingresos laborales y salario mínimo (2026), Tabla 1; según Gaceta Oficial",raw/mtess_reporte_tecnico_salario_minimo_2026.pdf
18,11.137,24/10/2007,10,1/10/2007,2007-10-24,10,2007-10-01,,"MTESS, Reporte técnico ingresos laborales y salario mínimo (2026), Tabla 1; según Gaceta Oficial",raw/mtess_reporte_tecnico_salario_minimo_2026.pdf
19,1.946,30/4/2009,5,1/5/2009,2009-04-30,5,2009-05-01,,"MTESS, Reporte técnico ingresos laborales y salario mínimo (2026), Tabla 1; según Gaceta Oficial",raw/mtess_reporte_tecnico_salario_minimo_2026.pdf
20,4.686,12/7/2010,7,1/7/2010,2010-07-12,7,2010-07-01,,"MTESS, Reporte técnico ingresos laborales y salario mínimo (2026), Tabla 1; según Gaceta Oficial",raw/mtess_reporte_tecnico_salario_minimo_2026.pdf
21,6.472,20/4/2011,10,1/4/2011,2011-04-20,10,2011-04-01,,"MTESS, Reporte técnico ingresos laborales y salario mínimo (2026), Tabla 1; según Gaceta Oficial",raw/mtess_reporte_tecnico_salario_minimo_2026.pdf
22,1.324,28/2/2014,10,1/3/2014,2014-02-28,10,2014-03-01,,"MTESS, Reporte técnico ingresos laborales y salario mínimo (2026), Tabla 1; según Gaceta Oficial",raw/mtess_reporte_tecnico_salario_minimo_2026.pdf
