path,bytes,sha256,url,motivo,eliminado_utc
raw/ine/eigcv_2011_12/documentacion/CUESTIONARIO 1  para personas.pdf,7067410,dbe38d1803044ddafe2a316e04294f7aa8d440634463989488b005ee844f086b,https://www.ine.gov.py/microdatos/register/eig/Cuestionarios/CUESTIONARIO 1  para personas.pdf,A pedido del usuario: la EIGyCV 2011/12 no es la base de la canasta del IPC 2017 (EPF 2015/16),2026-09-23T18:53:08.121571+00:00
raw/ine/eigcv_2011_12/documentacion/Cuestionario 2 Gastos del hogar.pdf,150278,9adebc53ee95bd186507de754ae7d82e7ac5fb9eea0d6a5a880f29109ec5263d,https://www.ine.gov.py/microdatos/register/eig/Cuestionarios/Cuestionario 2 Gastos del hogar.pdf,A pedido del usuario: la EIGyCV 2011/12 no es la base de la canasta del IPC 2017 (EPF 2015/16),2026-09-23T18:53:08.121571+00:00
raw/ine/eigcv_2011_12/documentacion/Cuestionario 3 Activ.Independiente no agrop.pdf,102956,8a3372a5fc2b906c4c510e0563c373a98978610d3f3ea056a6c58cc115f304a0,https://www.ine.gov.py/microdatos/register/eig/Cuestionarios/Cuestionario 3 Activ.Independiente no agrop.pdf,A pedido del usuario: la EIGyCV 2011/12 no es la base de la canasta del IPC 2017 (EPF 2015/16),2026-09-23T18:53:08.121571+00:00
raw/ine/eigcv_2011_12/documentacion/Cuestionario 4 Activ. agropecuaria.pdf,298294,82fba041ffbebceffd02c49fc8b303716f6a32b4d23142f1419b118c93f36f59,https://www.ine.gov.py/microdatos/register/eig/Cuestionarios/Cuestionario 4 Activ. agropecuaria.pdf,A pedido del usuario: la EIGyCV 2011/12 no es la base de la canasta del IPC 2017 (EPF 2015/16),2026-09-23T18:53:08.121571+00:00
raw/ine/eigcv_2011_12/documentacion/Diccionario Agregado.pdf,472661,d12f24f02b8669553fb5e28d1e1f81ed1a017ebff9650b9388a02205c130c288,https://www.ine.gov.py/microdatos/register/eig/Diccionarios/Diccionario Agregado.pdf,A pedido del usuario: la EIGyCV 2011/12 no es la base de la canasta del IPC 2017 (EPF 2015/16),2026-09-23T18:53:08.121571+00:00
raw/ine/eigcv_2011_12/documentacion/Metodologia EIG y CV.pdf,200963,2273eb92830325cf66e9f01ff6d054bf2deae15baafefabfcba27d3a7c933748,https://www.ine.gov.py/microdatos/register/eig/Metodologia EIG y CV.pdf,A pedido del usuario: la EIGyCV 2011/12 no es la base de la canasta del IPC 2017 (EPF 2015/16),2026-09-23T18:53:08.121571+00:00
raw/ine/eigcv_2011_12/documentacion/REG02t.pdf,581214,543feb2fb2c40a63c64295f0dca4a355102b893bad49637da43291270722c3f3,https://www.ine.gov.py/microdatos/register/eig/Diccionarios/REG02t.pdf,A pedido del usuario: la EIGyCV 2011/12 no es la base de la canasta del IPC 2017 (EPF 2015/16),2026-09-23T18:53:08.121571+00:00
raw/ine/eigcv_2011_12/documentacion/diccionario sumaria_hogar .pdf,439314,e7edcda666931570f72535a9d11628f3f72be2394a4f60fe6af966703f74fc28,https://www.ine.gov.py/microdatos/register/eig/Diccionarios/diccionario sumaria_hogar .pdf,A pedido del usuario: la EIGyCV 2011/12 no es la base de la canasta del IPC 2017 (EPF 2015/16),2026-09-23T18:53:08.121571+00:00
raw/ine/eigcv_2011_12/documentacion/reg01.pdf,391633,ccc0e85cf51f0459140afc70f7f1abd4c6981dddcbb8be17b219f036b9b55d3b,https://www.ine.gov.py/microdatos/register/eig/Diccionarios/reg01.pdf,A pedido del usuario: la EIGyCV 2011/12 no es la base de la canasta del IPC 2017 (EPF 2015/16),2026-09-23T18:53:08.121571+00:00
raw/ine/eigcv_2011_12/microdatos/Agregado_a_nivel_de_transaccion_agregado.dta,746020218,fbeb01590cbeae5d0b2c6442b0cc6d8727dcc1acc1df37e4b7e12a8f5b9e919c,https://www.ine.gov.py/microdatos/register/eig/Bases de datos/Agregado_a_nivel_de_transaccion_agregado.dta,A pedido del usuario: la EIGyCV 2011/12 no es la base de la canasta del IPC 2017 (EPF 2015/16),2026-09-23T18:53:08.121571+00:00
