series_id,period,value
banking_indicators:x1:06bffc92908b1fc0cf19dee6,2016-01-01,1086221
banking_indicators:x1:06bffc92908b1fc0cf19dee6,2016-02-01,1087384
banking_indicators:x1:06bffc92908b1fc0cf19dee6,2016-03-01,1081873
banking_indicators:x1:06bffc92908b1fc0cf19dee6,2016-04-01,1084673
banking_indicators:x1:06bffc92908b1fc0cf19dee6,2016-05-01,1085873
banking_indicators:x1:06bffc92908b1fc0cf19dee6,2016-06-01,1085651
banking_indicators:x1:06bffc92908b1fc0cf19dee6,2016-07-01,1086650
banking_indicators:x1:06bffc92908b1fc0cf19dee6,2016-08-01,1087932
banking_indicators:x1:06bffc92908b1fc0cf19dee6,2016-09-01,1089128
banking_indicators:x1:06bffc92908b1fc0cf19dee6,2016-10-01,1093667
banking_indicators:x1:06bffc92908b1fc0cf19dee6,2016-11-01,1094082
banking_indicators:x1:06bffc92908b1fc0cf19dee6,2016-12-01,1092626
banking_indicators:x1:06bffc92908b1fc0cf19dee6,2017-01-01,1083660
banking_indicators:x1:06bffc92908b1fc0cf19dee6,2017-02-01,1076451
banking_indicators:x1:06bffc92908b1fc0cf19dee6,2017-03-01,1076154
banking_indicators:x1:06bffc92908b1fc0cf19dee6,2017-04-01,1072186
banking_indicators:x1:06bffc92908b1fc0cf19dee6,2017-05-01,1073410
banking_indicators:x1:06bffc92908b1fc0cf19dee6,2017-06-01,1070106
banking_indicators:x1:06bffc92908b1fc0cf19dee6,2017-07-01,1065243
banking_indicators:x1:06bffc92908b1fc0cf19dee6,2017-08-01,1065470
banking_indicators:x1:06bffc92908b1fc0cf19dee6,2017-09-01,1064084
banking_indicators:x1:06bffc92908b1fc0cf19dee6,2017-10-01,1066638
banking_indicators:x1:06bffc92908b1fc0cf19dee6,2017-11-01,1066717
banking_indicators:x1:06bffc92908b1fc0cf19dee6,2017-12-01,1062683
banking_indicators:x1:06bffc92908b1fc0cf19dee6,2018-01-01,1060654
banking_indicators:x1:06bffc92908b1fc0cf19dee6,2018-02-01,1055381
banking_indicators:x1:06bffc92908b1fc0cf19dee6,2018-03-01,1053856
banking_indicators:x1:06bffc92908b1fc0cf19dee6,2018-04-01,1055524
banking_indicators:x1:06bffc92908b1fc0cf19dee6,2018-05-01,1059938
banking_indicators:x1:06bffc92908b1fc0cf19dee6,2018-06-01,1062190
banking_indicators:x1:06bffc92908b1fc0cf19dee6,2018-07-01,1062603
banking_indicators:x1:06bffc92908b1fc0cf19dee6,2018-08-01,1064728
banking_indicators:x1:06bffc92908b1fc0cf19dee6,2018-09-01,1067388
banking_indicators:x1:06bffc92908b1fc0cf19dee6,2018-10-01,1070612
banking_indicators:x1:06bffc92908b1fc0cf19dee6,2018-11-01,1073923
