series_id,period,value
credit_survey:indices:d739420da2ba65ebe50ce881,2015-03-31,62.732919254658384
credit_survey:indices:d739420da2ba65ebe50ce881,2015-06-30,55.952380952380956
credit_survey:indices:d739420da2ba65ebe50ce881,2015-09-30,59.855769230769226
credit_survey:indices:d739420da2ba65ebe50ce881,2015-12-31,55.172413793103445
credit_survey:indices:d739420da2ba65ebe50ce881,2016-03-31,48.275862068965516
credit_survey:indices:d739420da2ba65ebe50ce881,2016-06-30,43.103448275862064
credit_survey:indices:d739420da2ba65ebe50ce881,2016-09-30,48.491379310344826
credit_survey:indices:d739420da2ba65ebe50ce881,2016-12-31,57.11206896551724
credit_survey:indices:d739420da2ba65ebe50ce881,2017-03-31,50.0
credit_survey:indices:d739420da2ba65ebe50ce881,2017-06-30,50.863125
credit_survey:indices:d739420da2ba65ebe50ce881,2017-09-30,53.881347033675844
credit_survey:indices:d739420da2ba65ebe50ce881,2017-12-31,63.7932974162177
credit_survey:indices:d739420da2ba65ebe50ce881,2018-03-31,56.46578664466612
credit_survey:indices:d739420da2ba65ebe50ce881,2018-06-30,55.80367745403182
credit_survey:indices:d739420da2ba65ebe50ce881,2018-09-30,62.498125
credit_survey:indices:d739420da2ba65ebe50ce881,2018-12-31,65.51894398679984
credit_survey:indices:d739420da2ba65ebe50ce881,2019-03-31,44.86681083513544
credit_survey:indices:d739420da2ba65ebe50ce881,2019-06-30,39.95662391559789
credit_survey:indices:d739420da2ba65ebe50ce881,2019-09-30,41.964899561244515
credit_survey:indices:d739420da2ba65ebe50ce881,2019-12-31,61.38346541336467
credit_survey:indices:d739420da2ba65ebe50ce881,2020-03-31,43.269002412409534
credit_survey:indices:d739420da2ba65ebe50ce881,2020-06-30,31.920000000000005
credit_survey:indices:d739420da2ba65ebe50ce881,2020-09-30,46.205
credit_survey:indices:d739420da2ba65ebe50ce881,2020-12-31,46.87507812304692
credit_survey:indices:d739420da2ba65ebe50ce881,2021-03-31,50.44562499999999
credit_survey:indices:d739420da2ba65ebe50ce881,2021-06-30,62.94733815827303
credit_survey:indices:d739420da2ba65ebe50ce881,2021-09-30,65.62726568164204
credit_survey:indices:d739420da2ba65ebe50ce881,2021-12-31,72.76846539418257
credit_survey:indices:d739420da2ba65ebe50ce881,2022-03-31,59.82324779059738
credit_survey:indices:d739420da2ba65ebe50ce881,2022-06-30,62.50125
credit_survey:indices:d739420da2ba65ebe50ce881,2022-09-30,62.038425960649015
credit_survey:indices:d739420da2ba65ebe50ce881,2022-12-31,66.34687500000001
credit_survey:indices:d739420da2ba65ebe50ce881,2023-03-31,60.096123798452524
credit_survey:indices:d739420da2ba65ebe50ce881,2023-06-30,61.5
credit_survey:indices:d739420da2ba65ebe50ce881,2023-09-30,66.25
credit_survey:indices:d739420da2ba65ebe50ce881,2023-12-31,67.0
credit_survey:indices:d739420da2ba65ebe50ce881,2024-03-31,58.5
credit_survey:indices:d739420da2ba65ebe50ce881,2024-06-30,62.77046536918288
credit_survey:indices:d739420da2ba65ebe50ce881,2024-09-30,67.93290083873951
credit_survey:indices:d739420da2ba65ebe50ce881,2024-12-31,70.92260193495163
credit_survey:indices:d739420da2ba65ebe50ce881,2025-03-31,64.67312500000001
credit_survey:indices:d739420da2ba65ebe50ce881,2025-06-30,60.86964674116852
credit_survey:indices:d739420da2ba65ebe50ce881,2025-09-30,66.76124999999999
credit_survey:indices:d739420da2ba65ebe50ce881,2025-12-31,73.57845526930913
credit_survey:indices:d739420da2ba65ebe50ce881,2026-03-31,61.6473544080699
credit_survey:indices:d739420da2ba65ebe50ce881,2026-06-30,62.78234022074724
credit_survey:indices_10:0496495d687f178e8c6519a7,2015-03-31,65.21739130434783
credit_survey:indices_10:0496495d687f178e8c6519a7,2015-06-30,58.333333333333336
credit_survey:indices_10:0496495d687f178e8c6519a7,2015-09-30,63.46153846153846
credit_survey:indices_10:0496495d687f178e8c6519a7,2015-12-31,62.0
credit_survey:indices_10:0496495d687f178e8c6519a7,2016-03-31,53.44827586206896
credit_survey:indices_10:0496495d687f178e8c6519a7,2016-06-30,48.275862068965516
credit_survey:indices_10:0496495d687f178e8c6519a7,2016-09-30,56.896551724137936
credit_survey:indices_10:0496495d687f178e8c6519a7,2016-12-31,55.172413793103445
credit_survey:indices_10:0496495d687f178e8c6519a7,2017-03-31,46.573286643321666
credit_survey:indices_10:0496495d687f178e8c6519a7,2017-06-30,48.28
credit_survey:indices_10:0496495d687f178e8c6519a7,2017-09-30,50.000000000000014
credit_survey:indices_10:0496495d687f178e8c6519a7,2017-12-31,60.34500000000001
credit_survey:indices_10:0496495d687f178e8c6519a7,2018-03-31,62.07
credit_survey:indices_10:0496495d687f178e8c6519a7,2018-06-30,57.14499999999999
credit_survey:indices_10:0496495d687f178e8c6519a7,2018-09-30,63.79
