series_id,period,value
direct_investment:cuadro_1:3524c59a42c663f42ba9c3fa,1996-03-31,4480944.79203438
direct_investment:cuadro_1:3524c59a42c663f42ba9c3fa,1996-06-30,6472438.94739732
direct_investment:cuadro_1:3524c59a42c663f42ba9c3fa,1996-09-30,1419403.7119856
direct_investment:cuadro_1:3524c59a42c663f42ba9c3fa,1996-12-31,6330072.24364413
direct_investment:cuadro_1:3524c59a42c663f42ba9c3fa,1997-03-31,12882326.5350579
direct_investment:cuadro_1:3524c59a42c663f42ba9c3fa,1997-06-30,12143541.2499304
direct_investment:cuadro_1:3524c59a42c663f42ba9c3fa,1997-09-30,12013961.8255256
direct_investment:cuadro_1:3524c59a42c663f42ba9c3fa,1997-12-31,24750437.9623916
direct_investment:cuadro_1:3524c59a42c663f42ba9c3fa,1998-03-31,17868330.1609124
direct_investment:cuadro_1:3524c59a42c663f42ba9c3fa,1998-06-30,19650352.3186868
direct_investment:cuadro_1:3524c59a42c663f42ba9c3fa,1998-09-30,19113163.9053316
direct_investment:cuadro_1:3524c59a42c663f42ba9c3fa,1998-12-31,19274480.9788435
direct_investment:cuadro_1:3524c59a42c663f42ba9c3fa,1999-03-31,15521939.5319381
direct_investment:cuadro_1:3524c59a42c663f42ba9c3fa,1999-06-30,15330639.6299249
direct_investment:cuadro_1:3524c59a42c663f42ba9c3fa,1999-09-30,15606779.3955672
direct_investment:cuadro_1:3524c59a42c663f42ba9c3fa,1999-12-31,15577067.0677894
direct_investment:cuadro_1:3524c59a42c663f42ba9c3fa,2000-03-31,14751606.424653
direct_investment:cuadro_1:3524c59a42c663f42ba9c3fa,2000-06-30,14407765.4193345
direct_investment:cuadro_1:3524c59a42c663f42ba9c3fa,2000-09-30,16473910.337757697
direct_investment:cuadro_1:3524c59a42c663f42ba9c3fa,2000-12-31,16922131.0042529
direct_investment:cuadro_1:3524c59a42c663f42ba9c3fa,2001-03-31,25472827.9981031
direct_investment:cuadro_1:3524c59a42c663f42ba9c3fa,2001-06-30,17738709.1197862
direct_investment:cuadro_1:3524c59a42c663f42ba9c3fa,2001-09-30,4821388.86607374
direct_investment:cuadro_1:3524c59a42c663f42ba9c3fa,2001-12-31,13223609.9569357
