series_id,period,value
exchange_houses:x1_eeff:df18de90998cebe03071f6d6,2016-07-31,58832190.882
exchange_houses:x1_eeff:df18de90998cebe03071f6d6,2017-07-31,64583643.236
exchange_houses:x1_eeff:df18de90998cebe03071f6d6,2018-07-31,68424615.749
exchange_houses:x1_eeff:df18de90998cebe03071f6d6,2019-07-31,71157155.325
exchange_houses:x1_eeff:df18de90998cebe03071f6d6,2020-07-31,68858397.148
exchange_houses:x1_eeff:df18de90998cebe03071f6d6,2021-07-31,69022194.936
exchange_houses:x1_eeff:df18de90998cebe03071f6d6,2022-07-31,73860965.664
exchange_houses:x1_eeff:df18de90998cebe03071f6d6,2023-07-31,75535396.197
exchange_houses:x1_eeff:df18de90998cebe03071f6d6,2024-07-31,76099684.652
exchange_houses:x1_eeff:df18de90998cebe03071f6d6,2025-07-31,72331316.978
exchange_houses:x1_eeff:df18de90998cebe03071f6d6,2026-07-31,45376062.024
exchange_houses:x1_eeff_100:d7c470cacac1818b0641478f,2016-07-31,212964.205
exchange_houses:x1_eeff_100:d7c470cacac1818b0641478f,2017-07-31,302338.538
exchange_houses:x1_eeff_100:d7c470cacac1818b0641478f,2018-07-31,206656.222
exchange_houses:x1_eeff_100:d7c470cacac1818b0641478f,2019-07-31,254107.493
exchange_houses:x1_eeff_100:d7c470cacac1818b0641478f,2020-07-31,244349.16
exchange_houses:x1_eeff_100:d7c470cacac1818b0641478f,2021-07-31,215074.539
exchange_houses:x1_eeff_100:d7c470cacac1818b0641478f,2022-07-31,186197.287
exchange_houses:x1_eeff_100:d7c470cacac1818b0641478f,2023-07-31,271498.07
exchange_houses:x1_eeff_100:d7c470cacac1818b0641478f,2024-07-31,341493.734
exchange_houses:x1_eeff_100:d7c470cacac1818b0641478f,2025-07-31,307172.203
exchange_houses:x1_eeff_100:d7c470cacac1818b0641478f,2026-07-31,234187.448
exchange_houses:x1_eeff_101:93f3c126e67c7327bebc1e6a,2016-07-31,382848.547
exchange_houses:x1_eeff_101:93f3c126e67c7327bebc1e6a,2017-07-31,290824.29
exchange_houses:x1_eeff_101:93f3c126e67c7327bebc1e6a,2018-07-31,218696.326
exchange_houses:x1_eeff_101:93f3c126e67c7327bebc1e6a,2019-07-31,156011.927
exchange_houses:x1_eeff_101:93f3c126e67c7327bebc1e6a,2020-07-31,105370.147
exchange_houses:x1_eeff_101:93f3c126e67c7327bebc1e6a,2021-07-31,72190.971
exchange_houses:x1_eeff_101:93f3c126e67c7327bebc1e6a,2022-07-31,58660.592
exchange_houses:x1_eeff_101:93f3c126e67c7327bebc1e6a,2023-07-31,36633.796
exchange_houses:x1_eeff_101:93f3c126e67c7327bebc1e6a,2024-07-31,54120.312
exchange_houses:x1_eeff_101:93f3c126e67c7327bebc1e6a,2025-07-31,42601.17
exchange_houses:x1_eeff_101:93f3c126e67c7327bebc1e6a,2026-07-31,60404.889
exchange_houses:x1_eeff_102:f27f3e707ce7a73f40da72fc,2016-07-31,223123.77152
exchange_houses:x1_eeff_102:f27f3e707ce7a73f40da72fc,2017-07-31,260332.66132
exchange_houses:x1_eeff_102:f27f3e707ce7a73f40da72fc,2018-07-31,294367.18193
exchange_houses:x1_eeff_102:f27f3e707ce7a73f40da72fc,2019-07-31,294406.8675
exchange_houses:x1_eeff_102:f27f3e707ce7a73f40da72fc,2020-07-31,0.0
exchange_houses:x1_eeff_102:f27f3e707ce7a73f40da72fc,2021-07-31,0.0
exchange_houses:x1_eeff_102:f27f3e707ce7a73f40da72fc,2022-07-31,0.0
exchange_houses:x1_eeff_102:f27f3e707ce7a73f40da72fc,2023-07-31,0.0
exchange_houses:x1_eeff_102:f27f3e707ce7a73f40da72fc,2024-07-31,0.0
exchange_houses:x1_eeff_102:f27f3e707ce7a73f40da72fc,2025-07-31,0.0
exchange_houses:x1_eeff_102:f27f3e707ce7a73f40da72fc,2026-07-31,0.0
exchange_houses:x1_eeff_103:58b7b239255057b8352edd03,2016-07-31,1117312.396
exchange_houses:x1_eeff_103:58b7b239255057b8352edd03,2017-07-31,1194078.027
exchange_houses:x1_eeff_103:58b7b239255057b8352edd03,2018-07-31,1315815.448
exchange_houses:x1_eeff_103:58b7b239255057b8352edd03,2019-07-31,1599336.218
exchange_houses:x1_eeff_103:58b7b239255057b8352edd03,2020-07-31,1388602.315
exchange_houses:x1_eeff_103:58b7b239255057b8352edd03,2021-07-31,1581528.678
exchange_houses:x1_eeff_103:58b7b239255057b8352edd03,2022-07-31,767927.426
exchange_houses:x1_eeff_103:58b7b239255057b8352edd03,2023-07-31,700183.552
exchange_houses:x1_eeff_103:58b7b239255057b8352edd03,2024-07-31,567554.457
exchange_houses:x1_eeff_103:58b7b239255057b8352edd03,2025-07-31,450444.214
exchange_houses:x1_eeff_103:58b7b239255057b8352edd03,2026-07-31,470489.811
exchange_houses:x1_eeff_104:bd079eb8336946ed98d82e05,2016-07-31,80305.219
exchange_houses:x1_eeff_104:bd079eb8336946ed98d82e05,2017-07-31,186503.809
exchange_houses:x1_eeff_104:bd079eb8336946ed98d82e05,2018-07-31,354167.538
exchange_houses:x1_eeff_104:bd079eb8336946ed98d82e05,2019-07-31,696066.734
exchange_houses:x1_eeff_104:bd079eb8336946ed98d82e05,2020-07-31,603210.119
exchange_houses:x1_eeff_104:bd079eb8336946ed98d82e05,2021-07-31,437853.597
exchange_houses:x1_eeff_104:bd079eb8336946ed98d82e05,2022-07-31,380627.145
exchange_houses:x1_eeff_104:bd079eb8336946ed98d82e05,2023-07-31,346409.917
exchange_houses:x1_eeff_104:bd079eb8336946ed98d82e05,2024-07-31,275548.747
exchange_houses:x1_eeff_104:bd079eb8336946ed98d82e05,2025-07-31,242993.914
exchange_houses:x1_eeff_104:bd079eb8336946ed98d82e05,2026-07-31,0.0
exchange_houses:x1_eeff_105:86eb1c7903059b7b2cff81f8,2016-07-31,469548.395
exchange_houses:x1_eeff_105:86eb1c7903059b7b2cff81f8,2017-07-31,754241.287
