series_id,period,value
exchange_rates:cotizaciones_diarias:130c373fc04a780c576e7a02,2026-07-01,680
exchange_rates:cotizaciones_diarias:130c373fc04a780c576e7a02,2026-07-02,680
exchange_rates:cotizaciones_diarias:130c373fc04a780c576e7a02,2026-07-03,680
exchange_rates:cotizaciones_diarias:130c373fc04a780c576e7a02,2026-07-06,680
exchange_rates:cotizaciones_diarias:130c373fc04a780c576e7a02,2026-07-07,680
exchange_rates:cotizaciones_diarias:130c373fc04a780c576e7a02,2026-07-08,680
exchange_rates:cotizaciones_diarias:130c373fc04a780c576e7a02,2026-07-09,680
exchange_rates:cotizaciones_diarias:130c373fc04a780c576e7a02,2026-07-10,680
exchange_rates:cotizaciones_diarias:130c373fc04a780c576e7a02,2026-07-13,680
exchange_rates:cotizaciones_diarias:130c373fc04a780c576e7a02,2026-07-14,680
exchange_rates:cotizaciones_diarias:130c373fc04a780c576e7a02,2026-07-15,680
exchange_rates:cotizaciones_diarias:130c373fc04a780c576e7a02,2026-07-16,680
exchange_rates:cotizaciones_diarias:130c373fc04a780c576e7a02,2026-07-17,680
exchange_rates:cotizaciones_diarias:130c373fc04a780c576e7a02,2026-07-20,680
exchange_rates:cotizaciones_diarias:130c373fc04a780c576e7a02,2026-07-21,680
exchange_rates:cotizaciones_diarias:130c373fc04a780c576e7a02,2026-07-22,680
exchange_rates:cotizaciones_diarias:130c373fc04a780c576e7a02,2026-07-23,680
exchange_rates:cotizaciones_diarias:130c373fc04a780c576e7a02,2026-07-24,680
exchange_rates:cotizaciones_diarias:130c373fc04a780c576e7a02,2026-07-27,680
exchange_rates:cotizaciones_diarias:130c373fc04a780c576e7a02,2026-07-28,680
exchange_rates:cotizaciones_diarias:130c373fc04a780c576e7a02,2026-07-29,680
exchange_rates:cotizaciones_diarias:130c373fc04a780c576e7a02,2026-07-30,680
exchange_rates:cotizaciones_diarias:130c373fc04a780c576e7a02,2026-07-31,680
exchange_rates:cotizaciones_diarias:14fc4565ca8d7d8f71dc6f33,2026-07-01,4500
exchange_rates:cotizaciones_diarias:14fc4565ca8d7d8f71dc6f33,2026-07-02,4500
exchange_rates:cotizaciones_diarias:14fc4565ca8d7d8f71dc6f33,2026-07-03,4500
exchange_rates:cotizaciones_diarias:14fc4565ca8d7d8f71dc6f33,2026-07-06,4500
exchange_rates:cotizaciones_diarias:14fc4565ca8d7d8f71dc6f33,2026-07-07,4500
exchange_rates:cotizaciones_diarias:14fc4565ca8d7d8f71dc6f33,2026-07-08,4500
exchange_rates:cotizaciones_diarias:14fc4565ca8d7d8f71dc6f33,2026-07-09,4500
exchange_rates:cotizaciones_diarias:14fc4565ca8d7d8f71dc6f33,2026-07-10,4500
exchange_rates:cotizaciones_diarias:14fc4565ca8d7d8f71dc6f33,2026-07-13,4500
exchange_rates:cotizaciones_diarias:14fc4565ca8d7d8f71dc6f33,2026-07-14,4500
exchange_rates:cotizaciones_diarias:14fc4565ca8d7d8f71dc6f33,2026-07-15,4500
exchange_rates:cotizaciones_diarias:14fc4565ca8d7d8f71dc6f33,2026-07-16,4500
exchange_rates:cotizaciones_diarias:14fc4565ca8d7d8f71dc6f33,2026-07-17,4500
exchange_rates:cotizaciones_diarias:14fc4565ca8d7d8f71dc6f33,2026-07-20,4500
exchange_rates:cotizaciones_diarias:14fc4565ca8d7d8f71dc6f33,2026-07-21,4500
exchange_rates:cotizaciones_diarias:14fc4565ca8d7d8f71dc6f33,2026-07-22,4500
exchange_rates:cotizaciones_diarias:14fc4565ca8d7d8f71dc6f33,2026-07-23,4500
exchange_rates:cotizaciones_diarias:14fc4565ca8d7d8f71dc6f33,2026-07-24,4500
exchange_rates:cotizaciones_diarias:14fc4565ca8d7d8f71dc6f33,2026-07-27,4500
exchange_rates:cotizaciones_diarias:14fc4565ca8d7d8f71dc6f33,2026-07-28,4500
exchange_rates:cotizaciones_diarias:14fc4565ca8d7d8f71dc6f33,2026-07-29,4500
exchange_rates:cotizaciones_diarias:14fc4565ca8d7d8f71dc6f33,2026-07-30,4500
exchange_rates:cotizaciones_diarias:14fc4565ca8d7d8f71dc6f33,2026-07-31,4500
exchange_rates:cotizaciones_diarias:1879c929b90877a826420429,2026-07-01,7404.444444444444
exchange_rates:cotizaciones_diarias:1879c929b90877a826420429,2026-07-02,7387.777777777777
exchange_rates:cotizaciones_diarias:1879c929b90877a826420429,2026-07-03,7376.666666666667
exchange_rates:cotizaciones_diarias:1879c929b90877a826420429,2026-07-06,7368.333333333333
exchange_rates:cotizaciones_diarias:1879c929b90877a826420429,2026-07-07,7379.444444444444
exchange_rates:cotizaciones_diarias:1879c929b90877a826420429,2026-07-08,7370.555555555556
exchange_rates:cotizaciones_diarias:1879c929b90877a826420429,2026-07-09,7370.555555555556
exchange_rates:cotizaciones_diarias:1879c929b90877a826420429,2026-07-10,7369.444444444444
exchange_rates:cotizaciones_diarias:1879c929b90877a826420429,2026-07-13,7345.555555555556
exchange_rates:cotizaciones_diarias:1879c929b90877a826420429,2026-07-14,7321.111111111111
exchange_rates:cotizaciones_diarias:1879c929b90877a826420429,2026-07-15,7298.333333333333
exchange_rates:cotizaciones_diarias:1879c929b90877a826420429,2026-07-16,7303.333333333333
exchange_rates:cotizaciones_diarias:1879c929b90877a826420429,2026-07-17,7302.222222222223
exchange_rates:cotizaciones_diarias:1879c929b90877a826420429,2026-07-20,7274.444444444444
exchange_rates:cotizaciones_diarias:1879c929b90877a826420429,2026-07-21,7273.333333333333
exchange_rates:cotizaciones_diarias:1879c929b90877a826420429,2026-07-22,7270.555555555556
exchange_rates:cotizaciones_diarias:1879c929b90877a826420429,2026-07-23,7256.666666666667
exchange_rates:cotizaciones_diarias:1879c929b90877a826420429,2026-07-24,7253.333333333333
exchange_rates:cotizaciones_diarias:1879c929b90877a826420429,2026-07-27,7252.222222222223
exchange_rates:cotizaciones_diarias:1879c929b90877a826420429,2026-07-28,7238.888888888889
exchange_rates:cotizaciones_diarias:1879c929b90877a826420429,2026-07-29,7212.777777777777
exchange_rates:cotizaciones_diarias:1879c929b90877a826420429,2026-07-30,7219.444444444444
exchange_rates:cotizaciones_diarias:1879c929b90877a826420429,2026-07-31,7229.444444444444
exchange_rates:cotizaciones_diarias:1e7960390f0587cc7d3997d3,2026-07-01,3970
exchange_rates:cotizaciones_diarias:1e7960390f0587cc7d3997d3,2026-07-02,3966
exchange_rates:cotizaciones_diarias:1e7960390f0587cc7d3997d3,2026-07-03,3970
exchange_rates:cotizaciones_diarias:1e7960390f0587cc7d3997d3,2026-07-06,3970
exchange_rates:cotizaciones_diarias:1e7960390f0587cc7d3997d3,2026-07-07,3970
exchange_rates:cotizaciones_diarias:1e7960390f0587cc7d3997d3,2026-07-08,3886
exchange_rates:cotizaciones_diarias:1e7960390f0587cc7d3997d3,2026-07-09,3830
exchange_rates:cotizaciones_diarias:1e7960390f0587cc7d3997d3,2026-07-10,3826
exchange_rates:cotizaciones_diarias:1e7960390f0587cc7d3997d3,2026-07-13,3833
exchange_rates:cotizaciones_diarias:1e7960390f0587cc7d3997d3,2026-07-14,3831
