series_id,period,value
fx_operations:financial_sector:net:annual,1990-12-31,154.8
fx_operations:financial_sector:net:annual,1991-12-31,276.7
fx_operations:financial_sector:net:annual,1992-12-31,-2.4000000000000057
fx_operations:financial_sector:net:annual,1993-12-31,49.39999999999998
fx_operations:financial_sector:net:annual,1994-12-31,192.95999999999998
fx_operations:financial_sector:net:annual,1995-12-31,-21
fx_operations:financial_sector:net:annual,1996-12-31,-236.84000000000003
fx_operations:financial_sector:net:annual,1997-12-31,-480.152
fx_operations:financial_sector:net:annual,1998-12-31,-282.505
fx_operations:financial_sector:net:annual,1999-12-31,-521.50842
fx_operations:financial_sector:net:annual,2000-12-31,-459.3999999999999
fx_operations:financial_sector:net:annual,2001-12-31,-233.95000000000005
fx_operations:financial_sector:net:annual,2002-12-31,-182.17899999999997
fx_operations:financial_sector:net:annual,2003-12-31,72.88759999999999
fx_operations:financial_sector:net:annual,2004-12-31,16.985210809999998
fx_operations:financial_sector:net:annual,2005-12-31,-32.88409999999999
fx_operations:financial_sector:net:annual,2006-12-31,3.675099999999997
fx_operations:financial_sector:net:annual,2007-12-31,186.25000000000003
fx_operations:financial_sector:net:annual,2008-12-31,-12.795452409999996
fx_operations:financial_sector:net:annual,2009-12-31,289.09397864000005
fx_operations:financial_sector:net:annual,2010-12-31,-221.805
fx_operations:financial_sector:net:annual,2011-12-31,106.69400000000003
fx_operations:financial_sector:net:annual,2012-12-31,-696.965
fx_operations:financial_sector:net:annual,2013-12-31,-394.47
fx_operations:financial_sector:net:annual,2014-12-31,-578.19
fx_operations:financial_sector:net:annual,2015-12-31,-1540.7350000000001
fx_operations:financial_sector:net:annual,2016-12-31,-429.367
fx_operations:financial_sector:net:annual,2017-12-31,-272.77
fx_operations:financial_sector:net:annual,2018-12-31,-1272.74
fx_operations:financial_sector:net:annual,2019-12-31,-1295.24
fx_operations:financial_sector:net:annual,2020-12-31,-1770.2649999999999
fx_operations:financial_sector:net:annual,2021-12-31,-1502.3
fx_operations:financial_sector:net:annual,2022-12-31,-863.7
fx_operations:financial_sector:net:annual,2023-12-31,-833
fx_operations:financial_sector:net:annual,2024-12-31,-1548.8000000000002
fx_operations:financial_sector:net:annual,2025-12-31,-694.5
fx_operations:financial_sector:net:annual,2026-12-31,0
fx_operations:financial_sector:net:monthly,1995-01-31,-40.8
fx_operations:financial_sector:net:monthly,1995-02-28,-3
fx_operations:financial_sector:net:monthly,1995-03-31,27.299999999999997
fx_operations:financial_sector:net:monthly,1995-04-30,78.7
fx_operations:financial_sector:net:monthly,1995-05-31,43.6
fx_operations:financial_sector:net:monthly,1995-06-30,-32.5
fx_operations:financial_sector:net:monthly,1995-07-31,-12.700000000000003
fx_operations:financial_sector:net:monthly,1995-08-31,-7
fx_operations:financial_sector:net:monthly,1995-09-30,4.6000000000000005
fx_operations:financial_sector:net:monthly,1995-10-31,-22.4
fx_operations:financial_sector:net:monthly,1995-11-30,-24.099999999999998
fx_operations:financial_sector:net:monthly,1995-12-31,-32.7
fx_operations:financial_sector:net:monthly,1996-01-31,-74.8
fx_operations:financial_sector:net:monthly,1996-02-29,-49.1
fx_operations:financial_sector:net:monthly,1996-03-31,-14.699999999999996
fx_operations:financial_sector:net:monthly,1996-04-30,102
fx_operations:financial_sector:net:monthly,1996-05-31,34.599999999999994
fx_operations:financial_sector:net:monthly,1996-06-30,-9.779999999999998
fx_operations:financial_sector:net:monthly,1996-07-31,0.5
fx_operations:financial_sector:net:monthly,1996-08-31,-49.900000000000006
fx_operations:financial_sector:net:monthly,1996-09-30,-45.86
fx_operations:financial_sector:net:monthly,1996-10-31,-31.599999999999998
fx_operations:financial_sector:net:monthly,1996-11-30,-56.2
fx_operations:financial_sector:net:monthly,1996-12-31,-42
