series_id,period,value
insurance_annex:x1_10:31103514434616621273b384,2009-06-30,1663909317.0
insurance_annex:x1_10:31103514434616621273b384,2010-06-30,1320948686.0
insurance_annex:x1_10:31103514434616621273b384,2011-06-30,1158234959.0
insurance_annex:x1_10:31103514434616621273b384,2012-06-30,1549690112.0
insurance_annex:x1_10:31103514434616621273b384,2013-06-30,1798463776.0
insurance_annex:x1_10:31103514434616621273b384,2014-06-30,1196333464.0
insurance_annex:x1_10:31103514434616621273b384,2015-06-30,1349245644.0
insurance_annex:x1_10:31103514434616621273b384,2016-06-30,1489870785.0
insurance_annex:x1_10:31103514434616621273b384,2017-06-30,2788393820.0
insurance_annex:x1_10:31103514434616621273b384,2018-06-30,2943999896.0
insurance_annex:x1_10:31103514434616621273b384,2019-06-30,2077592411.0
insurance_annex:x1_10:31103514434616621273b384,2020-06-30,4909970544.0
insurance_annex:x1_10:31103514434616621273b384,2021-06-30,2039574338.0
insurance_annex:x1_10:31103514434616621273b384,2022-06-30,1667861101.0
insurance_annex:x1_10:31103514434616621273b384,2023-06-30,2738965849.0
insurance_annex:x1_10:31103514434616621273b384,2024-06-30,3110993636.0
insurance_annex:x1_10:31103514434616621273b384,2025-06-30,5934111070.0
insurance_annex:x1_10_10:2dca8041496382f128c0225e,2009-06-30,284182014.0
insurance_annex:x1_10_10:2dca8041496382f128c0225e,2010-06-30,282328827.0
insurance_annex:x1_10_10:2dca8041496382f128c0225e,2011-06-30,504991672.0
insurance_annex:x1_10_10:2dca8041496382f128c0225e,2012-06-30,232016392.0
insurance_annex:x1_10_10:2dca8041496382f128c0225e,2013-06-30,592108936.0
insurance_annex:x1_10_10:2dca8041496382f128c0225e,2014-06-30,670140361.0
insurance_annex:x1_10_10:2dca8041496382f128c0225e,2015-06-30,488506055.0
insurance_annex:x1_10_10:2dca8041496382f128c0225e,2016-06-30,487148946.0
insurance_annex:x1_10_10:2dca8041496382f128c0225e,2017-06-30,722669709.0
insurance_annex:x1_10_10:2dca8041496382f128c0225e,2018-06-30,648012343.0
insurance_annex:x1_10_10:2dca8041496382f128c0225e,2019-06-30,701503446.0
insurance_annex:x1_10_10:2dca8041496382f128c0225e,2020-06-30,593869110.0
insurance_annex:x1_10_10:2dca8041496382f128c0225e,2021-06-30,637687030.0
insurance_annex:x1_10_10:2dca8041496382f128c0225e,2022-06-30,448693434.0
insurance_annex:x1_10_10:2dca8041496382f128c0225e,2023-06-30,1185480436.0
insurance_annex:x1_10_10:2dca8041496382f128c0225e,2024-06-30,639188306.0
insurance_annex:x1_10_10:2dca8041496382f128c0225e,2025-06-30,1404106180.0
insurance_annex:x1_10_11:fe8756466802cb8779b40dba,2009-06-30,11240000.0
insurance_annex:x1_10_11:fe8756466802cb8779b40dba,2010-06-30,11754500.0
insurance_annex:x1_10_11:fe8756466802cb8779b40dba,2011-06-30,19517000.0
insurance_annex:x1_10_11:fe8756466802cb8779b40dba,2012-06-30,10921700.0
insurance_annex:x1_10_11:fe8756466802cb8779b40dba,2013-06-30,40468882.0
insurance_annex:x1_10_11:fe8756466802cb8779b40dba,2014-06-30,65539600.0
insurance_annex:x1_10_11:fe8756466802cb8779b40dba,2015-06-30,9178084.0
insurance_annex:x1_10_11:fe8756466802cb8779b40dba,2016-06-30,85709709.0
insurance_annex:x1_10_11:fe8756466802cb8779b40dba,2017-06-30,40716069.0
insurance_annex:x1_10_11:fe8756466802cb8779b40dba,2018-06-30,48007500.0
insurance_annex:x1_10_11:fe8756466802cb8779b40dba,2019-06-30,114380426.0
insurance_annex:x1_10_11:fe8756466802cb8779b40dba,2020-06-30,177063939.0
insurance_annex:x1_10_11:fe8756466802cb8779b40dba,2021-06-30,299379454.0
insurance_annex:x1_10_11:fe8756466802cb8779b40dba,2022-06-30,226677596.0
insurance_annex:x1_10_11:fe8756466802cb8779b40dba,2023-06-30,60630400.0
insurance_annex:x1_10_11:fe8756466802cb8779b40dba,2024-06-30,136019014.0
insurance_annex:x1_10_11:fe8756466802cb8779b40dba,2025-06-30,464369356.0
insurance_annex:x1_10_12:f69231fbf64522b4af1b58b8,2009-06-30,119140972.0
insurance_annex:x1_10_12:f69231fbf64522b4af1b58b8,2010-06-30,183624220.0
insurance_annex:x1_10_12:f69231fbf64522b4af1b58b8,2011-06-30,155909328.0
insurance_annex:x1_10_12:f69231fbf64522b4af1b58b8,2012-06-30,224044544.0
insurance_annex:x1_10_12:f69231fbf64522b4af1b58b8,2013-06-30,355525077.0
insurance_annex:x1_10_12:f69231fbf64522b4af1b58b8,2014-06-30,505993159.0
insurance_annex:x1_10_12:f69231fbf64522b4af1b58b8,2015-06-30,797700843.0
insurance_annex:x1_10_12:f69231fbf64522b4af1b58b8,2016-06-30,665745175.0
insurance_annex:x1_10_12:f69231fbf64522b4af1b58b8,2017-06-30,293714567.0
insurance_annex:x1_10_12:f69231fbf64522b4af1b58b8,2018-06-30,306428440.0
