series_id,period,value
interbank_market:datos:c9a24050123f53f41de2158e,2010-01-04,5.0
interbank_market:datos:c9a24050123f53f41de2158e,2010-01-05,5.0
interbank_market:datos:c9a24050123f53f41de2158e,2010-01-06,5.0
interbank_market:datos:c9a24050123f53f41de2158e,2010-01-07,5.0
interbank_market:datos:c9a24050123f53f41de2158e,2010-01-08,5.0
interbank_market:datos:c9a24050123f53f41de2158e,2010-01-11,5.0
interbank_market:datos:c9a24050123f53f41de2158e,2010-01-12,5.0
interbank_market:datos:c9a24050123f53f41de2158e,2010-01-13,5.0
interbank_market:datos:c9a24050123f53f41de2158e,2010-01-14,5.0
interbank_market:datos:c9a24050123f53f41de2158e,2010-01-15,5.0
interbank_market:datos:c9a24050123f53f41de2158e,2010-01-18,5.0
interbank_market:datos:c9a24050123f53f41de2158e,2010-01-19,5.0
interbank_market:datos:c9a24050123f53f41de2158e,2010-01-20,5.0
interbank_market:datos:c9a24050123f53f41de2158e,2010-01-21,5.0
interbank_market:datos:c9a24050123f53f41de2158e,2010-01-22,5.0
interbank_market:datos:c9a24050123f53f41de2158e,2010-01-25,5.0
interbank_market:datos:c9a24050123f53f41de2158e,2010-01-26,5.0
interbank_market:datos:c9a24050123f53f41de2158e,2010-01-27,5.0
interbank_market:datos:c9a24050123f53f41de2158e,2010-01-28,5.0
interbank_market:datos:c9a24050123f53f41de2158e,2010-01-29,5.0
interbank_market:datos:c9a24050123f53f41de2158e,2010-02-01,5.0
interbank_market:datos:c9a24050123f53f41de2158e,2010-02-02,5.0
interbank_market:datos:c9a24050123f53f41de2158e,2010-02-03,5.0
interbank_market:datos:c9a24050123f53f41de2158e,2010-02-04,5.0
interbank_market:datos:c9a24050123f53f41de2158e,2010-02-05,5.0
interbank_market:datos:c9a24050123f53f41de2158e,2010-02-08,5.0
interbank_market:datos:c9a24050123f53f41de2158e,2010-02-09,5.0
interbank_market:datos:c9a24050123f53f41de2158e,2010-02-10,5.0
interbank_market:datos:c9a24050123f53f41de2158e,2010-02-11,5.0
interbank_market:datos:c9a24050123f53f41de2158e,2010-02-12,5.0
interbank_market:datos:c9a24050123f53f41de2158e,2010-02-15,5.0
interbank_market:datos:c9a24050123f53f41de2158e,2010-02-16,5.0
interbank_market:datos:c9a24050123f53f41de2158e,2010-02-17,5.0
interbank_market:datos:c9a24050123f53f41de2158e,2010-02-18,5.0
interbank_market:datos:c9a24050123f53f41de2158e,2010-02-19,5.0
interbank_market:datos:c9a24050123f53f41de2158e,2010-02-22,5.0
interbank_market:datos:c9a24050123f53f41de2158e,2010-02-23,5.0
interbank_market:datos:c9a24050123f53f41de2158e,2010-02-24,5.0
interbank_market:datos:c9a24050123f53f41de2158e,2010-02-25,5.0
interbank_market:datos:c9a24050123f53f41de2158e,2010-02-26,5.0
interbank_market:datos:c9a24050123f53f41de2158e,2010-03-02,5.0
interbank_market:datos:c9a24050123f53f41de2158e,2010-03-03,5.0
interbank_market:datos:c9a24050123f53f41de2158e,2010-03-04,5.0
interbank_market:datos:c9a24050123f53f41de2158e,2010-03-05,5.0
interbank_market:datos:c9a24050123f53f41de2158e,2010-03-08,5.0
interbank_market:datos:c9a24050123f53f41de2158e,2010-03-09,5.0
interbank_market:datos:c9a24050123f53f41de2158e,2010-03-10,5.0
interbank_market:datos:c9a24050123f53f41de2158e,2010-03-11,5.0
interbank_market:datos:c9a24050123f53f41de2158e,2010-03-12,5.0
interbank_market:datos:c9a24050123f53f41de2158e,2010-03-15,5.0
interbank_market:datos:c9a24050123f53f41de2158e,2010-03-16,5.0
interbank_market:datos:c9a24050123f53f41de2158e,2010-03-17,5.0
interbank_market:datos:c9a24050123f53f41de2158e,2010-03-18,5.0
interbank_market:datos:c9a24050123f53f41de2158e,2010-03-19,5.0
interbank_market:datos:c9a24050123f53f41de2158e,2010-03-22,5.0
interbank_market:datos:c9a24050123f53f41de2158e,2010-03-23,5.0
interbank_market:datos:c9a24050123f53f41de2158e,2010-03-24,5.0
interbank_market:datos:c9a24050123f53f41de2158e,2010-03-25,5.0
interbank_market:datos:c9a24050123f53f41de2158e,2010-03-26,5.0
interbank_market:datos:c9a24050123f53f41de2158e,2010-03-29,5.0
interbank_market:datos:c9a24050123f53f41de2158e,2010-03-30,5.0
interbank_market:datos:c9a24050123f53f41de2158e,2010-03-31,5.0
interbank_market:datos:c9a24050123f53f41de2158e,2010-04-05,5.0
interbank_market:datos:c9a24050123f53f41de2158e,2010-04-06,5.0
interbank_market:datos:c9a24050123f53f41de2158e,2010-04-07,5.0
interbank_market:datos:c9a24050123f53f41de2158e,2010-04-08,5.0
interbank_market:datos:c9a24050123f53f41de2158e,2010-04-09,5.0
interbank_market:datos:c9a24050123f53f41de2158e,2010-04-12,5.0
interbank_market:datos:c9a24050123f53f41de2158e,2010-04-13,5.0
interbank_market:datos:c9a24050123f53f41de2158e,2010-04-14,5.0
interbank_market:datos:c9a24050123f53f41de2158e,2010-04-15,5.0
