series_id,period,value
liquidity_facility:adm_liq_deposito:0431fdf610803fb35af71ac1,2016-01-20,70000000000
liquidity_facility:adm_liq_deposito:0431fdf610803fb35af71ac1,2016-01-27,335000000000
liquidity_facility:adm_liq_deposito:0431fdf610803fb35af71ac1,2016-02-03,605000000000
liquidity_facility:adm_liq_deposito:0431fdf610803fb35af71ac1,2016-02-10,830000000000
liquidity_facility:adm_liq_deposito:0431fdf610803fb35af71ac1,2016-02-17,935000000000
liquidity_facility:adm_liq_deposito:0431fdf610803fb35af71ac1,2016-02-24,650000000000
liquidity_facility:adm_liq_deposito:0431fdf610803fb35af71ac1,2016-03-02,1110000000000
liquidity_facility:adm_liq_deposito:0431fdf610803fb35af71ac1,2016-03-09,1120000000000
liquidity_facility:adm_liq_deposito:0431fdf610803fb35af71ac1,2016-03-16,405000000000
liquidity_facility:adm_liq_deposito:0431fdf610803fb35af71ac1,2016-03-23,670000000000
liquidity_facility:adm_liq_deposito:0431fdf610803fb35af71ac1,2016-03-30,665000000000
liquidity_facility:adm_liq_deposito:0431fdf610803fb35af71ac1,2016-04-06,465000000000
liquidity_facility:adm_liq_deposito:0431fdf610803fb35af71ac1,2016-04-13,960000000000
liquidity_facility:adm_liq_deposito:0431fdf610803fb35af71ac1,2016-04-20,935000000000
liquidity_facility:adm_liq_deposito:0431fdf610803fb35af71ac1,2016-04-27,510000000000
liquidity_facility:adm_liq_deposito:0431fdf610803fb35af71ac1,2016-05-04,810000000000
liquidity_facility:adm_liq_deposito:0431fdf610803fb35af71ac1,2016-05-11,1075000000000
liquidity_facility:adm_liq_deposito:0431fdf610803fb35af71ac1,2016-05-18,970000000000
liquidity_facility:adm_liq_deposito:0431fdf610803fb35af71ac1,2016-05-25,465000000000
liquidity_facility:adm_liq_deposito:0431fdf610803fb35af71ac1,2016-06-01,780000000000
liquidity_facility:adm_liq_deposito:0431fdf610803fb35af71ac1,2016-06-09,690000000000
liquidity_facility:adm_liq_deposito:0431fdf610803fb35af71ac1,2016-06-16,910000000000
liquidity_facility:adm_liq_deposito:0431fdf610803fb35af71ac1,2016-06-23,230000000000
liquidity_facility:adm_liq_deposito:0431fdf610803fb35af71ac1,2016-06-30,750000000000
liquidity_facility:adm_liq_deposito:0431fdf610803fb35af71ac1,2016-07-07,975000000000
liquidity_facility:adm_liq_deposito:0431fdf610803fb35af71ac1,2016-07-14,880000000000
liquidity_facility:adm_liq_deposito:0431fdf610803fb35af71ac1,2016-07-21,685000000000
