series_id,period,value
lrm_auctions:subastas_2013:010d5d8f25a1089f65a054b4,2013-04-11,9
lrm_auctions:subastas_2013:010d5d8f25a1089f65a054b4,2013-05-30,8
lrm_auctions:subastas_2013:010d5d8f25a1089f65a054b4,2013-09-12,5
lrm_auctions:subastas_2013:010d5d8f25a1089f65a054b4,2013-11-14,5
lrm_auctions:subastas_2013:010d5d8f25a1089f65a054b4,2013-12-12,7
lrm_auctions:subastas_2013:013820cfc47db168293079da,2013-05-02,5.417241379310345
lrm_auctions:subastas_2013:01f097ea6e88c6d027d05ea7,2013-04-03,4
lrm_auctions:subastas_2013:01f655d8d76195d5e1007286,2013-02-01,10
lrm_auctions:subastas_2013:0259d67bfa854611884d129b,2013-01-25,285000
lrm_auctions:subastas_2013:0259d67bfa854611884d129b,2013-04-18,330000
lrm_auctions:subastas_2013:035530d663468cf326c314af,2013-01-25,6.3
lrm_auctions:subastas_2013:035530d663468cf326c314af,2013-04-18,5.7
lrm_auctions:subastas_2013:04c521d006cf18b84984e02a,2013-07-01,7
lrm_auctions:subastas_2013:056ae7cc861b520c5922e07f,2013-09-12,50000
lrm_auctions:subastas_2013:056ae7cc861b520c5922e07f,2013-12-12,50000
lrm_auctions:subastas_2013:0570f5e489294532145393b3,2013-02-01,8.5
lrm_auctions:subastas_2013:057ba84d99d6ed9f4fd5b9ba,2013-09-12,30000
lrm_auctions:subastas_2013:057ba84d99d6ed9f4fd5b9ba,2013-12-12,35000
lrm_auctions:subastas_2013:0584d9fe0b42fa526395a977,2013-07-12,6.74
lrm_auctions:subastas_2013:0598755dd2a01a35e335ef4f,2013-06-27,5.5
lrm_auctions:subastas_2013:0598755dd2a01a35e335ef4f,2013-07-11,5.5
lrm_auctions:subastas_2013:0598755dd2a01a35e335ef4f,2013-09-12,5.23
lrm_auctions:subastas_2013:0598755dd2a01a35e335ef4f,2013-09-26,5.25
lrm_auctions:subastas_2013:0598755dd2a01a35e335ef4f,2013-10-10,5.25
lrm_auctions:subastas_2013:0598755dd2a01a35e335ef4f,2013-11-14,5.25
lrm_auctions:subastas_2013:0598755dd2a01a35e335ef4f,2013-12-26,5.75
lrm_auctions:subastas_2013:05a580dee2abe0c89ece33ea,2013-04-25,4
lrm_auctions:subastas_2013:05bcb995e2848b8835fb5c3d,2013-03-26,6.5
lrm_auctions:subastas_2013:05cbc6c92a890d27c71f3a48,2013-04-03,5.5
lrm_auctions:subastas_2013:0635362cff46f57c3ec0fa3f,2013-05-09,7
lrm_auctions:subastas_2013:06678783c443b5d8fef55ccc,2013-07-11,100000
lrm_auctions:subastas_2013:06678783c443b5d8fef55ccc,2013-10-10,150000
lrm_auctions:subastas_2013:06dfe0d347931f97ea0c7945,2013-07-11,5.1
lrm_auctions:subastas_2013:07cf666fcf6420e621622046,2013-01-25,7.5
lrm_auctions:subastas_2013:07e39dcdda634d9a1a4e52ad,2013-04-25,5.35
lrm_auctions:subastas_2013:07e39dcdda634d9a1a4e52ad,2013-05-09,5.2
lrm_auctions:subastas_2013:07e39dcdda634d9a1a4e52ad,2013-07-11,4
lrm_auctions:subastas_2013:07e39dcdda634d9a1a4e52ad,2013-09-12,4.95
lrm_auctions:subastas_2013:07e39dcdda634d9a1a4e52ad,2013-10-10,4.98
lrm_auctions:subastas_2013:07e39dcdda634d9a1a4e52ad,2013-12-12,5.5
lrm_auctions:subastas_2013:084a6950075af373763524af,2013-07-12,100000
lrm_auctions:subastas_2013:08e73456e7a41a987d5dcc1e,2013-01-25,7.671428571428572
lrm_auctions:subastas_2013:09849ee67600e0d554d7ce86,2013-06-27,5.8
lrm_auctions:subastas_2013:09849ee67600e0d554d7ce86,2013-07-11,5.8
lrm_auctions:subastas_2013:09849ee67600e0d554d7ce86,2013-09-12,5.73
lrm_auctions:subastas_2013:09849ee67600e0d554d7ce86,2013-09-26,6.7
lrm_auctions:subastas_2013:09849ee67600e0d554d7ce86,2013-10-10,6.39
lrm_auctions:subastas_2013:09849ee67600e0d554d7ce86,2013-12-26,6.6
lrm_auctions:subastas_2013:0a1131f4a687bbd9d1b5e92b,2013-06-27,7.25
lrm_auctions:subastas_2013:0a1131f4a687bbd9d1b5e92b,2013-09-26,7
lrm_auctions:subastas_2013:0a57c436b9a4985cd107a8a7,2013-05-09,300000
lrm_auctions:subastas_2013:0a57c436b9a4985cd107a8a7,2013-09-26,300000
lrm_auctions:subastas_2013:0a5873306145d98e3ce8c9b8,2013-01-15,1
lrm_auctions:subastas_2013:0aa858d4e327d9ac2a38d418,2013-06-17,20000
lrm_auctions:subastas_2013:0adab118d35eaeb52e532971,2013-05-02,5.35
