series_id,period,value
payments:afd_01:11a39016d85a1f9449655ff1,2014-06-30,8295000000.0
payments:afd_01:11a39016d85a1f9449655ff1,2014-12-31,8295000000.0
payments:afd_01:11a39016d85a1f9449655ff1,2015-05-31,9750000000.0
payments:afd_01:11a39016d85a1f9449655ff1,2015-06-30,10791000000.0
payments:afd_01:11a39016d85a1f9449655ff1,2015-11-30,9750000000.0
payments:afd_01:11a39016d85a1f9449655ff1,2015-12-31,90791000000.0
payments:afd_01:11a39016d85a1f9449655ff1,2016-05-31,9750000000.0
payments:afd_01:11a39016d85a1f9449655ff1,2016-06-30,8295000000.0
payments:afd_01:11a39016d85a1f9449655ff1,2016-11-30,9750000000.0
payments:afd_01:11a39016d85a1f9449655ff1,2016-12-31,208295000000.0
payments:afd_01:11a39016d85a1f9449655ff1,2017-05-31,9750000000.0
payments:afd_01:11a39016d85a1f9449655ff1,2017-06-30,795000000.0
payments:afd_01:11a39016d85a1f9449655ff1,2017-11-30,309750000000.0
payments:afd_01:11a39016d85a1f9449655ff1,2017-12-31,20795000000.0
payments:afd_01:11a39016d85a1f9449655ff1,2018-03-31,3050500000.0
payments:afd_01:11a39016d85a1f9449655ff1,2018-06-30,620000000.0
payments:afd_01:11a39016d85a1f9449655ff1,2018-09-30,4880500000.0
payments:afd_01:11a39016d85a1f9449655ff1,2018-10-31,3050000000.0
payments:afd_01:11a39016d85a1f9449655ff1,2018-11-30,3100000000.0
payments:afd_01:11a39016d85a1f9449655ff1,2018-12-31,620000000.0
payments:afd_01:11a39016d85a1f9449655ff1,2019-02-28,5580000000.0
payments:afd_01:11a39016d85a1f9449655ff1,2019-03-31,4880500000.0
payments:afd_01:11a39016d85a1f9449655ff1,2019-04-30,3050000000.0
payments:afd_01:11a39016d85a1f9449655ff1,2019-05-31,5580000000.0
payments:afd_01:11a39016d85a1f9449655ff1,2019-06-30,620000000.0
payments:afd_01:11a39016d85a1f9449655ff1,2019-08-31,5580000000.0
payments:afd_01:11a39016d85a1f9449655ff1,2019-09-30,4880500000.0
payments:afd_01:11a39016d85a1f9449655ff1,2019-10-31,3050000000.0
payments:afd_01:11a39016d85a1f9449655ff1,2019-11-30,5580000000.0
payments:afd_01:11a39016d85a1f9449655ff1,2019-12-31,620000000.0
payments:afd_01:11a39016d85a1f9449655ff1,2020-02-29,5580000000.0
payments:afd_01:11a39016d85a1f9449655ff1,2020-03-31,7360500000.0
payments:afd_01:11a39016d85a1f9449655ff1,2020-04-30,3050000000.0
payments:afd_01:11a39016d85a1f9449655ff1,2020-05-31,5580000000.0
payments:afd_01:11a39016d85a1f9449655ff1,2020-06-30,3100000000.0
payments:afd_01:11a39016d85a1f9449655ff1,2020-07-31,2750000000.0
payments:afd_01:11a39016d85a1f9449655ff1,2020-08-31,5580000000.0
payments:afd_01:11a39016d85a1f9449655ff1,2020-09-30,7360500000.0
payments:afd_01:11a39016d85a1f9449655ff1,2020-10-31,6550000000.0
payments:afd_01:11a39016d85a1f9449655ff1,2020-11-30,5580000000.0
payments:afd_01:11a39016d85a1f9449655ff1,2020-12-31,3850000000.0
payments:afd_01:11a39016d85a1f9449655ff1,2021-01-31,3500000000.0
payments:afd_01:11a39016d85a1f9449655ff1,2021-02-28,6550000000.0
payments:afd_01:11a39016d85a1f9449655ff1,2021-03-31,9840500000.0
payments:afd_01:11a39016d85a1f9449655ff1,2021-04-30,6550000000.0
payments:afd_01:11a39016d85a1f9449655ff1,2021-05-31,8280000000.0
payments:afd_01:11a39016d85a1f9449655ff1,2021-06-30,3850000000.0
payments:afd_01:11a39016d85a1f9449655ff1,2021-07-31,3500000000.0
payments:afd_01:11a39016d85a1f9449655ff1,2021-08-31,9030000000.0
payments:afd_01:11a39016d85a1f9449655ff1,2021-09-30,7360500000.0
payments:afd_01:11a39016d85a1f9449655ff1,2021-10-31,6550000000.0
payments:afd_01:11a39016d85a1f9449655ff1,2021-11-30,8280000000.0
payments:afd_01:11a39016d85a1f9449655ff1,2021-12-31,3850000000.0
payments:afd_01:11a39016d85a1f9449655ff1,2022-01-31,4310000000.0
payments:afd_01:11a39016d85a1f9449655ff1,2022-02-28,6550000000.0
payments:afd_01:11a39016d85a1f9449655ff1,2022-03-31,11015500000.0
payments:afd_01:11a39016d85a1f9449655ff1,2022-04-30,8535000000.0
payments:afd_01:11a39016d85a1f9449655ff1,2022-05-31,8280000000.0
